# xMin xMax yMin yMax zMin zMax
# 地图自动生成. 沙盘尺寸: 2109.9x1693.8 米
15.07 48.97 530.91 582.82 0.0 10.5
320.99 365.17 1576.96 1599.76 0.0 28.0
161.87 221.34 1581.37 1603.14 0.0 17.5
134.7 169.84 1265.08 1288.13 0.0 38.5
30.64 94.09 781.92 809.4 0.0 3.5
262.82 280.93 1300.94 1340.75 0.0 35.0
331.75 353.86 397.49 407.34 0.0 7.0
364.79 375.12 383.45 396.86 0.0 38.5
536.14 596.3 49.26 69.28 0.0 31.5
311.42 321.53 382.99 395.38 0.0 31.5
330.63 362.3 17.23 31.9 0.0 10.5
724.23 779.42 1115.18 1148.75 0.0 38.5
733.45 813.21 350.94 396.93 0.0 17.5
682.36 726.15 273.52 344.8 0.0 42.0
660.74 683.32 296.54 312.59 0.0 21.0
601.28 638.44 277.98 330.56 0.0 42.0
57.64 91.25 487.94 578.49 0.0 21.0
32.92 49.92 366.67 396.45 0.0 38.5
15.38 78.23 614.55 657.08 0.0 31.5
8.47 63.48 724.95 763.82 0.0 42.0
552.21 587.44 466.53 528.09 0.0 14.0
503.87 522.64 492.51 530.52 0.0 21.0
517.09 563.15 496.05 521.96 0.0 10.5
501.18 563.35 428.28 472.68 0.0 31.5
554.74 579.39 419.58 453.38 0.0 14.0
501.49 554.7 471.85 494.97 0.0 28.0
577.38 586.46 486.99 501.47 0.0 28.0
518.29 559.91 518.49 540.85 0.0 24.5
521.51 550.41 532.48 549.79 0.0 35.0
551.69 584.28 524.28 542.4 0.0 38.5
605.51 659.1 419.27 431.85 0.0 35.0
605.1 664.38 437.03 451.29 0.0 14.0
624.15 668.9 510.89 533.67 0.0 24.5
647.81 679.55 459.68 505.64 0.0 42.0
396.05 490.54 563.75 611.92 0.0 38.5
411.17 441.95 602.18 624.5 0.0 21.0
439.57 465.03 592.37 611.71 0.0 21.0
382.05 403.79 607.69 639.74 0.0 31.5
384.7 406.51 567.25 596.83 0.0 31.5
419.18 438.98 552.66 582.2 0.0 24.5
378.8 473.38 523.84 570.3 0.0 28.0
266.94 288.14 1161.94 1226.39 0.0 35.0
351.23 371.67 1512.27 1574.5 0.0 14.0
625.59 641.09 897.96 931.91 0.0 21.0
635.42 649.37 934.12 986.35 0.0 42.0
645.41 658.47 989.65 1042.31 0.0 28.0
648.49 665.4 1046.64 1116.52 0.0 17.5
24.8 54.85 77.17 130.37 0.0 14.0
836.01 853.03 606.01 617.52 0.0 10.5
832.86 853.9 625.01 644.86 0.0 28.0
772.41 835.79 106.89 121.58 0.0 10.5
770.04 835.27 126.01 170.93 0.0 42.0
767.52 800.27 174.97 232.91 0.0 35.0
754.68 772.98 1482.19 1493.21 0.0 35.0
794.53 829.24 1479.68 1524.5 0.0 38.5
762.58 771.29 1518.43 1545.67 0.0 14.0
736.3 763.64 1548.86 1569.16 0.0 14.0
776.32 783.42 1256.54 1268.67 0.0 38.5
693.08 710.37 1230.54 1236.38 0.0 21.0
693.37 700.35 1257.62 1261.97 0.0 17.5
695.88 701.15 1262.89 1276.85 0.0 38.5
696.46 709.05 1279.73 1285.34 0.0 42.0
700.63 711.86 1357.87 1374.01 0.0 10.5
699.78 714.32 1342.81 1347.39 0.0 28.0
700.23 713.06 1350.02 1355.75 0.0 21.0
698.4 704.47 1335.49 1340.41 0.0 14.0
699.03 702.81 1316.31 1326.03 0.0 28.0
