# xMin xMax yMin yMax zMin zMax
# 地图自动生成. 沙盘尺寸: 876.4x1680.0 米
8.29 42.18 517.09 569.0 0.0 9.99
314.21 358.38 1563.14 1585.94 0.0 9.99
155.08 214.55 1567.55 1589.32 0.0 9.99
127.92 163.05 1251.25 1274.31 0.0 9.99
23.85 87.3 768.09 795.58 0.0 3.33
256.03 274.14 1287.12 1326.93 0.0 9.99
324.96 347.07 383.66 393.51 0.0 6.66
358.0 368.33 369.63 383.04 0.0 9.99
529.35 589.51 35.43 55.46 0.0 9.99
304.63 314.74 369.17 381.56 0.0 9.99
323.84 355.51 3.41 18.08 0.0 9.99
717.44 772.64 1101.36 1134.92 0.0 9.99
726.67 806.42 337.12 383.11 0.0 9.99
675.57 719.37 259.7 330.97 0.0 9.99
653.95 676.53 282.72 298.77 0.0 9.99
594.49 631.65 264.16 316.74 0.0 9.99
50.86 84.46 474.12 564.67 0.0 9.99
26.13 43.13 352.85 382.63 0.0 9.99
8.59 71.44 600.72 643.26 0.0 9.99
1.69 56.69 711.13 749.99 0.0 9.99
545.42 580.65 452.7 514.26 0.0 9.99
497.08 515.85 478.68 516.7 0.0 9.99
510.3 556.36 482.22 508.14 0.0 9.99
494.39 556.57 414.45 458.86 0.0 9.99
547.95 572.6 405.76 439.56 0.0 9.99
494.71 547.92 458.02 481.14 0.0 9.99
570.59 579.67 473.16 487.65 0.0 9.99
511.5 553.12 504.67 527.03 0.0 9.99
514.73 543.62 518.66 535.97 0.0 9.99
544.9 577.49 510.46 528.58 0.0 9.99
598.73 652.31 405.45 418.03 0.0 9.99
598.31 657.59 423.2 437.46 0.0 9.99
617.36 662.12 497.06 519.85 0.0 9.99
641.02 672.76 445.86 491.82 0.0 9.99
389.27 483.75 549.93 598.1 0.0 9.99
404.39 435.16 588.36 610.68 0.0 9.99
432.79 458.24 578.55 597.89 0.0 9.99
375.26 397.0 593.87 625.92 0.0 9.99
377.91 399.72 553.42 583.0 0.0 9.99
412.4 432.2 538.84 568.37 0.0 9.99
372.02 466.59 510.02 556.47 0.0 9.99
260.16 281.36 1148.12 1212.57 0.0 9.99
344.44 364.88 1498.45 1560.68 0.0 9.99
618.8 634.3 884.13 918.09 0.0 9.99
628.64 642.58 920.3 972.53 0.0 9.99
638.62 651.68 975.83 1028.49 0.0 9.99
641.7 658.62 1032.82 1102.7 0.0 9.99
18.01 48.07 63.35 116.55 0.0 9.99
829.22 846.25 592.19 603.7 0.0 9.99
826.07 847.11 611.19 631.04 0.0 9.99
765.62 829.0 93.06 107.76 0.0 9.99
763.25 828.49 112.19 157.11 0.0 9.99
760.73 793.48 161.15 219.09 0.0 9.99
747.89 766.19 1468.37 1479.39 0.0 9.99
787.74 822.45 1465.85 1510.67 0.0 9.99
755.79 764.5 1504.61 1531.85 0.0 9.99
729.51 756.86 1535.04 1555.33 0.0 9.99
769.54 776.63 1242.71 1254.85 0.0 9.99
686.29 703.58 1216.72 1222.55 0.0 9.99
686.58 693.56 1243.79 1248.15 0.0 9.99
