# xMin xMax yMin yMax zMin zMax
# 地图自动生成. 沙盘尺寸: 864.6x1074.4 米
414.1 519.57 763.28 839.75 0.0 14.0
105.05 172.51 522.7 541.87 0.0 38.5
105.36 183.71 53.11 118.59 0.0 28.0
429.67 478.58 379.75 458.09 0.0 28.0
429.08 469.41 301.76 371.48 0.0 42.0
505.26 573.71 343.9 376.72 0.0 28.0
491.88 581.67 379.27 459.54 0.0 42.0
543.48 557.48 305.45 329.2 0.0 35.0
564.49 586.44 306.03 330.01 0.0 14.0
109.55 147.14 296.31 308.72 0.0 14.0
104.61 141.51 426.03 440.13 0.0 38.5
102.17 143.1 464.35 478.23 0.0 14.0
108.26 146.29 334.64 348.48 0.0 14.0
0.0 94.44 300.06 316.36 0.0 28.0
191.33 316.0 526.64 549.05 0.0 56.0
258.17 324.02 656.72 680.51 0.0 66.5
167.48 235.81 571.72 589.34 0.0 63.0
256.29 303.88 694.01 714.94 0.0 70.0
176.21 225.14 692.03 711.81 0.0 45.5
98.51 170.2 683.23 712.78 0.0 42.0
163.75 232.21 649.64 673.12 0.0 24.5
333.41 396.65 529.35 553.03 0.0 24.5
114.35 152.98 561.3 670.51 0.0 14.0
262.03 334.63 568.2 589.87 0.0 63.0
346.35 391.8 573.4 600.36 0.0 31.5
321.95 384.19 692.72 711.24 0.0 56.0
490.37 539.78 540.08 588.21 0.0 63.0
413.88 532.17 618.5 660.54 0.0 38.5
416.18 468.58 539.14 586.09 0.0 35.0
677.55 736.22 553.06 599.03 0.0 31.5
558.69 600.15 560.38 602.88 0.0 38.5
602.26 665.71 551.99 673.93 0.0 31.5
726.39 744.53 650.43 680.93 0.0 24.5
667.25 688.04 647.65 677.35 0.0 24.5
751.26 816.93 552.93 601.7 0.0 10.5
559.43 585.69 646.71 674.88 0.0 21.0
615.41 657.11 377.17 447.24 0.0 38.5
14.8 110.05 226.87 255.66 0.0 17.5
84.41 164.62 848.87 878.42 0.0 10.5
617.22 658.34 303.29 375.2 0.0 14.0
663.65 793.64 304.86 342.19 0.0 17.5
795.52 833.74 309.68 382.41 0.0 21.0
793.17 832.88 386.57 454.41 0.0 10.5
413.43 430.82 842.65 860.32 0.0 21.0
761.38 795.67 653.09 683.0 0.0 14.0
785.1 863.76 211.18 247.72 0.0 49.0
81.44 121.41 7.12 35.85 0.0 52.5
208.94 246.71 62.44 136.67 0.0 56.0
327.92 381.34 949.62 969.96 0.0 14.0
627.56 679.1 1050.34 1074.36 0.0 14.0
537.58 652.46 914.55 959.08 0.0 42.0
672.37 787.09 919.78 963.21 0.0 14.0
661.39 694.61 779.34 875.0 0.0 38.5
599.69 663.53 803.39 847.1 0.0 17.5
595.95 692.33 856.94 900.58 0.0 42.0
599.42 697.0 754.15 792.69 0.0 24.5
680.54 794.83 693.92 737.72 0.0 28.0
545.58 660.17 689.15 732.72 0.0 28.0
454.81 513.34 1015.26 1043.56 0.0 28.0
409.95 450.05 863.34 879.11 0.0 17.5
343.62 382.88 642.65 682.08 0.0 21.0
346.16 390.39 619.86 637.73 0.0 14.0
629.71 672.5 972.3 1024.65 0.0 10.5
278.63 295.86 300.67 484.59 0.0 28.0
785.78 833.54 141.38 187.88 0.0 59.5
818.81 864.64 46.19 117.26 0.0 38.5
549.55 589.59 12.02 52.79 0.0 70.0
489.49 591.3 184.19 287.15 0.0 24.5
429.62 478.83 184.76 230.32 0.0 24.5
169.09 223.68 615.3 630.55 0.0 14.0
270.44 337.61 621.02 638.88 0.0 14.0
78.78 159.78 1043.76 1059.27 0.0 17.5
177.74 259.02 1045.5 1059.36 0.0 42.0
381.68 416.89 5.46 39.1 0.0 31.5
326.74 356.71 8.87 35.95 0.0 35.0
267.13 300.03 7.19 35.52 0.0 49.0
212.94 243.96 8.08 35.95 0.0 66.5
631.03 790.69 33.22 114.63 0.0 52.5
759.44 832.65 456.08 490.54 0.0 38.5
696.22 767.5 374.39 438.48 0.0 3.5
614.51 688.55 449.23 483.89 0.0 28.0
310.56 383.61 898.92 930.84 0.0 10.5
496.99 536.98 308.86 329.62 0.0 21.0
155.83 182.23 305.15 481.0 0.0 38.5
444.57 477.38 14.94 44.4 0.0 38.5
494.96 527.76 14.99 44.45 0.0 14.0
585.69 596.39 617.04 648.22 0.0 42.0
47.62 93.95 142.75 187.49 0.0 31.5
89.83 139.13 131.88 181.42 0.0 52.5
133.99 182.15 131.31 165.97 0.0 63.0
403.71 514.88 909.06 950.84 0.0 17.5
402.5 436.48 963.06 1010.22 0.0 14.0
684.31 707.03 972.16 1029.65 0.0 31.5
479.18 515.24 850.03 878.11 0.0 31.5
752.02 797.02 616.07 640.86 0.0 28.0
382.33 412.62 60.72 84.58 0.0 31.5
338.06 365.15 192.73 222.31 0.0 38.5
303.62 361.15 121.85 140.74 0.0 38.5
727.29 779.45 981.06 1034.59 0.0 31.5
430.43 549.74 135.68 164.73 0.0 17.5
564.14 581.84 611.51 640.43 0.0 10.5
179.98 294.47 895.04 931.3 0.0 24.5
820.35 835.95 0.0 8.13 0.0 21.0
99.55 160.11 936.5 989.94 0.0 38.5
174.86 289.85 963.72 999.93 0.0 38.5
81.11 159.85 892.5 921.15 0.0 17.5
285.94 294.05 319.28 327.33 0.0 3.5
175.63 182.81 109.54 118.59 0.0 21.0
182.23 286.21 298.53 305.96 0.0 3.0
181.68 199.82 215.73 251.84 0.0 28.0
180.23 199.43 253.88 286.24 0.0 35.0
114.52 178.52 262.49 281.17 0.0 42.0
433.7 447.22 596.6 608.6 0.0 31.5
498.25 511.76 599.12 611.14 0.0 10.5
695.43 726.93 612.35 644.46 0.0 38.5
723.99 742.46 612.35 628.01 0.0 17.5
795.9 808.32 618.37 683.19 0.0 31.5
163.56 169.69 113.24 118.5 0.0 17.5
150.08 155.72 112.26 117.7 0.0 10.5
140.91 148.14 110.97 116.42 0.0 21.0
175.63 182.91 103.4 109.54 0.0 24.5
175.63 183.01 96.85 103.4 0.0 35.0
209.26 215.38 114.76 122.22 0.0 42.0
209.59 215.42 103.12 110.52 0.0 42.0
489.49 587.93 270.11 287.15 0.0 42.0
576.73 590.53 211.52 281.55 0.0 35.0
492.27 591.3 184.19 211.52 0.0 42.0
489.98 507.69 208.36 270.63 0.0 28.0
270.04 337.76 250.55 291.74 0.0 31.5
373.91 408.68 256.96 294.94 0.0 21.0
506.92 526.36 787.41 833.16 0.0 24.5
132.81 152.98 561.84 592.67 0.0 21.0
323.97 396.65 529.14 545.52 0.0 10.5
179.98 197.17 900.86 926.67 0.0 10.5
271.21 288.53 915.58 931.08 0.0 31.5
174.86 194.36 963.72 997.58 0.0 28.0
220.86 242.43 980.93 998.17 0.0 38.5
79.31 93.06 281.04 291.94 0.0 42.0
395.02 399.77 408.52 415.62 0.0 38.5
395.96 400.18 400.04 406.62 0.0 35.0
163.39 171.99 597.79 609.06 0.0 42.0
659.55 681.58 704.59 763.93 0.0 42.0
651.65 673.29 890.28 941.33 0.0 35.0
610.79 841.08 299.81 496.14 0.0 38.5
660.5 792.71 342.72 451.89 0.0 38.5
155.83 286.21 298.53 484.2 0.0 21.0
193.51 270.16 314.26 474.57 0.0 21.0
