# ==========================================
# v3.1 轨迹 | v_formation | dt=0.1
# 0,0,30 -> 500,500,30
# time(s),nodeId,x(m),y(m),z(m)
# ==========================================
0.000,0,0.332,0.332,30.000
0.000,1,-16.639,0.332,30.000
0.000,2,0.332,-16.639,30.000
0.000,3,-33.609,0.332,30.000
0.000,4,0.332,-33.609,30.000
0.000,5,-50.580,0.332,30.000
0.000,6,0.332,-50.580,30.000
0.000,7,-67.550,0.332,30.000
0.000,8,0.332,-67.550,30.000
0.000,9,-84.521,0.332,30.000
0.000,10,0.332,-84.521,30.000
0.000,11,-101.491,0.332,30.000
0.000,12,0.332,-101.491,30.000
0.000,13,-118.462,0.332,30.000
0.000,14,0.332,-118.462,30.000
0.100,0,0.680,0.680,30.000
0.100,1,-16.291,0.680,30.000
0.100,2,0.680,-16.291,30.000
0.100,3,-33.261,0.680,30.000
0.100,4,0.680,-33.261,30.000
0.100,5,-50.232,0.680,30.000
0.100,6,0.680,-50.232,30.000
0.100,7,-67.203,0.680,30.000
0.100,8,0.680,-67.203,30.000
0.100,9,-84.173,0.680,30.000
0.100,10,0.680,-84.173,30.000
0.100,11,-101.144,0.680,30.000
0.100,12,0.680,-101.144,30.000
0.100,13,-118.114,0.680,30.000
0.100,14,0.680,-118.114,30.000
0.200,0,1.045,1.045,30.000
0.200,1,-15.926,1.045,30.000
0.200,2,1.045,-15.926,30.000
0.200,3,-32.897,1.045,30.000
0.200,4,1.045,-32.897,30.000
0.200,5,-49.867,1.045,30.000
0.200,6,1.045,-49.867,30.000
0.200,7,-66.838,1.045,30.000
0.200,8,1.045,-66.838,30.000
0.200,9,-83.808,1.045,30.000
0.200,10,1.045,-83.808,30.000
0.200,11,-100.779,1.045,30.000
0.200,12,1.045,-100.779,30.000
0.200,13,-117.749,1.045,30.000
0.200,14,1.045,-117.749,30.000
0.300,0,1.428,1.428,30.000
0.300,1,-15.543,1.428,30.000
0.300,2,1.428,-15.543,30.000
0.300,3,-32.513,1.428,30.000
0.300,4,1.428,-32.513,30.000
0.300,5,-49.484,1.428,30.000
0.300,6,1.428,-49.484,30.000
0.300,7,-66.454,1.428,30.000
0.300,8,1.428,-66.454,30.000
0.300,9,-83.425,1.428,30.000
0.300,10,1.428,-83.425,30.000
0.300,11,-100.396,1.428,30.000
0.300,12,1.428,-100.396,30.000
0.300,13,-117.366,1.428,30.000
0.300,14,1.428,-117.366,30.000
0.400,0,1.831,1.831,30.000
0.400,1,-15.140,1.831,30.000
0.400,2,1.831,-15.140,30.000
0.400,3,-32.111,1.831,30.000
0.400,4,1.831,-32.111,30.000
0.400,5,-49.081,1.831,30.000
0.400,6,1.831,-49.081,30.000
0.400,7,-66.052,1.831,30.000
0.400,8,1.831,-66.052,30.000
0.400,9,-83.022,1.831,30.000
0.400,10,1.831,-83.022,30.000
0.400,11,-99.993,1.831,30.000
0.400,12,1.831,-99.993,30.000
0.400,13,-116.963,1.831,30.000
0.400,14,1.831,-116.963,30.000
0.500,0,2.254,2.254,30.000
0.500,1,-14.717,2.254,30.000
0.500,2,2.254,-14.717,30.000
0.500,3,-31.687,2.254,30.000
0.500,4,2.254,-31.687,30.000
0.500,5,-48.658,2.254,30.000
0.500,6,2.254,-48.658,30.000
0.500,7,-65.629,2.254,30.000
0.500,8,2.254,-65.629,30.000
0.500,9,-82.599,2.254,30.000
0.500,10,2.254,-82.599,30.000
0.500,11,-99.570,2.254,30.000
0.500,12,2.254,-99.570,30.000
0.500,13,-116.540,2.254,30.000
0.500,14,2.254,-116.540,30.000
0.600,0,2.698,2.698,30.000
0.600,1,-14.273,2.698,30.000
0.600,2,2.698,-14.273,30.000
0.600,3,-31.243,2.698,30.000
0.600,4,2.698,-31.243,30.000
0.600,5,-48.214,2.698,30.000
0.600,6,2.698,-48.214,30.000
0.600,7,-65.185,2.698,30.000
0.600,8,2.698,-65.185,30.000
0.600,9,-82.155,2.698,30.000
0.600,10,2.698,-82.155,30.000
0.600,11,-99.126,2.698,30.000
0.600,12,2.698,-99.126,30.000
0.600,13,-116.096,2.698,30.000
0.600,14,2.698,-116.096,30.000
0.700,0,3.163,3.163,30.000
0.700,1,-13.807,3.163,30.000
0.700,2,3.163,-13.807,30.000
0.700,3,-30.778,3.163,30.000
0.700,4,3.163,-30.778,30.000
0.700,5,-47.748,3.163,30.000
0.700,6,3.163,-47.748,30.000
0.700,7,-64.719,3.163,30.000
0.700,8,3.163,-64.719,30.000
0.700,9,-81.690,3.163,30.000
0.700,10,3.163,-81.690,30.000
0.700,11,-98.660,3.163,30.000
0.700,12,3.163,-98.660,30.000
0.700,13,-115.631,3.163,30.000
0.700,14,3.163,-115.631,30.000
0.800,0,3.650,3.650,30.000
0.800,1,-13.320,3.650,30.000
0.800,2,3.650,-13.320,30.000
0.800,3,-30.291,3.650,30.000
0.800,4,3.650,-30.291,30.000
0.800,5,-47.261,3.650,30.000
0.800,6,3.650,-47.261,30.000
0.800,7,-64.232,3.650,30.000
0.800,8,3.650,-64.232,30.000
0.800,9,-81.202,3.650,30.000
0.800,10,3.650,-81.202,30.000
0.800,11,-98.173,3.650,30.000
0.800,12,3.650,-98.173,30.000
0.800,13,-115.144,3.650,30.000
0.800,14,3.650,-115.144,30.000
0.900,0,4.159,4.159,30.000
0.900,1,-12.812,4.159,30.000
0.900,2,4.159,-12.812,30.000
0.900,3,-29.782,4.159,30.000
0.900,4,4.159,-29.782,30.000
0.900,5,-46.753,4.159,30.000
0.900,6,4.159,-46.753,30.000
0.900,7,-63.723,4.159,30.000
0.900,8,4.159,-63.723,30.000
0.900,9,-80.694,4.159,30.000
0.900,10,4.159,-80.694,30.000
0.900,11,-97.664,4.159,30.000
0.900,12,4.159,-97.664,30.000
0.900,13,-114.635,4.159,30.000
0.900,14,4.159,-114.635,30.000
1.000,0,4.689,4.689,30.000
1.000,1,-12.281,4.689,30.000
1.000,2,4.689,-12.281,30.000
1.000,3,-29.252,4.689,30.000
1.000,4,4.689,-29.252,30.000
1.000,5,-46.222,4.689,30.000
1.000,6,4.689,-46.222,30.000
1.000,7,-63.193,4.689,30.000
1.000,8,4.689,-63.193,30.000
1.000,9,-80.164,4.689,30.000
1.000,10,4.689,-80.164,30.000
1.000,11,-97.134,4.689,30.000
1.000,12,4.689,-97.134,30.000
1.000,13,-114.105,4.689,30.000
1.000,14,4.689,-114.105,30.000
1.100,0,5.241,5.241,30.000
1.100,1,-11.730,5.241,30.000
1.100,2,5.241,-11.730,30.000
1.100,3,-28.701,5.241,30.000
1.100,4,5.241,-28.701,30.000
1.100,5,-45.671,5.241,30.000
1.100,6,5.241,-45.671,30.000
1.100,7,-62.642,5.241,30.000
1.100,8,5.241,-62.642,30.000
1.100,9,-79.612,5.241,30.000
1.100,10,5.241,-79.612,30.000
1.100,11,-96.583,5.241,30.000
1.100,12,5.241,-96.583,30.000
1.100,13,-113.553,5.241,30.000
1.100,14,5.241,-113.553,30.000
1.200,0,5.813,5.813,30.000
1.200,1,-11.158,5.813,30.000
1.200,2,5.813,-11.158,30.000
1.200,3,-28.129,5.813,30.000
1.200,4,5.813,-28.129,30.000
1.200,5,-45.099,5.813,30.000
1.200,6,5.813,-45.099,30.000
1.200,7,-62.070,5.813,30.000
1.200,8,5.813,-62.070,30.000
1.200,9,-79.040,5.813,30.000
1.200,10,5.813,-79.040,30.000
1.200,11,-96.011,5.813,30.000
1.200,12,5.813,-96.011,30.000
1.200,13,-112.981,5.813,30.000
1.200,14,5.813,-112.981,30.000
1.300,0,6.405,6.405,30.000
1.300,1,-10.566,6.405,30.000
1.300,2,6.405,-10.566,30.000
1.300,3,-27.537,6.405,30.000
1.300,4,6.405,-27.537,30.000
1.300,5,-44.507,6.405,30.000
1.300,6,6.405,-44.507,30.000
1.300,7,-61.478,6.405,30.000
1.300,8,6.405,-61.478,30.000
1.300,9,-78.448,6.405,30.000
1.300,10,6.405,-78.448,30.000
1.300,11,-95.419,6.405,30.000
1.300,12,6.405,-95.419,30.000
1.300,13,-112.389,6.405,30.000
1.300,14,6.405,-112.389,30.000
1.400,0,7.016,7.016,30.000
1.400,1,-9.955,7.016,30.000
1.400,2,7.016,-9.955,30.000
1.400,3,-26.925,7.016,30.000
1.400,4,7.016,-26.925,30.000
1.400,5,-43.896,7.016,30.000
1.400,6,7.016,-43.896,30.000
1.400,7,-60.866,7.016,30.000
1.400,8,7.016,-60.866,30.000
1.400,9,-77.837,7.016,30.000
1.400,10,7.016,-77.837,30.000
1.400,11,-94.808,7.016,30.000
1.400,12,7.016,-94.808,30.000
1.400,13,-111.778,7.016,30.000
1.400,14,7.016,-111.778,30.000
1.500,0,7.645,7.645,30.000
1.500,1,-9.325,7.645,30.000
1.500,2,7.645,-9.325,30.000
1.500,3,-26.296,7.645,30.000
1.500,4,7.645,-26.296,30.000
1.500,5,-43.266,7.645,30.000
1.500,6,7.645,-43.266,30.000
1.500,7,-60.237,7.645,30.000
1.500,8,7.645,-60.237,30.000
1.500,9,-77.207,7.645,30.000
1.500,10,7.645,-77.207,30.000
1.500,11,-94.178,7.645,30.000
1.500,12,7.645,-94.178,30.000
1.500,13,-111.148,7.645,30.000
1.500,14,7.645,-111.148,30.000
1.600,0,8.292,8.292,30.000
1.600,1,-8.678,8.292,30.000
1.600,2,8.292,-8.678,30.000
1.600,3,-25.649,8.292,30.000
1.600,4,8.292,-25.649,30.000
1.600,5,-42.619,8.292,30.000
1.600,6,8.292,-42.619,30.000
1.600,7,-59.590,8.292,30.000
1.600,8,8.292,-59.590,30.000
1.600,9,-76.560,8.292,30.000
1.600,10,8.292,-76.560,30.000
