# ==========================================
# v3.1 轨迹 | v_formation | dt=0.1
# 0,0,30 -> 571,567,30
# time(s),nodeId,x(m),y(m),z(m)
# ==========================================
0.000,0,0.333,0.331,30.005
0.000,1,-16.638,0.390,30.005
0.000,2,0.273,-16.640,30.005
0.000,3,-33.608,0.450,30.005
0.000,4,0.214,-33.610,30.005
0.000,5,-50.578,0.510,30.005
0.000,6,0.154,-50.581,30.005
0.000,7,-67.549,0.569,30.005
0.000,8,0.094,-67.551,30.005
0.000,9,-84.519,0.629,30.005
0.000,10,0.035,-84.521,30.005
0.000,11,-101.490,0.689,30.005
0.000,12,-0.025,-101.492,30.005
0.000,13,-118.460,0.748,30.005
0.000,14,-0.085,-118.462,30.005
0.100,0,0.681,0.677,30.014
0.100,1,-16.289,0.736,30.014
0.100,2,0.622,-16.293,30.014
0.100,3,-33.260,0.796,30.014
0.100,4,0.563,-33.264,30.014
0.100,5,-50.230,0.855,30.014
0.100,6,0.504,-50.234,30.014
0.100,7,-67.201,0.914,30.014
0.100,8,0.445,-67.205,30.014
0.100,9,-84.171,0.973,30.014
0.100,10,0.385,-84.175,30.014
0.100,11,-101.142,1.032,30.014
0.100,12,0.326,-101.145,30.014
0.100,13,-118.112,1.091,30.014
0.100,14,0.267,-118.116,30.014
0.200,0,1.046,1.041,30.030
0.200,1,-15.924,1.099,30.030
0.200,2,0.988,-15.930,30.030
0.200,3,-32.895,1.157,30.030
0.200,4,0.930,-32.900,30.030
0.200,5,-49.865,1.215,30.030
0.200,6,0.871,-49.871,30.030
0.200,7,-66.836,1.274,30.030
0.200,8,0.813,-66.841,30.030
0.200,9,-83.806,1.332,30.030
0.200,10,0.755,-83.811,30.030
0.200,11,-100.777,1.390,30.030
0.200,12,0.697,-100.782,30.030
0.200,13,-117.747,1.448,30.030
0.200,14,0.639,-117.752,30.030
0.300,0,1.429,1.422,30.050
0.300,1,-15.541,1.479,30.050
0.300,2,1.372,-15.548,30.050
0.300,3,-32.512,1.536,30.050
0.300,4,1.316,-32.518,30.050
0.300,5,-49.482,1.593,30.050
0.300,6,1.259,-49.489,30.050
0.300,7,-66.453,1.650,30.050
0.300,8,1.202,-66.459,30.050
0.300,9,-83.424,1.707,30.050
0.300,10,1.145,-83.429,30.050
0.300,11,-100.394,1.764,30.050
0.300,12,1.088,-100.400,30.050
0.300,13,-117.365,1.821,30.050
0.300,14,1.031,-117.370,30.050
0.400,0,1.832,1.823,30.077
0.400,1,-15.139,1.879,30.077
0.400,2,1.776,-15.147,30.077
0.400,3,-32.110,1.934,30.077
0.400,4,1.721,-32.117,30.077
0.400,5,-49.080,1.989,30.077
0.400,6,1.666,-49.087,30.077
0.400,7,-66.051,2.044,30.077
0.400,8,1.611,-66.057,30.077
0.400,9,-83.022,2.100,30.077
0.400,10,1.556,-83.028,30.077
0.400,11,-99.993,2.155,30.077
0.400,12,1.500,-99.998,30.077
0.400,13,-116.963,2.210,30.077
0.400,14,1.445,-116.968,30.077
0.500,0,2.254,2.245,30.110
0.500,1,-14.717,2.298,30.110
0.500,2,2.201,-14.725,30.110
0.500,3,-31.688,2.351,30.110
0.500,4,2.148,-31.695,30.110
0.500,5,-48.659,2.405,30.110
0.500,6,2.094,-48.665,30.110
0.500,7,-65.629,2.458,30.110
0.500,8,2.041,-65.635,30.110
0.500,9,-82.600,2.511,30.110
0.500,10,1.988,-82.606,30.110
0.500,11,-99.571,2.564,30.110
0.500,12,1.935,-99.576,30.110
0.500,13,-116.542,2.618,30.110
0.500,14,1.881,-116.546,30.110
0.600,0,2.697,2.687,30.148
0.600,1,-14.274,2.738,30.148
0.600,2,2.646,-14.283,30.148
0.600,3,-31.245,2.789,30.148
0.600,4,2.595,-31.253,30.148
0.600,5,-48.216,2.840,30.148
0.600,6,2.544,-48.223,30.148
0.600,7,-65.187,2.891,30.148
0.600,8,2.493,-65.193,30.148
0.600,9,-82.158,2.942,30.148
0.600,10,2.442,-82.162,30.148
0.600,11,-99.129,2.993,30.148
0.600,12,2.391,-99.132,30.148
0.600,13,-116.101,3.044,30.148
0.600,14,2.340,-116.102,30.148
0.700,0,3.161,3.150,30.193
0.700,1,-13.810,3.199,30.193
0.700,2,3.113,-13.819,30.193
0.700,3,-30.782,3.247,30.193
0.700,4,3.064,-30.789,30.193
0.700,5,-47.753,3.296,30.193
0.700,6,3.016,-47.758,30.193
0.700,7,-64.724,3.344,30.193
0.700,8,2.967,-64.728,30.193
0.700,9,-81.696,3.393,30.193
