# ==========================================
# v3.1 轨迹 | line | dt=0.1
# 0,0,30 -> 500,500,30
# time(s),nodeId,x(m),y(m),z(m)
# ==========================================
0.000,0,-59.065,59.729,30.000
0.000,1,-50.580,51.244,30.000
0.000,2,-42.094,42.758,30.000
0.000,3,-33.609,34.273,30.000
0.000,4,-25.124,25.788,30.000
0.000,5,-16.639,17.303,30.000
0.000,6,-8.153,8.817,30.000
0.000,7,0.332,0.332,30.000
0.000,8,8.817,-8.153,30.000
0.000,9,17.303,-16.639,30.000
0.000,10,25.788,-25.124,30.000
0.000,11,34.273,-33.609,30.000
0.000,12,42.758,-42.094,30.000
0.000,13,51.244,-50.580,30.000
0.000,14,59.729,-59.065,30.000
0.100,0,-58.717,60.077,30.001
0.100,1,-50.232,51.591,30.001
0.100,2,-41.747,43.106,30.001
0.100,3,-33.261,34.621,30.001
0.100,4,-24.776,26.136,30.001
0.100,5,-16.291,17.650,30.001
0.100,6,-7.806,9.165,30.001
0.100,7,0.680,0.680,30.001
0.100,8,9.165,-7.806,30.001
0.100,9,17.650,-16.291,30.001
0.100,10,26.136,-24.776,30.001
0.100,11,34.621,-33.261,30.001
0.100,12,43.106,-41.747,30.001
0.100,13,51.591,-50.232,30.001
0.100,14,60.077,-58.717,30.001
0.200,0,-58.352,60.441,30.003
0.200,1,-49.867,51.956,30.003
0.200,2,-41.382,43.471,30.003
0.200,3,-32.897,34.986,30.003
0.200,4,-24.411,26.500,30.003
0.200,5,-15.926,18.015,30.003
0.200,6,-7.441,9.530,30.003
0.200,7,1.045,1.045,30.003
0.200,8,9.530,-7.441,30.003
0.200,9,18.015,-15.926,30.003
0.200,10,26.500,-24.411,30.003
0.200,11,34.986,-32.897,30.003
0.200,12,43.471,-41.382,30.003
0.200,13,51.956,-49.867,30.003
0.200,14,60.441,-58.352,30.003
0.300,0,-57.969,60.825,30.005
0.300,1,-49.484,52.339,30.005
0.300,2,-40.999,43.854,30.005
0.300,3,-32.513,35.369,30.005
0.300,4,-24.028,26.884,30.005
0.300,5,-15.543,18.398,30.005
0.300,6,-7.058,9.913,30.005
0.300,7,1.428,1.428,30.005
0.300,8,9.913,-7.058,30.005
0.300,9,18.398,-15.543,30.005
0.300,10,26.884,-24.028,30.005
0.300,11,35.369,-32.513,30.005
0.300,12,43.854,-40.999,30.005
0.300,13,52.339,-49.484,30.005
0.300,14,60.825,-57.969,30.005
0.400,0,-57.566,61.227,30.008
0.400,1,-49.081,52.742,30.008
0.400,2,-40.596,44.257,30.008
0.400,3,-32.111,35.772,30.008
0.400,4,-23.625,27.286,30.008
0.400,5,-15.140,18.801,30.008
0.400,6,-6.655,10.316,30.008
0.400,7,1.831,1.831,30.008
0.400,8,10.316,-6.655,30.008
