# ==========================================
# v3.1 轨迹 | v_formation | dt=0.1
# -58,77,30 -> 890,1001,30
# time(s),nodeId,x(m),y(m),z(m)
# ==========================================
0.000,0,-57.664,77.328,30.005
0.000,1,-74.633,77.545,30.005
0.000,2,-57.882,60.359,30.005
0.000,3,-91.602,77.763,30.005
0.000,4,-58.099,43.389,30.005
0.000,5,-108.572,77.980,30.005
0.000,6,-58.317,26.420,30.005
0.000,7,-125.541,78.198,30.005
0.000,8,-58.534,9.451,30.005
0.000,9,-142.510,78.416,30.005
0.000,10,-58.752,-7.518,30.005
0.000,11,-159.479,78.633,30.005
0.000,12,-58.969,-24.487,30.005
0.000,13,-176.448,78.851,30.005
0.000,14,-59.187,-41.456,30.005
0.100,0,-57.313,77.671,30.015
0.100,1,-74.282,77.888,30.015
0.100,2,-57.530,60.702,30.015
0.100,3,-91.251,78.104,30.015
0.100,4,-57.746,43.733,30.015
0.100,5,-108.221,78.321,30.015
0.100,6,-57.963,26.764,30.015
0.100,7,-125.190,78.537,30.015
0.100,8,-58.179,9.795,30.015
0.100,9,-142.159,78.754,30.015
0.100,10,-58.396,-7.175,30.015
0.100,11,-159.128,78.971,30.015
0.100,12,-58.612,-24.144,30.015
0.100,13,-176.097,79.187,30.015
0.100,14,-58.829,-41.113,30.015
0.200,0,-56.945,78.032,30.031
0.200,1,-73.914,78.246,30.031
0.200,2,-57.160,61.063,30.031
0.200,3,-90.884,78.461,30.031
0.200,4,-57.374,44.093,30.031
0.200,5,-107.853,78.676,30.031
0.200,6,-57.589,27.124,30.031
0.200,7,-124.822,78.890,30.031
0.200,8,-57.804,10.155,30.031
0.200,9,-141.792,79.105,30.031
0.200,10,-58.019,-6.814,30.031
0.200,11,-158.761,79.320,30.031
0.200,12,-58.233,-23.783,30.031
0.200,13,-175.730,79.534,30.031
0.200,14,-58.448,-40.752,30.031
0.300,0,-56.559,78.410,30.053
0.300,1,-73.529,78.622,30.053
0.300,2,-56.771,61.441,30.053
0.300,3,-90.498,78.834,30.053
0.300,4,-56.983,44.472,30.053
0.300,5,-107.468,79.046,30.053
0.300,6,-57.195,27.503,30.053
0.300,7,-124.437,79.258,30.053
0.300,8,-57.407,10.534,30.053
0.300,9,-141.407,79.470,30.053
0.300,10,-57.619,-6.434,30.053
0.300,11,-158.376,79.682,30.053
0.300,12,-57.831,-23.403,30.053
0.300,13,-175.346,79.894,30.053
0.300,14,-58.043,-40.372,30.053
0.400,0,-56.154,78.808,30.080
0.400,1,-73.124,79.017,30.080
0.400,2,-56.363,61.840,30.080
0.400,3,-90.094,79.226,30.080
0.400,4,-56.571,44.871,30.080
0.400,5,-107.063,79.434,30.080
0.400,6,-56.780,27.902,30.080
0.400,7,-124.033,79.643,30.080
0.400,8,-56.988,10.933,30.080
0.400,9,-141.003,79.851,30.080
0.400,10,-57.197,-6.035,30.080
0.400,11,-157.973,80.060,30.080
0.400,12,-57.405,-23.004,30.080
0.400,13,-174.942,80.268,30.080
0.400,14,-57.614,-39.973,30.080
0.500,0,-55.729,79.227,30.115
0.500,1,-72.699,79.431,30.115
0.500,2,-55.933,62.258,30.115
0.500,3,-89.669,79.636,30.115
0.500,4,-56.138,45.290,30.115
0.500,5,-106.639,79.840,30.115
0.500,6,-56.343,28.321,30.115
0.500,7,-123.609,80.045,30.115
0.500,8,-56.547,11.353,30.115
0.500,9,-140.579,80.249,30.115
0.500,10,-56.752,-5.616,30.115
0.500,11,-157.550,80.454,30.115
0.500,12,-56.956,-22.584,30.115
0.500,13,-174.520,80.658,30.115
0.500,14,-57.161,-39.553,30.115
0.600,0,-55.283,79.666,30.155
0.600,1,-72.254,79.866,30.155
0.600,2,-55.483,62.698,30.155
