# ==========================================
# v3.1 轨迹 | v_formation | dt=0.1
# 0,0,30 -> 500,500,30
# time(s),nodeId,x(m),y(m),z(m)
# ==========================================
0.000,0,0.327,0.336,30.000
0.000,1,-16.643,0.326,30.000
0.000,2,0.338,-16.633,30.000
0.000,3,-33.614,0.315,30.000
0.000,4,0.349,-33.603,30.000
0.000,5,-50.584,0.304,30.000
0.000,6,0.360,-50.573,30.000
0.000,7,-67.555,0.293,30.000
0.000,8,0.390,-67.543,30.000
0.000,9,-84.521,0.237,30.000
0.000,10,0.391,-84.517,30.000
0.000,11,-101.495,0.236,30.000
0.000,12,0.392,-101.489,30.000
0.000,13,-118.468,0.235,30.000
0.000,14,0.392,-118.462,30.000
0.100,0,0.663,0.692,30.000
0.100,1,-16.307,0.656,30.000
0.100,2,0.698,-16.276,30.000
0.100,3,-33.277,0.621,30.000
0.100,4,0.733,-33.244,30.000
0.100,5,-50.248,0.586,30.000
0.100,6,0.788,-50.210,30.000
0.100,7,-67.212,0.507,30.000
0.100,8,0.850,-67.182,30.000
0.100,9,-84.180,0.395,30.000
0.100,10,0.852,-84.161,30.000
0.100,11,-101.161,0.392,30.000
0.100,12,0.853,-101.138,30.000
0.100,13,-118.139,0.390,30.000
0.100,14,0.854,-118.114,30.000
0.200,0,1.009,1.067,30.000
0.200,1,-15.961,0.995,30.000
0.200,2,1.080,-15.897,30.000
0.200,3,-32.932,0.923,30.000
0.200,4,1.151,-32.861,30.000
0.200,5,-49.902,0.851,30.000
0.200,6,1.283,-49.818,30.000
0.200,7,-66.852,0.650,30.000
0.200,8,1.375,-66.796,30.000
0.200,9,-83.828,0.480,30.000
0.200,10,1.378,-83.784,30.000
0.200,11,-100.820,0.474,30.000
0.200,12,1.381,-100.767,30.000
0.200,13,-117.805,0.470,30.000
0.200,14,1.382,-117.747,30.000
0.300,0,1.367,1.463,30.000
0.300,1,-15.604,1.343,30.000
0.300,2,1.485,-15.495,30.000
0.300,3,-32.575,1.224,30.000
0.300,4,1.603,-32.454,30.000
0.300,5,-49.547,1.104,30.000
0.300,6,1.840,-49.394,30.000
0.300,7,-66.476,0.738,30.000
0.300,8,1.962,-66.382,30.000
0.300,9,-83.463,0.496,30.000
0.300,10,1.968,-83.381,30.000
0.300,11,-100.471,0.484,30.000
0.300,12,1.972,-100.373,30.000
0.300,13,-117.467,0.477,30.000
0.300,14,1.974,-117.359,30.000
0.400,0,1.737,1.882,30.000
0.400,1,-15.236,1.704,30.000
0.400,2,1.911,-15.069,30.000
0.400,3,-32.209,1.527,30.000
0.400,4,2.115,-32.008,30.000
0.400,5,-49.181,1.349,30.000
0.400,6,2.456,-48.936,30.000
0.400,7,-66.095,0.819,30.000
0.400,8,2.608,-65.936,30.000
0.400,9,-83.082,0.451,30.000
0.400,10,2.618,-82.951,30.000
0.400,11,-100.112,0.428,30.000
0.400,12,2.623,-99.953,30.000
0.400,13,-117.122,0.415,30.000
0.400,14,2.627,-116.948,30.000
0.500,0,2.120,2.323,30.000
0.500,1,-14.855,2.079,30.000
0.500,2,2.358,-14.619,30.000
0.500,3,-31.830,1.836,30.000
0.500,4,2.685,-31.520,30.000
0.500,5,-48.805,1.592,30.000
0.500,6,3.129,-48.441,30.000
0.500,7,-65.710,0.901,30.000
0.500,8,3.312,-65.457,30.000
0.500,9,-82.683,0.361,30.000
0.500,10,3.325,-82.489,30.000
0.500,11,-99.738,0.311,30.000
0.500,12,3.333,-99.505,30.000
0.500,13,-116.768,0.290,30.000
0.500,14,3.338,-116.510,30.000
0.600,0,2.517,2.788,30.000
0.600,1,-14.461,2.470,30.000
0.600,2,2.827,-14.143,30.000
0.600,3,-31.440,2.153,30.000
0.600,4,3.310,-30.990,30.000
0.600,5,-48.418,1.835,30.000
0.600,6,3.856,-47.906,30.000
0.600,7,-65.318,0.988,30.000
0.600,8,4.069,-64.942,30.000
0.600,9,-82.268,0.242,30.000
0.600,10,4.087,-81.996,30.000
0.600,11,-99.344,0.140,30.000
0.600,12,4.098,-99.027,30.000
0.600,13,-116.402,0.106,30.000
0.600,14,4.105,-116.044,30.000
0.700,0,2.930,3.276,30.000
0.700,1,-14.054,2.879,30.000
0.700,2,3.317,-13.642,30.000
0.700,3,-31.037,2.481,30.000
0.700,4,3.988,-30.415,30.000
0.700,5,-48.020,2.084,30.000
0.700,6,4.633,-47.330,30.000
0.700,7,-64.920,1.084,30.000
0.700,8,4.878,-64.390,30.000
0.700,9,-81.853,0.142,30.000
0.700,10,4.901,-81.467,30.000
0.700,11,-98.930,-0.067,30.000
0.700,12,4.916,-98.517,30.000
0.700,13,-116.019,-0.130,30.000
0.700,14,4.925,-115.549,30.000
0.800,0,3.357,3.788,30.000
0.800,1,-13.632,3.306,30.000
0.800,2,3.826,-13.116,30.000
0.800,3,-30.621,2.823,30.000
