# ==========================================
# v3.1 轨迹 | v_formation | dt=0.1
# 0,0,30 -> 500,500,30
# time(s),nodeId,x(m),y(m),z(m)
# ==========================================
0.000,0,0.332,0.332,30.006
0.000,1,-16.639,0.332,30.006
0.000,2,0.332,-16.639,30.006
0.000,3,-33.609,0.332,30.006
0.000,4,0.332,-33.609,30.006
0.000,5,-50.580,0.332,30.006
0.000,6,0.332,-50.580,30.006
0.000,7,-67.551,0.332,30.006
0.000,8,0.332,-67.551,30.006
0.000,9,-84.521,0.332,30.006
0.000,10,0.332,-84.521,30.006
0.000,11,-101.492,0.332,30.006
0.000,12,0.332,-101.492,30.006
0.000,13,-118.462,0.332,30.006
0.000,14,0.332,-118.462,30.006
0.000,15,-135.433,0.332,30.006
0.000,16,0.332,-135.433,30.006
0.000,17,-152.403,0.332,30.006
0.000,18,0.332,-152.403,30.006
0.000,19,-169.374,0.332,30.006
0.000,20,0.332,-169.374,30.006
0.000,21,-186.344,0.332,30.006
0.000,22,0.332,-186.344,30.006
0.000,23,-203.315,0.332,30.006
0.000,24,0.332,-203.315,30.006
0.000,25,-220.286,0.332,30.006
0.000,26,0.332,-220.286,30.006
0.000,27,-237.256,0.332,30.006
0.000,28,0.332,-237.256,30.006
0.000,29,-254.227,0.332,30.006
0.100,0,0.679,0.679,30.018
0.100,1,-16.292,0.679,30.018
0.100,2,0.679,-16.292,30.018
0.100,3,-33.262,0.679,30.018
0.100,4,0.679,-33.262,30.018
0.100,5,-50.233,0.679,30.018
0.100,6,0.679,-50.233,30.018
0.100,7,-67.204,0.679,30.018
0.100,8,0.679,-67.204,30.018
0.100,9,-84.174,0.679,30.018
0.100,10,0.679,-84.174,30.018
0.100,11,-101.145,0.679,30.018
0.100,12,0.679,-101.145,30.018
0.100,13,-118.115,0.679,30.018
0.100,14,0.679,-118.115,30.018
0.100,15,-135.086,0.679,30.018
0.100,16,0.679,-135.086,30.018
0.100,17,-152.056,0.679,30.018
0.100,18,0.679,-152.056,30.018
0.100,19,-169.027,0.679,30.018
0.100,20,0.679,-169.027,30.018
0.100,21,-185.997,0.679,30.018
0.100,22,0.679,-185.997,30.018
0.100,23,-202.968,0.679,30.018
0.100,24,0.679,-202.968,30.018
0.100,25,-219.939,0.679,30.018
0.100,26,0.679,-219.939,30.018
0.100,27,-236.909,0.679,30.018
0.100,28,0.679,-236.909,30.018
0.100,29,-253.880,0.679,30.018
0.200,0,1.043,1.043,30.037
0.200,1,-15.928,1.043,30.037
0.200,2,1.043,-15.928,30.037
0.200,3,-32.899,1.043,30.037
0.200,4,1.043,-32.899,30.037
0.200,5,-49.869,1.043,30.037
0.200,6,1.043,-49.869,30.037
0.200,7,-66.840,1.043,30.037
0.200,8,1.043,-66.840,30.037
0.200,9,-83.810,1.043,30.037
0.200,10,1.043,-83.810,30.037
0.200,11,-100.781,1.043,30.037
0.200,12,1.043,-100.781,30.037
0.200,13,-117.751,1.043,30.037
0.200,14,1.043,-117.751,30.037
0.200,15,-134.722,1.043,30.037
0.200,16,1.043,-134.722,30.037
0.200,17,-151.693,1.043,30.037
0.200,18,1.043,-151.693,30.037
0.200,19,-168.663,1.043,30.037
0.200,20,1.043,-168.663,30.037
0.200,21,-185.634,1.043,30.037
0.200,22,1.043,-185.634,30.037
0.200,23,-202.604,1.043,30.037
0.200,24,1.043,-202.604,30.037
0.200,25,-219.575,1.043,30.037
0.200,26,1.043,-219.575,30.037
0.200,27,-236.545,1.043,30.037
0.200,28,1.043,-236.545,30.037
0.200,29,-253.516,1.043,30.037
0.300,0,1.424,1.424,30.062
0.300,1,-15.546,1.424,30.062
0.300,2,1.424,-15.546,30.062
0.300,3,-32.517,1.424,30.062
0.300,4,1.424,-32.517,30.062
0.300,5,-49.487,1.424,30.062
0.300,6,1.424,-49.487,30.062
0.300,7,-66.458,1.424,30.062
0.300,8,1.424,-66.458,30.062
0.300,9,-83.428,1.424,30.062
0.300,10,1.424,-83.428,30.062
0.300,11,-100.399,1.424,30.062
0.300,12,1.424,-100.399,30.062
0.300,13,-117.370,1.424,30.062
0.300,14,1.424,-117.370,30.062
0.300,15,-134.340,1.424,30.062
0.300,16,1.424,-134.340,30.062
0.300,17,-151.311,1.424,30.062
0.300,18,1.424,-151.311,30.062
0.300,19,-168.281,1.424,30.062
0.300,20,1.424,-168.281,30.062
0.300,21,-185.252,1.424,30.062
0.300,22,1.424,-185.252,30.062
0.300,23,-202.222,1.424,30.062
0.300,24,1.424,-202.222,30.062
0.300,25,-219.193,1.424,30.062
0.300,26,1.424,-219.193,30.062
0.300,27,-236.164,1.424,30.062
0.300,28,1.424,-236.164,30.062
0.300,29,-253.134,1.424,30.062
0.400,0,1.825,1.825,30.092
0.400,1,-15.145,1.825,30.092
0.400,2,1.825,-15.145,30.092
0.400,3,-32.116,1.825,30.092
0.400,4,1.825,-32.116,30.092
0.400,5,-49.086,1.825,30.092
0.400,6,1.825,-49.086,30.092
