# ==========================================
# v3.1 轨迹 | v_formation | dt=0.1
# 0,0,30 -> 917,1008,30
# time(s),nodeId,x(m),y(m),z(m)
# ==========================================
0.000,0,0.317,0.346,30.003
0.000,1,-16.634,-0.455,30.003
0.000,2,1.119,-16.606,30.003
0.000,3,-33.586,-1.257,30.003
0.000,4,1.920,-33.557,30.003
0.000,5,-50.538,-2.058,30.003
0.000,6,2.721,-50.509,30.003
0.000,7,-67.489,-2.860,30.003
0.000,8,3.523,-67.461,30.003
0.000,9,-84.441,-3.661,30.003
0.000,10,4.324,-84.412,30.003
0.000,11,-101.392,-4.462,30.003
0.000,12,5.125,-101.364,30.003
0.000,13,-118.344,-5.264,30.003
0.000,14,5.927,-118.316,30.003
0.100,0,0.652,0.706,30.010
0.100,1,-16.300,-0.091,30.010
0.100,2,1.448,-16.246,30.010
0.100,3,-33.252,-0.887,30.010
0.100,4,2.245,-33.198,30.010
0.100,5,-50.203,-1.684,30.010
0.100,6,3.041,-50.150,30.010
0.100,7,-67.155,-2.480,30.010
0.100,8,3.838,-67.102,30.010
0.100,9,-84.106,-3.277,30.010
0.100,10,4.634,-84.054,30.010
0.100,11,-101.058,-4.073,30.010
0.100,12,5.431,-101.006,30.010
0.100,13,-118.007,-4.845,30.011
0.100,14,6.227,-117.958,30.010
0.200,0,1.005,1.081,30.021
0.200,1,-15.947,0.296,30.021
0.200,2,1.790,-15.871,30.021
0.200,3,-32.898,-0.490,30.021
0.200,4,2.576,-32.824,30.021
0.200,5,-49.850,-1.276,30.021
0.200,6,3.362,-49.777,30.021
0.200,7,-66.801,-2.061,30.021
0.200,8,4.147,-66.729,30.021
0.200,9,-83.748,-2.822,30.022
0.200,10,4.933,-83.682,30.021
0.200,11,-100.703,-3.613,30.021
0.200,12,5.719,-100.635,30.021
0.200,13,-117.650,-4.355,30.021
0.200,14,6.504,-117.587,30.021
0.300,0,1.378,1.474,30.036
0.300,1,-15.573,0.704,30.036
0.300,2,2.147,-15.480,30.036
0.300,3,-32.524,-0.065,30.036
0.300,4,2.916,-32.434,30.036
0.300,5,-49.475,-0.834,30.036
0.300,6,3.685,-49.388,30.036
0.300,7,-66.426,-1.604,30.036
0.300,8,4.455,-66.342,30.036
0.300,9,-83.363,-2.300,30.038
0.300,10,5.224,-83.296,30.036
0.300,11,-100.323,-3.085,30.036
0.300,12,5.993,-100.250,30.036
0.300,13,-117.270,-3.797,30.036
0.300,14,6.762,-117.204,30.036
0.400,0,1.771,1.884,30.055
0.400,1,-15.179,1.136,30.055
0.400,2,2.519,-15.072,30.055
0.400,3,-32.129,0.388,30.055
0.400,4,3.267,-32.028,30.055
0.400,5,-49.079,-0.360,30.055
0.400,6,4.015,-48.984,30.055
0.400,7,-66.019,-1.080,30.057
0.400,8,4.763,-65.940,30.055
0.400,9,-82.947,-1.713,30.059
0.400,10,5.511,-82.895,30.055
0.400,11,-99.915,-2.491,30.056
0.400,12,6.259,-99.851,30.055
0.400,13,-116.864,-3.175,30.055
0.400,14,7.007,-116.807,30.055
0.500,0,2.187,2.313,30.079
0.500,1,-14.762,1.590,30.079
0.500,2,2.909,-14.646,30.079
0.500,3,-31.711,0.868,30.079
0.500,4,3.631,-31.604,30.079
0.500,5,-48.660,0.146,30.079
0.500,6,4.353,-48.562,30.079
0.500,7,-65.578,-0.494,30.083
0.500,8,5.076,-65.521,30.079
0.500,9,-82.498,-1.064,30.086
0.500,10,5.798,-82.479,30.079
0.500,11,-99.477,-1.835,30.081
0.500,12,6.520,-99.438,30.079
0.500,13,-116.429,-2.491,30.079
0.500,14,7.242,-116.396,30.079
0.600,0,2.624,2.762,30.106
0.600,1,-14.323,2.069,30.106
0.600,2,3.317,-14.200,30.106
0.600,3,-31.270,1.376,30.106
0.600,4,4.010,-31.162,30.106
0.600,5,-48.216,0.683,30.106
0.600,6,4.702,-48.124,30.106
0.600,7,-65.100,0.152,30.116
0.600,8,5.395,-65.085,30.106
0.600,9,-82.014,-0.356,30.119
0.600,10,6.088,-82.047,30.106
0.600,11,-99.006,-1.119,30.111
0.600,12,6.780,-99.009,30.106
0.600,13,-115.963,-1.747,30.107
0.600,14,7.473,-115.971,30.106
0.700,0,3.084,3.231,30.138
0.700,1,-13.860,2.570,30.138
0.700,2,3.744,-13.735,30.138
0.700,3,-30.805,1.910,30.138
0.700,4,4.404,-30.701,30.138
0.700,5,-47.733,1.279,30.141
0.700,6,5.064,-47.667,30.138
0.700,7,-64.583,0.857,30.156
0.700,8,5.724,-64.633,30.138
0.700,9,-81.493,0.408,30.158
0.700,10,6.384,-81.599,30.138
0.700,11,-98.501,-0.345,30.147
0.700,12,7.044,-98.565,30.138
0.700,13,-115.464,-0.946,30.141
0.700,14,7.704,-115.530,30.138
0.800,0,3.567,3.720,30.175
0.800,1,-13.375,3.095,30.175
0.800,2,4.191,-13.251,30.175
0.800,3,-30.316,2.470,30.175
0.800,4,4.816,-30.221,30.175
0.800,5,-47.208,1.932,30.183
0.800,6,5.440,-47.192,30.175
0.800,7,-64.026,1.616,30.202
0.800,8,6.064,-64.163,30.175
0.800,9,-80.933,1.227,30.203
0.800,10,6.689,-81.133,30.175
0.800,11,-97.959,0.484,30.189
0.800,12,7.313,-98.104,30.175
0.800,13,-114.929,-0.090,30.181
0.800,14,7.938,-115.075,30.175
0.900,0,4.072,4.230,30.216
0.900,1,-12.866,3.642,30.216
0.900,2,4.658,-12.746,30.216
0.900,3,-29.803,3.055,30.216
0.900,4,5.245,-29.722,30.216
0.900,5,-46.640,2.641,30.233
0.900,6,5.832,-46.699,30.216
0.900,7,-63.428,2.429,30.255
0.900,8,6.418,-63.675,30.216
0.900,9,-80.333,2.099,30.255
0.900,10,7.005,-80.651,30.216
0.900,11,-97.378,1.366,30.237
0.900,12,7.592,-97.627,30.216
0.900,13,-114.358,0.819,30.226
0.900,14,8.178,-114.603,30.216
1.000,0,4.599,4.760,30.261
1.000,1,-12.334,4.212,30.261
1.000,2,5.146,-12.222,30.261
1.000,3,-29.268,3.664,30.261
1.000,4,5.693,-29.204,30.261
1.000,5,-46.029,3.403,30.290
1.000,6,6.240,-46.186,30.261
1.000,7,-62.789,3.292,30.315
1.000,8,6.787,-63.169,30.261
1.000,9,-79.691,3.020,30.314
1.000,10,7.335,-80.151,30.261
1.000,11,-96.758,2.298,30.291
1.000,12,7.882,-97.133,30.261
1.000,13,-113.747,1.778,30.278
1.000,14,8.429,-114.115,30.261
1.100,0,5.148,5.311,30.310
1.100,1,-11.780,4.803,30.310
1.100,2,5.654,-11.678,30.310
1.100,3,-28.709,4.295,30.310
1.100,4,6.161,-28.667,30.310
1.100,5,-45.376,4.214,30.355
1.100,6,6.667,-45.656,30.310
1.100,7,-62.110,4.198,30.382
1.100,8,7.173,-62.645,30.310
1.100,9,-79.010,3.984,30.380
1.100,10,7.679,-79.634,30.310
1.100,11,-96.097,3.280,30.353
1.100,12,8.186,-96.623,30.310
1.100,13,-113.097,2.786,30.336
1.100,14,8.692,-113.611,30.310
1.200,0,5.719,5.881,30.363
1.200,1,-11.205,5.415,30.363
1.200,2,6.183,-11.115,30.363
1.200,3,-28.104,4.980,30.367
1.200,4,6.648,-28.111,30.363
1.200,5,-44.706,5.035,30.421
1.200,6,7.112,-45.107,30.363
1.200,7,-61.417,5.107,30.451
1.200,8,7.577,-62.103,30.363
1.200,9,-78.313,4.948,30.448
1.200,10,8.041,-79.099,30.363
1.200,11,-95.395,4.306,30.422
1.200,12,8.506,-96.095,30.363
1.200,13,-112.406,3.841,30.402
1.200,14,8.970,-113.091,30.363
1.300,0,6.310,6.471,30.420
1.300,1,-10.608,6.047,30.420
1.300,2,6.732,-10.533,30.420
1.300,3,-27.479,5.682,30.428
1.300,4,7.154,-27.536,30.420
1.300,5,-44.021,5.864,30.491
1.300,6,7.576,-44.540,30.420
1.300,7,-60.710,6.016,30.522
1.300,8,7.999,-61.544,30.420
1.300,9,-77.602,5.909,30.518
1.300,10,8.421,-78.547,30.420
1.300,11,-94.655,5.367,30.497
1.300,12,8.843,-95.551,30.420
1.300,13,-111.674,4.936,30.475
1.300,14,9.266,-112.554,30.420
1.400,0,6.920,7.079,30.480
1.400,1,-9.992,6.697,30.480
1.400,2,7.300,-9.932,30.480
1.400,3,-26.836,6.401,30.492
1.400,4,7.680,-26.944,30.480
1.400,5,-43.323,6.698,30.562
1.400,6,8.060,-43.955,30.480
1.400,7,-59.992,6.924,30.595
1.400,8,8.440,-60.967,30.480
1.400,9,-76.879,6.865,30.590
1.400,10,8.820,-77.978,30.480
