# ==========================================
# v3.1 轨迹 | v_formation | dt=0.1
# 214,48,30 -> 448,569,30
# time(s),nodeId,x(m),y(m),z(m)
# ==========================================
0.000,0,214.193,48.427,30.006
0.000,1,198.330,42.397,30.006
0.000,2,220.223,32.564,30.006
0.000,3,182.467,36.367,30.006
0.000,4,226.254,16.701,30.006
0.000,5,166.604,30.337,30.006
0.000,6,232.284,0.838,30.006
0.000,7,150.741,24.307,30.006
0.000,8,238.314,-15.025,30.006
0.000,9,134.878,18.277,30.006
0.000,10,244.344,-30.888,30.006
0.000,11,119.015,12.247,30.006
0.000,12,250.374,-46.751,30.006
0.000,13,103.152,6.217,30.006
0.000,14,256.404,-62.614,30.006
0.100,0,214.398,48.874,30.017
0.100,1,198.533,42.848,30.017
0.100,2,220.424,33.009,30.017
0.100,3,182.669,36.822,30.017
0.100,4,226.450,17.145,30.017
0.100,5,166.804,30.795,30.017
0.100,6,232.476,1.280,30.017
0.100,7,150.940,24.769,30.017
0.100,8,238.503,-14.585,30.017
0.100,9,135.076,18.743,30.017
0.100,10,244.529,-30.449,30.017
0.100,11,119.211,12.717,30.017
0.100,12,250.555,-46.314,30.017
0.100,13,103.347,6.691,30.017
0.100,14,256.581,-62.179,30.017
0.200,0,214.614,49.341,30.036
0.200,1,198.747,43.322,30.036
0.200,2,220.632,33.473,30.036
0.200,3,182.880,37.304,30.036
0.200,4,226.651,17.606,30.036
0.200,5,167.013,31.285,30.036
0.200,6,232.670,1.738,30.036
0.200,7,151.146,25.267,30.036
0.200,8,238.689,-14.130,30.036
0.200,9,135.280,19.248,30.036
0.200,10,244.708,-29.997,30.036
0.200,11,119.413,13.229,30.036
0.200,12,250.727,-45.865,30.036
0.200,13,103.546,7.211,30.036
0.200,14,256.746,-61.733,30.036
0.300,0,214.842,49.831,30.061
0.300,1,198.972,43.823,30.061
0.300,2,220.850,33.959,30.061
0.300,3,183.102,37.815,30.061
0.300,4,226.859,18.086,30.061
0.300,5,167.232,31.807,30.061
0.300,6,232.867,2.214,30.061
0.300,7,151.362,25.799,30.061
0.300,8,238.876,-13.658,30.061
0.300,9,135.492,19.792,30.061
0.300,10,244.884,-29.530,30.061
0.300,11,119.622,13.784,30.061
0.300,12,250.893,-45.402,30.061
0.300,13,103.750,7.804,30.063
0.300,14,256.901,-61.274,30.061
0.400,0,215.083,50.344,30.094
0.400,1,199.209,44.350,30.094
0.400,2,221.078,34.466,30.094
0.400,3,183.335,38.356,30.094
0.400,4,227.074,18.588,30.094
0.400,5,167.461,32.362,30.094
0.400,6,233.069,2.710,30.094
0.400,7,151.587,26.368,30.094
0.400,8,239.064,-13.168,30.094
0.400,9,135.713,20.374,30.094
0.400,10,245.060,-29.046,30.094
0.400,11,119.839,14.380,30.094
0.400,12,251.055,-44.923,30.094
0.400,13,103.961,8.468,30.099
0.400,14,257.050,-60.801,30.094
0.500,0,215.338,50.882,30.133
0.500,1,199.459,44.905,30.133
0.500,2,221.318,34.997,30.133
0.500,3,183.581,38.927,30.133
0.500,4,227.297,19.112,30.133
0.500,5,167.702,32.950,30.133
0.500,6,233.277,3.227,30.133
0.500,7,151.824,26.972,30.133
0.500,8,239.257,-12.658,30.133
0.500,9,135.945,20.994,30.133
0.500,10,245.237,-28.543,30.133
0.500,11,120.068,15.047,30.137
0.500,12,251.216,-44.428,30.133
0.500,13,104.184,9.202,30.146
0.500,14,257.196,-60.313,30.133
0.600,0,215.602,51.449,30.179
0.600,1,199.718,45.490,30.179
0.600,2,221.564,35.555,30.179
0.600,3,183.835,39.531,30.179
0.600,4,227.526,19.662,30.179
0.600,5,167.952,33.572,30.179
0.600,6,233.488,3.769,30.179
0.600,7,152.068,27.613,30.179
0.600,8,239.451,-12.125,30.179
0.600,9,136.185,21.654,30.179
0.600,10,245.413,-28.018,30.179
0.600,11,120.307,15.784,30.189
0.600,12,251.375,-43.911,30.179
0.600,13,104.416,10.004,30.201
0.600,14,257.337,-59.805,30.179
0.700,0,215.874,52.044,30.231
0.700,1,199.987,46.101,30.231
0.700,2,221.821,36.143,30.231
0.700,3,184.100,40.158,30.231
0.700,4,227.769,20.242,30.231
0.700,5,168.213,34.216,30.231
0.700,6,233.716,4.341,30.231
0.700,7,152.326,28.273,30.231
0.700,8,239.663,-11.560,30.231
0.700,9,136.438,22.330,30.231
0.700,10,245.611,-27.461,30.231
0.700,11,120.562,16.530,30.246
0.700,12,251.558,-43.361,30.231
0.700,13,104.667,10.809,30.261
0.700,14,257.505,-59.262,30.231
0.800,0,216.153,52.669,30.288
0.800,1,200.265,46.735,30.288
0.800,2,222.092,36.763,30.288
0.800,3,184.377,40.802,30.288
0.800,4,228.032,20.857,30.288
0.800,5,168.489,34.868,30.288
0.800,6,233.989,4.972,30.292
0.800,7,152.601,28.935,30.288
0.800,8,239.926,-10.940,30.291
0.800,9,136.713,23.001,30.288
0.800,10,245.862,-26.851,30.290
0.800,11,120.840,17.260,30.309
0.800,12,251.798,-42.762,30.289
0.800,13,104.945,11.585,30.326
0.800,14,257.733,-58.672,30.288
0.900,0,216.437,53.324,30.352
0.900,1,200.552,47.389,30.352
0.900,2,222.380,37.418,30.352
0.900,3,184.667,41.453,30.352
0.900,4,228.338,21.531,30.354
0.900,5,168.783,35.518,30.352
0.900,6,234.310,5.656,30.360
0.900,7,152.898,29.583,30.352
0.900,8,240.241,-10.270,30.356
0.900,9,137.013,23.647,30.352
0.900,10,246.169,-26.194,30.353
0.900,11,121.172,17.926,30.381
0.900,12,252.095,-42.117,30.351
0.900,13,105.271,12.289,30.397
0.900,14,258.020,-58.039,30.349
1.000,0,216.726,54.010,30.420
1.000,1,200.849,48.061,30.420
1.000,2,222.701,38.136,30.425
1.000,3,184.972,42.112,30.420
1.000,4,228.686,22.261,30.428
1.000,5,169.094,36.163,30.420
1.000,6,234.677,6.392,30.433
1.000,7,153.217,30.214,30.420
1.000,8,240.605,-9.551,30.427
1.000,9,137.369,24.240,30.425
1.000,10,246.528,-25.490,30.421
1.000,11,121.550,18.526,30.460
1.000,12,252.447,-41.427,30.417
1.000,13,105.637,12.921,30.474
1.000,14,258.364,-57.363,30.413
1.100,0,217.026,54.722,30.492
1.100,1,201.160,48.749,30.492
1.100,2,223.059,38.914,30.506
1.100,3,185.294,42.775,30.492
1.100,4,229.077,23.045,30.508
1.100,5,169.428,36.802,30.492
1.100,6,235.091,7.179,30.512
1.100,7,153.562,30.828,30.492
1.100,8,241.019,-8.784,30.501
1.100,9,137.780,24.784,30.508
1.100,10,246.939,-24.742,30.492
1.100,11,121.972,19.067,30.544
1.100,12,252.853,-40.695,30.485
1.100,13,106.043,13.486,30.554
1.100,14,258.763,-56.645,30.479
1.200,0,217.339,55.461,30.568
1.200,1,201.485,49.458,30.568
1.200,2,223.432,39.717,30.591
1.200,3,185.631,43.454,30.568
1.200,4,229.506,23.887,30.596
1.200,5,169.777,37.451,30.568
1.200,6,235.545,8.020,30.597
1.200,7,153.922,31.448,30.568
1.200,8,241.477,-7.966,30.581
1.200,9,138.200,25.332,30.593
1.200,10,247.396,-23.943,30.568
1.200,11,122.405,19.603,30.631
1.200,12,253.306,-39.914,30.558
1.200,13,106.466,14.033,30.637
1.200,14,259.211,-55.880,30.550
1.300,0,217.666,56.224,30.647
1.300,1,201.823,50.191,30.647
1.300,2,223.816,40.541,30.677
1.300,3,185.979,44.157,30.647
1.300,4,229.943,24.749,30.686
1.300,5,170.136,38.124,30.647
1.300,6,236.007,8.883,30.685
1.300,7,154.293,32.090,30.647
1.300,8,241.966,-7.087,30.669
1.300,9,138.623,25.907,30.680
1.300,10,247.885,-23.085,30.652
1.300,11,122.839,20.162,30.720
1.300,12,253.794,-39.075,30.638
1.300,13,106.892,14.597,30.722
1.300,14,259.696,-55.058,30.627
1.400,0,218.008,57.010,30.729
1.400,1,202.173,50.951,30.729
1.400,2,224.207,41.382,30.766
1.400,3,186.338,44.892,30.729
1.400,4,230.380,25.626,30.777
1.400,5,170.514,38.866,30.734
1.400,6,236.464,9.760,30.774
1.400,7,154.677,32.804,30.733
1.400,8,242.446,-6.195,30.760
1.400,9,139.047,26.558,30.773
1.400,10,248.364,-22.212,30.739
1.400,11,123.271,20.799,30.813
1.400,12,254.270,-38.219,30.721
1.400,13,107.316,15.237,30.813
1.400,14,260.167,-54.219,30.707
1.500,0,218.367,57.817,30.813
1.500,1,202.548,51.778,30.818
1.500,2,224.603,42.238,30.856
1.500,3,186.713,45.696,30.817
1.500,4,230.809,26.511,30.870
1.500,5,170.899,39.679,30.825
1.500,6,236.904,10.643,30.864
1.500,7,155.063,33.591,30.823
1.500,8,242.901,-5.298,30.851
1.500,9,139.463,27.285,30.868
1.500,10,248.813,-21.335,30.827
1.500,11,123.691,21.511,30.908
1.500,12,254.709,-37.360,30.807
1.500,13,107.727,15.953,30.905
1.500,14,260.596,-53.376,30.790
1.600,0,218.742,58.644,30.899
1.600,1,202.948,52.668,30.913
1.600,2,225.003,43.104,30.947
1.600,3,187.102,46.567,30.909
1.600,4,231.231,27.403,30.963
1.600,5,171.293,40.561,30.921
1.600,6,237.327,11.530,30.956
1.600,7,155.451,34.447,30.917
1.600,8,243.330,-4.401,30.944
1.600,9,139.872,28.083,30.965
1.600,10,249.228,-20.457,30.916
1.600,11,124.099,22.295,31.004
1.600,12,255.109,-36.501,30.894
1.600,13,108.127,16.741,30.997
1.600,14,260.944,-52.522,30.880
1.700,0,219.132,59.488,30.986
1.700,1,203.372,53.622,31.015
1.700,2,225.407,43.981,31.039
1.700,3,187.509,47.505,31.007
1.700,4,231.645,28.299,31.057
1.700,5,171.696,41.510,31.019
1.700,6,237.734,12.419,31.048
1.700,7,155.844,35.371,31.013
1.700,8,243.734,-3.505,31.038
1.700,9,140.276,28.952,31.063
1.700,10,249.613,-19.581,31.007
1.700,11,124.500,23.150,31.101
1.700,12,255.473,-35.644,30.983
1.700,13,108.517,17.599,31.091
1.700,14,261.217,-51.659,30.977
1.800,0,219.532,60.352,31.074
1.800,1,203.814,54.634,31.120
1.800,2,225.810,44.869,31.131
1.800,3,187.927,48.508,31.108
1.800,4,232.049,29.200,31.150
1.800,5,172.106,42.525,31.121
1.800,6,238.122,13.311,31.140
1.800,7,156.239,36.362,31.110
1.800,8,244.113,-2.609,31.131
1.800,9,140.675,29.889,31.162
1.800,10,249.966,-18.705,31.098
1.800,11,124.891,24.073,31.198
1.800,12,255.801,-34.787,31.072
1.800,13,108.898,18.524,31.185
1.800,14,261.419,-50.787,31.079
1.900,0,219.939,61.234,31.162
1.900,1,204.260,55.657,31.224
1.900,2,226.214,45.770,31.222
1.900,3,188.350,49.526,31.209
1.900,4,232.448,30.111,31.243
1.900,5,172.530,43.598,31.225
1.900,6,238.504,14.211,31.231
1.900,7,156.647,37.418,31.212
1.900,8,244.484,-1.707,31.223
1.900,9,141.076,30.893,31.262
1.900,10,250.312,-17.822,31.189
1.900,11,125.283,25.064,31.296
1.900,12,256.122,-33.921,31.161
1.900,13,109.281,19.517,31.280
1.900,14,261.627,-49.911,31.180
2.000,0,220.349,62.134,31.250
2.000,1,204.707,56.685,31.327
2.000,2,226.622,46.685,31.312
2.000,3,188.778,50.548,31.307
2.000,4,232.852,31.033,31.334
2.000,5,172.960,44.670,31.328
2.000,6,238.893,15.124,31.322
2.000,7,157.063,38.474,31.311
2.000,8,244.864,-0.790,31.315
2.000,9,141.484,31.904,31.361
2.000,10,250.672,-16.921,31.279
2.000,11,125.681,26.059,31.391
2.000,12,256.462,-33.036,31.250
2.000,13,109.671,20.509,31.373
2.000,14,261.891,-48.985,31.284
2.100,0,220.761,63.051,31.338
2.100,1,205.154,57.711,31.427
2.100,2,227.036,47.614,31.401
2.100,3,189.210,51.565,31.404
2.100,4,233.266,31.970,31.424
2.100,5,173.397,45.726,31.428
2.100,6,239.325,16.089,31.414
2.100,7,157.489,39.510,31.409
2.100,8,245.292,0.175,31.408
2.100,9,141.901,32.896,31.457
2.100,10,251.084,-15.974,31.371
2.100,11,126.092,27.029,31.485
2.100,12,256.856,-32.106,31.340
2.100,13,110.079,21.467,31.465
2.100,14,262.220,-48.024,31.386
2.200,0,221.173,63.984,31.424
2.200,1,205.601,58.734,31.524
2.200,2,227.455,48.559,31.489
2.200,3,189.647,52.571,31.499
2.200,4,233.691,32.923,31.512
2.200,5,173.841,46.759,31.526
2.200,6,239.802,17.104,31.507
2.200,7,157.926,40.519,31.504
2.200,8,245.769,1.185,31.501
2.200,9,142.331,33.861,31.550
2.200,10,251.548,-14.984,31.462
2.200,11,126.517,27.964,31.576
2.200,12,257.305,-31.135,31.430
2.200,13,110.533,22.353,31.557
2.200,14,262.612,-47.028,31.488
2.300,0,221.590,64.929,31.509
2.300,1,206.051,59.748,31.618
2.300,2,227.884,49.514,31.574
2.300,3,190.091,53.563,31.591
2.300,4,234.132,33.888,31.598
2.300,5,174.295,47.768,31.620
2.300,6,240.326,18.163,31.599
2.300,7,158.377,41.498,31.597
2.300,8,246.296,2.236,31.593
2.300,9,142.776,34.796,31.641
2.300,10,252.064,-13.955,31.553
2.300,11,126.960,28.862,31.664
2.300,12,257.808,-30.126,31.520
2.300,13,111.030,23.171,31.647
2.300,14,263.065,-46.001,31.587
2.400,0,222.013,65.882,31.592
2.400,1,206.503,60.757,31.709
2.400,2,228.319,50.475,31.657
2.400,3,190.540,54.549,31.679
2.400,4,234.579,34.858,31.680
2.400,5,174.754,48.764,31.710
2.400,6,240.852,19.223,31.688
2.400,7,158.834,42.466,31.686
2.400,8,246.829,3.290,31.682
2.400,9,143.226,35.724,31.727
2.400,10,252.618,-12.885,31.643
2.400,11,127.409,29.751,31.748
2.400,12,258.357,-29.072,31.609
2.400,13,111.527,23.980,31.733
2.400,14,263.575,-44.938,31.685
2.500,0,222.445,66.842,31.672
2.500,1,206.959,61.763,31.795
2.500,2,228.758,51.437,31.736
2.500,3,190.992,55.536,31.764
2.500,4,235.026,35.827,31.760
2.500,5,175.214,49.760,31.797
2.500,6,241.369,20.275,31.773
