# ==========================================
# v3.1 轨迹 | v_formation | dt=0.1
# 0,0,30 -> 500,500,30
# time(s),nodeId,x(m),y(m),z(m)
# ==========================================
0.000,0,0.332,0.332,30.003
0.000,1,-16.639,0.332,30.003
0.000,2,0.332,-16.639,30.003
0.000,3,-33.609,0.332,30.003
0.000,4,0.332,-33.609,30.003
0.000,5,-50.580,0.332,30.003
0.000,6,0.332,-50.580,30.003
0.000,7,-67.550,0.332,30.003
0.000,8,0.332,-67.550,30.003
0.000,9,-84.521,0.332,30.003
0.000,10,0.332,-84.521,30.003
0.000,11,-101.491,0.332,30.003
0.000,12,0.332,-101.491,30.003
0.000,13,-118.462,0.332,30.003
0.000,14,0.332,-118.462,30.003
0.100,0,0.679,0.679,30.010
0.100,1,-16.291,0.679,30.010
0.100,2,0.679,-16.291,30.010
0.100,3,-33.262,0.679,30.010
0.100,4,0.679,-33.262,30.010
0.100,5,-50.232,0.679,30.010
0.100,6,0.679,-50.232,30.010
0.100,7,-67.203,0.679,30.010
0.100,8,0.679,-67.203,30.010
0.100,9,-84.173,0.679,30.010
0.100,10,0.679,-84.173,30.010
0.100,11,-101.144,0.679,30.010
0.100,12,0.679,-101.144,30.010
0.100,13,-118.114,0.679,30.010
0.100,14,0.679,-118.114,30.010
0.200,0,1.044,1.044,30.021
0.200,1,-15.927,1.044,30.021
0.200,2,1.044,-15.927,30.021
0.200,3,-32.897,1.044,30.021
0.200,4,1.044,-32.897,30.021
0.200,5,-49.868,1.044,30.021
0.200,6,1.044,-49.868,30.021
0.200,7,-66.838,1.044,30.021
0.200,8,1.044,-66.838,30.021
0.200,9,-83.809,1.044,30.021
0.200,10,1.044,-83.809,30.021
0.200,11,-100.779,1.044,30.021
0.200,12,1.044,-100.779,30.021
0.200,13,-117.750,1.044,30.021
0.200,14,1.044,-117.750,30.021
0.300,0,1.427,1.427,30.036
0.300,1,-15.544,1.427,30.036
0.300,2,1.427,-15.544,30.036
0.300,3,-32.514,1.427,30.036
0.300,4,1.427,-32.514,30.036
0.300,5,-49.485,1.427,30.036
0.300,6,1.427,-49.485,30.036
0.300,7,-66.455,1.427,30.036
0.300,8,1.427,-66.455,30.036
0.300,9,-83.426,1.427,30.036
0.300,10,1.427,-83.426,30.036
0.300,11,-100.397,1.427,30.036
0.300,12,1.427,-100.397,30.036
0.300,13,-117.367,1.427,30.036
0.300,14,1.427,-117.367,30.036
0.400,0,1.829,1.829,30.055
0.400,1,-15.142,1.829,30.055
0.400,2,1.829,-15.142,30.055
0.400,3,-32.112,1.829,30.055
0.400,4,1.829,-32.112,30.055
0.400,5,-49.083,1.829,30.055
0.400,6,1.829,-49.083,30.055
0.400,7,-66.053,1.829,30.055
0.400,8,1.829,-66.053,30.055
0.400,9,-83.024,1.829,30.055
0.400,10,1.829,-83.024,30.055
0.400,11,-99.994,1.829,30.055
0.400,12,1.829,-99.994,30.055
0.400,13,-116.965,1.829,30.055
0.400,14,1.829,-116.965,30.055
0.500,0,2.251,2.251,30.079
0.500,1,-14.719,2.251,30.079
0.500,2,2.251,-14.719,30.079
0.500,3,-31.690,2.251,30.079
0.500,4,2.251,-31.690,30.079
0.500,5,-48.660,2.251,30.079
0.500,6,2.251,-48.660,30.079
0.500,7,-65.631,2.251,30.079
0.500,8,2.251,-65.631,30.079
0.500,9,-82.601,2.251,30.079
0.500,10,2.251,-82.601,30.079
0.500,11,-99.572,2.251,30.079
0.500,12,2.251,-99.572,30.079
0.500,13,-116.542,2.251,30.079
0.500,14,2.251,-116.542,30.079
0.600,0,2.695,2.695,30.106
0.600,1,-14.276,2.695,30.106
0.600,2,2.695,-14.276,30.106
0.600,3,-31.246,2.695,30.106
0.600,4,2.695,-31.246,30.106
0.600,5,-48.217,2.695,30.106
0.600,6,2.695,-48.217,30.106
0.600,7,-65.187,2.695,30.106
0.600,8,2.695,-65.187,30.106
0.600,9,-82.158,2.695,30.106
0.600,10,2.695,-82.158,30.106
0.600,11,-99.129,2.695,30.106
0.600,12,2.695,-99.129,30.106
0.600,13,-116.099,2.695,30.106
0.600,14,2.695,-116.099,30.106
0.700,0,3.159,3.159,30.138
0.700,1,-13.811,3.159,30.138
0.700,2,3.159,-13.811,30.138
0.700,3,-30.782,3.159,30.138
0.700,4,3.159,-30.782,30.138
0.700,5,-47.752,3.159,30.138
0.700,6,3.159,-47.752,30.138
