# ==========================================
# v3.0 轨迹 | v_formation | dt=0.1
# 0,0,30 -> 500,500,30
# time(s),nodeId,x(m),y(m),z(m)
# ==========================================
0.000,0,0.290,0.347,30.000
0.000,1,-16.681,0.347,30.000
0.000,2,0.290,-16.624,30.000
0.000,3,-33.651,0.347,30.000
0.000,4,0.290,-33.595,30.000
0.000,5,-50.622,0.347,30.000
0.000,6,0.290,-50.565,30.000
0.000,7,-67.592,0.347,30.000
0.000,8,0.290,-67.536,30.000
0.000,9,-84.563,0.347,30.000
0.000,10,0.290,-84.506,30.000
0.000,11,-101.533,0.347,30.000
0.000,12,0.290,-101.477,30.000
0.000,13,-118.504,0.347,30.000
0.000,14,0.290,-118.447,30.000
0.100,0,0.553,0.724,30.000
0.100,1,-16.417,0.724,30.000
0.100,2,0.553,-16.246,30.000
0.100,3,-33.388,0.724,30.000
0.100,4,0.553,-33.217,30.000
0.100,5,-50.358,0.724,30.000
0.100,6,0.553,-50.187,30.000
0.100,7,-67.329,0.724,30.000
0.100,8,0.553,-67.158,30.000
0.100,9,-84.300,0.724,30.000
0.100,10,0.553,-84.128,30.000
0.100,11,-101.270,0.724,30.000
0.100,12,0.553,-101.099,30.000
0.100,13,-118.241,0.724,30.000
0.100,14,0.553,-118.070,30.000
0.200,0,0.792,1.136,30.000
0.200,1,-16.179,1.136,30.000
0.200,2,0.792,-15.835,30.000
0.200,3,-33.149,1.136,30.000
0.200,4,0.792,-32.805,30.000
0.200,5,-50.120,1.136,30.000
0.200,6,0.792,-49.776,30.000
0.200,7,-67.090,1.136,30.000
0.200,8,0.792,-66.747,30.000
0.200,9,-84.061,1.136,30.000
0.200,10,0.792,-83.717,30.000
0.200,11,-101.032,1.136,30.000
0.200,12,0.792,-100.688,30.000
0.200,13,-118.002,1.136,30.000
0.200,14,0.792,-117.658,30.000
0.300,0,1.007,1.583,30.000
0.300,1,-15.963,1.583,30.000
0.300,2,1.007,-15.388,30.000
0.300,3,-32.934,1.583,30.000
0.300,4,1.007,-32.359,30.000
0.300,5,-49.904,1.583,30.000
0.300,6,1.007,-49.329,30.000
0.300,7,-66.875,1.583,30.000
0.300,8,1.007,-66.300,30.000
0.300,9,-83.846,1.583,30.000
0.300,10,1.007,-83.270,30.000
0.300,11,-100.816,1.583,30.000
0.300,12,1.007,-100.241,30.000
0.300,13,-117.787,1.583,30.000
0.300,14,1.007,-117.211,30.000
0.400,0,1.201,2.067,30.000
0.400,1,-15.769,2.067,30.000
0.400,2,1.201,-14.904,30.000
0.400,3,-32.740,2.067,30.000
0.400,4,1.201,-31.875,30.000
0.400,5,-49.710,2.067,30.000
0.400,6,1.201,-48.845,30.000
0.400,7,-66.681,2.067,30.000
0.400,8,1.201,-65.816,30.000
0.400,9,-83.651,2.067,30.000
0.400,10,1.201,-82.786,30.000
0.400,11,-100.622,2.067,30.000
0.400,12,1.201,-99.757,30.000
0.400,13,-117.592,2.067,30.000
0.400,14,1.201,-116.727,30.000
0.500,0,1.376,2.589,30.000
0.500,1,-15.594,2.589,30.000
0.500,2,1.376,-14.382,30.000
0.500,3,-32.565,2.589,30.000
0.500,4,1.376,-31.352,30.000
0.500,5,-49.536,2.589,30.000
0.500,6,1.376,-48.323,30.000
0.500,7,-66.506,2.589,30.000
0.500,8,1.376,-65.293,30.000
0.500,9,-83.477,2.589,30.000
0.500,10,1.376,-82.264,30.000
0.500,11,-100.447,2.589,30.000
0.500,12,1.376,-99.235,30.000
0.500,13,-117.418,2.589,30.000
0.500,14,1.376,-116.205,30.000
0.600,0,1.533,3.150,30.000
0.600,1,-15.438,3.150,30.000
0.600,2,1.533,-13.820,30.000
0.600,3,-32.408,3.150,30.000
0.600,4,1.533,-30.791,30.000
0.600,5,-49.379,3.150,30.000
0.600,6,1.533,-47.761,30.000
0.600,7,-66.349,3.150,30.000
0.600,8,1.533,-64.732,30.000
0.600,9,-83.320,3.150,30.000
0.600,10,1.533,-81.703,30.000
0.600,11,-100.291,3.150,30.000
0.600,12,1.533,-98.673,30.000
0.600,13,-117.261,3.150,30.000
0.600,14,1.533,-115.644,30.000
0.700,0,1.673,3.751,30.000
0.700,1,-15.297,3.751,30.000
0.700,2,1.673,-13.219,30.000
0.700,3,-32.268,3.751,30.000
0.700,4,1.673,-30.190,30.000
0.700,5,-49.238,3.751,30.000
0.700,6,1.673,-47.161,30.000
0.700,7,-66.209,3.751,30.000
0.700,8,1.673,-64.131,30.000
0.700,9,-83.179,3.751,30.000
0.700,10,1.673,-81.102,30.000
0.700,11,-100.150,3.751,30.000
0.700,12,1.673,-98.072,30.000
0.700,13,-117.121,3.751,30.000
0.700,14,1.673,-115.043,30.000
0.800,0,1.799,4.392,30.000
0.800,1,-15.171,4.392,30.000
0.800,2,1.799,-12.579,30.000
0.800,3,-32.142,4.392,30.000
0.800,4,1.799,-29.549,30.000
0.800,5,-49.112,4.392,30.000
0.800,6,1.799,-46.520,30.000
0.800,7,-66.083,4.392,30.000
0.800,8,1.799,-63.490,30.000
0.800,9,-83.053,4.392,30.000
0.800,10,1.799,-80.461,30.000
0.800,11,-100.024,4.392,30.000
0.800,12,1.799,-97.432,30.000
0.800,13,-116.995,4.392,30.000
0.800,14,1.799,-114.402,30.000
0.900,0,1.912,5.072,30.000
0.900,1,-15.058,5.072,30.000
0.900,2,1.912,-11.899,30.000
0.900,3,-32.029,5.072,30.000
0.900,4,1.912,-28.869,30.000
0.900,5,-48.999,5.072,30.000
0.900,6,1.912,-45.840,30.000
0.900,7,-65.970,5.072,30.000
0.900,8,1.912,-62.810,30.000
0.900,9,-82.940,5.072,30.000
0.900,10,1.912,-79.781,30.000
0.900,11,-99.911,5.072,30.000
0.900,12,1.912,-96.752,30.000
0.900,13,-116.882,5.072,30.000
0.900,14,1.912,-113.722,30.000
1.000,0,2.014,5.791,30.000
1.000,1,-14.957,5.791,30.000
1.000,2,2.014,-11.180,30.000
1.000,3,-31.927,5.791,30.000
1.000,4,2.014,-28.150,30.000
1.000,5,-48.898,5.791,30.000
1.000,6,2.014,-45.121,30.000
1.000,7,-65.868,5.791,30.000
1.000,8,2.014,-62.091,30.000
1.000,9,-82.839,5.791,30.000
1.000,10,2.014,-79.062,30.000
1.000,11,-99.810,5.791,30.000
1.000,12,2.014,-96.033,30.000
1.000,13,-116.780,5.791,30.000
1.000,14,2.014,-113.003,30.000
1.100,0,2.099,6.581,30.000
1.100,1,-14.871,6.581,30.000
1.100,2,2.099,-10.389,30.000
1.100,3,-31.842,6.581,30.000
1.100,4,2.099,-27.360,30.000
1.100,5,-48.812,6.581,30.000
1.100,6,2.099,-44.330,30.000
1.100,7,-65.783,6.581,30.000
1.100,8,2.099,-61.301,30.000
1.100,9,-82.753,6.581,30.000
1.100,10,2.099,-78.271,30.000
1.100,11,-99.724,6.581,30.000
1.100,12,2.099,-95.242,30.000
1.100,13,-116.694,6.581,30.000
1.100,14,2.099,-112.213,30.000
1.200,0,2.171,7.443,30.000
1.200,1,-14.799,7.443,30.000
1.200,2,2.171,-9.528,30.000
1.200,3,-31.770,7.443,30.000
1.200,4,2.171,-26.499,30.000
1.200,5,-48.740,7.443,30.000
1.200,6,2.171,-43.469,30.000
1.200,7,-65.711,7.443,30.000
1.200,8,2.171,-60.440,30.000
1.200,9,-82.681,7.443,30.000
1.200,10,2.171,-77.410,30.000
1.200,11,-99.652,7.443,30.000
1.200,12,2.171,-94.381,30.000
1.200,13,-116.623,7.443,30.000
1.200,14,2.171,-111.351,30.000
1.300,0,2.231,8.373,30.000
1.300,1,-14.739,8.373,30.000
1.300,2,2.231,-8.597,30.000
1.300,3,-31.710,8.373,30.000
1.300,4,2.231,-25.568,30.000
1.300,5,-48.680,8.373,30.000
1.300,6,2.231,-42.538,30.000
1.300,7,-65.651,8.373,30.000
1.300,8,2.231,-59.509,30.000
1.300,9,-82.622,8.373,30.000
1.300,10,2.231,-76.480,30.000
1.300,11,-99.592,8.373,30.000
1.300,12,2.231,-93.450,30.000
1.300,13,-116.563,8.373,30.000
1.300,14,2.231,-110.421,30.000
1.400,0,2.281,9.372,30.000
1.400,1,-14.690,9.372,30.000
1.400,2,2.281,-7.598,30.000
1.400,3,-31.660,9.372,30.000
1.400,4,2.281,-24.569,30.000
1.400,5,-48.631,9.372,30.000
1.400,6,2.281,-41.539,30.000
1.400,7,-65.601,9.372,30.000
1.400,8,2.281,-58.510,30.000
1.400,9,-82.572,9.372,30.000
1.400,10,2.281,-75.481,30.000
1.400,11,-99.542,9.372,30.000
1.400,12,2.281,-92.451,30.000
1.400,13,-116.513,9.372,30.000
1.400,14,2.281,-109.422,30.000
1.500,0,2.322,10.434,30.000
1.500,1,-14.648,10.434,30.000
1.500,2,2.322,-6.536,30.000
1.500,3,-31.619,10.434,30.000
1.500,4,2.322,-23.507,30.000
1.500,5,-48.589,10.434,30.000
1.500,6,2.322,-40.477,30.000
1.500,7,-65.560,10.434,30.000
1.500,8,2.322,-57.448,30.000
1.500,9,-82.530,10.434,30.000
1.500,10,2.322,-74.418,30.000
1.500,11,-99.501,10.434,30.000
1.500,12,2.322,-91.389,30.000
1.500,13,-116.472,10.434,30.000
1.500,14,2.322,-108.360,30.000
1.600,0,2.363,11.513,30.000
1.600,1,-14.607,11.513,30.000
1.600,2,2.363,-5.457,30.000
1.600,3,-31.578,11.513,30.000
1.600,4,2.363,-22.428,30.000
1.600,5,-48.548,11.513,30.000
1.600,6,2.363,-39.398,30.000
1.600,7,-65.519,11.513,30.000
1.600,8,2.363,-56.369,30.000
1.600,9,-82.489,11.513,30.000
1.600,10,2.363,-73.340,30.000
1.600,11,-99.460,11.513,30.000
1.600,12,2.363,-90.310,30.000
1.600,13,-116.431,11.513,30.000
1.600,14,2.363,-107.281,30.000
1.700,0,2.404,12.606,30.000
1.700,1,-14.566,12.606,30.000
1.700,2,2.404,-4.364,30.000
1.700,3,-31.537,12.606,30.000
1.700,4,2.404,-21.335,30.000
1.700,5,-48.507,12.606,30.000
1.700,6,2.404,-38.306,30.000
1.700,7,-65.478,12.606,30.000
1.700,8,2.404,-55.276,30.000
1.700,9,-82.448,12.606,30.000
1.700,10,2.404,-72.247,30.000
1.700,11,-99.419,12.606,30.000
1.700,12,2.404,-89.217,30.000
1.700,13,-116.390,12.606,30.000
1.700,14,2.404,-106.188,30.000
1.800,0,2.446,13.711,30.000
1.800,1,-14.525,13.711,30.000
1.800,2,2.446,-3.260,30.000
1.800,3,-31.495,13.711,30.000
1.800,4,2.446,-20.230,30.000
1.800,5,-48.466,13.711,30.000
1.800,6,2.446,-37.201,30.000
1.800,7,-65.436,13.711,30.000
1.800,8,2.446,-54.171,30.000
1.800,9,-82.407,13.711,30.000
1.800,10,2.446,-71.142,30.000
1.800,11,-99.377,13.711,30.000
1.800,12,2.446,-88.113,30.000
1.800,13,-116.348,13.711,30.000
