# ==========================================
# v3.1 轨迹 | v_formation | dt=0.1
# 0,0,30 -> 865,1074,30
# time(s),nodeId,x(m),y(m),z(m)
# ==========================================
0.000,0,0.298,0.362,30.006
0.000,1,-16.575,-1.456,30.006
0.000,2,2.116,-16.510,30.006
0.000,3,-33.448,-3.275,30.006
0.000,4,3.935,-33.383,30.006
0.000,5,-50.321,-5.094,30.006
0.000,6,5.754,-50.256,30.006
0.000,7,-67.194,-6.912,30.006
0.000,8,7.572,-67.129,30.006
0.000,9,-84.067,-8.731,30.006
0.000,10,9.391,-84.002,30.006
0.000,11,-100.939,-10.550,30.006
0.000,12,11.210,-100.875,30.006
0.000,13,-117.812,-12.368,30.006
0.000,14,13.028,-117.747,30.006
0.100,0,0.613,0.738,30.019
0.100,1,-16.260,-1.076,30.019
0.100,2,2.427,-16.136,30.019
0.100,3,-33.133,-2.890,30.019
0.100,4,4.241,-33.009,30.019
0.100,5,-50.006,-4.704,30.019
0.100,6,6.055,-49.883,30.019
0.100,7,-66.879,-6.518,30.019
0.100,8,7.869,-66.756,30.019
0.100,9,-83.753,-8.332,30.019
0.100,10,9.683,-83.629,30.019
0.100,11,-100.626,-10.146,30.019
0.100,12,11.496,-100.503,30.019
0.100,13,-117.497,-11.933,30.020
0.100,14,13.310,-117.376,30.019
0.200,0,0.948,1.127,30.039
0.200,1,-15.925,-0.673,30.039
0.200,2,2.748,-15.748,30.039
0.200,3,-32.799,-2.473,30.039
0.200,4,4.548,-32.623,30.039
0.200,5,-49.673,-4.273,30.039
0.200,6,6.348,-49.498,30.039
0.200,7,-66.545,-6.052,30.040
0.200,8,8.148,-66.373,30.039
0.200,9,-83.422,-7.860,30.039
0.200,10,9.948,-83.248,30.039
0.200,11,-100.298,-9.669,30.038
0.200,12,11.703,-100.120,30.042
0.200,13,-117.169,-11.425,30.038
0.200,14,13.511,-116.999,30.040
0.300,0,1.306,1.531,30.067
0.300,1,-15.569,-0.242,30.067
0.300,2,3.078,-15.347,30.067
0.300,3,-32.436,-1.988,30.069
0.300,4,4.851,-32.225,30.067
0.300,5,-49.317,-3.772,30.067
0.300,6,6.624,-49.103,30.067
0.300,7,-66.193,-5.516,30.066
