# ==========================================
# v3.1 轨迹 | v_formation | dt=0.1
# 0,0,30 -> 500,500,30
# time(s),nodeId,x(m),y(m),z(m)
# ==========================================
0.000,0,0.332,0.332,30.000
0.000,1,-16.639,0.332,30.000
0.000,2,0.332,-16.639,30.000
0.000,3,-33.609,0.332,30.000
0.000,4,0.332,-33.609,30.000
0.100,0,0.680,0.680,30.001
0.100,1,-16.291,0.680,30.001
0.100,2,0.680,-16.291,30.001
0.100,3,-33.261,0.680,30.001
0.100,4,0.680,-33.261,30.001
0.200,0,1.045,1.045,30.003
0.200,1,-15.926,1.045,30.003
0.200,2,1.045,-15.926,30.003
0.200,3,-32.897,1.045,30.003
0.200,4,1.045,-32.897,30.003
0.300,0,1.428,1.428,30.005
0.300,1,-15.543,1.428,30.005
0.300,2,1.428,-15.543,30.005
0.300,3,-32.513,1.428,30.005
0.300,4,1.428,-32.513,30.005
0.400,0,1.831,1.831,30.008
0.400,1,-15.140,1.831,30.008
0.400,2,1.831,-15.140,30.008
0.400,3,-32.111,1.831,30.008
0.400,4,1.831,-32.111,30.008
0.500,0,2.254,2.254,30.011
0.500,1,-14.717,2.254,30.011
0.500,2,2.254,-14.717,30.011
0.500,3,-31.688,2.254,30.011
0.500,4,2.254,-31.688,30.011
0.600,0,2.698,2.698,30.015
0.600,1,-14.273,2.698,30.015
0.600,2,2.698,-14.273,30.015
0.600,3,-31.243,2.698,30.015
0.600,4,2.698,-31.243,30.015
0.700,0,3.163,3.163,30.019
0.700,1,-13.807,3.163,30.019
0.700,2,3.163,-13.807,30.019
0.700,3,-30.778,3.163,30.019
0.700,4,3.163,-30.778,30.019
0.800,0,3.650,3.650,30.025
0.800,1,-13.320,3.650,30.025
0.800,2,3.650,-13.320,30.025
0.800,3,-30.291,3.650,30.025
0.800,4,3.650,-30.291,30.025
0.900,0,4.159,4.159,30.030
0.900,1,-12.812,4.159,30.030
0.900,2,4.159,-12.812,30.030
0.900,3,-29.782,4.159,30.030
0.900,4,4.159,-29.782,30.030
1.000,0,4.689,4.689,30.037
1.000,1,-12.281,4.689,30.037
1.000,2,4.689,-12.281,30.037
1.000,3,-29.252,4.689,30.037
1.000,4,4.689,-29.252,30.037
1.100,0,5.240,5.240,30.044
1.100,1,-11.730,5.240,30.044
1.100,2,5.240,-11.730,30.044
1.100,3,-28.701,5.240,30.044
1.100,4,5.240,-28.701,30.044
1.200,0,5.812,5.812,30.051
1.200,1,-11.158,5.812,30.051
1.200,2,5.812,-11.158,30.051
1.200,3,-28.129,5.812,30.051
1.200,4,5.812,-28.129,30.051
1.300,0,6.404,6.404,30.059
1.300,1,-10.566,6.404,30.059
1.300,2,6.404,-10.566,30.059
1.300,3,-27.537,6.404,30.059
1.300,4,6.404,-27.537,30.059
1.400,0,7.016,7.016,30.068
1.400,1,-9.955,7.016,30.068
1.400,2,7.016,-9.955,30.068
1.400,3,-26.926,7.016,30.068
1.400,4,7.016,-26.926,30.068
1.500,0,7.645,7.645,30.077
1.500,1,-9.325,7.645,30.077
1.500,2,7.645,-9.325,30.077
1.500,3,-26.296,7.645,30.077
1.500,4,7.645,-26.296,30.077
1.600,0,8.292,8.292,30.086
1.600,1,-8.678,8.292,30.086
1.600,2,8.292,-8.678,30.086
1.600,3,-25.649,8.292,30.086
1.600,4,8.292,-25.649,30.086
1.700,0,8.955,8.955,30.096
1.700,1,-8.015,8.955,30.096
1.700,2,8.955,-8.015,30.096
1.700,3,-24.986,8.955,30.096
1.700,4,8.955,-24.986,30.096
1.800,0,9.634,9.634,30.106
1.800,1,-7.337,9.634,30.106
1.800,2,9.634,-7.337,30.106
1.800,3,-24.307,9.634,30.106
1.800,4,9.634,-24.307,30.106
1.900,0,10.326,10.326,30.117
1.900,1,-6.644,10.326,30.117
1.900,2,10.326,-6.644,30.117
1.900,3,-23.615,10.326,30.117
1.900,4,10.326,-23.615,30.117
2.000,0,11.031,11.031,30.128
2.000,1,-5.939,11.031,30.128
2.000,2,11.031,-5.939,30.128
2.000,3,-22.910,11.031,30.128
2.000,4,11.031,-22.910,30.128
2.100,0,11.748,11.748,30.139
2.100,1,-5.223,11.748,30.139
2.100,2,11.748,-5.223,30.139
2.100,3,-22.194,11.748,30.139
2.100,4,11.748,-22.194,30.139
2.200,0,12.474,12.474,30.150
2.200,1,-4.497,12.474,30.150
2.200,2,12.474,-4.497,30.150
2.200,3,-21.467,12.474,30.150
2.200,4,12.474,-21.467,30.150
2.300,0,13.209,13.209,30.162
2.300,1,-3.761,13.209,30.162
2.300,2,13.209,-3.761,30.162
2.300,3,-20.732,13.209,30.162
2.300,4,13.209,-20.732,30.162
2.400,0,13.952,13.952,30.174
2.400,1,-3.019,13.952,30.174
2.400,2,13.952,-3.019,30.174
2.400,3,-19.989,13.952,30.174
2.400,4,13.952,-19.989,30.174
2.500,0,14.701,14.701,30.186
2.500,1,-2.270,14.701,30.186
2.500,2,14.701,-2.270,30.186
2.500,3,-19.241,14.701,30.186
2.500,4,14.701,-19.241,30.186
2.600,0,15.454,15.454,30.198
2.600,1,-1.516,15.454,30.198
2.600,2,15.454,-1.516,30.198
2.600,3,-18.487,15.454,30.198
2.600,4,15.454,-18.487,30.198
2.700,0,16.211,16.211,30.210
2.700,1,-0.759,16.211,30.210
2.700,2,16.211,-0.759,30.210
2.700,3,-17.730,16.211,30.210
2.700,4,16.211,-17.730,30.210
2.800,0,16.971,16.971,30.222
2.800,1,0.000,16.971,30.222
2.800,2,16.971,0.000,30.222
2.800,3,-16.970,16.971,30.222
2.800,4,16.971,-16.970,30.222
2.900,0,17.731,17.731,30.235
2.900,1,0.761,17.731,30.235
2.900,2,17.731,0.761,30.235
2.900,3,-16.210,17.731,30.235
2.900,4,17.731,-16.210,30.235
3.000,0,18.492,18.492,30.247
3.000,1,1.522,18.492,30.247
3.000,2,18.492,1.522,30.247
3.000,3,-15.449,18.492,30.247
3.000,4,18.492,-15.449,30.247
3.100,0,19.252,19.252,30.259
3.100,1,2.281,19.252,30.259
3.100,2,19.252,2.281,30.259
3.100,3,-14.689,19.252,30.259
3.100,4,19.252,-14.689,30.259
3.200,0,20.010,20.010,30.272
3.200,1,3.039,20.010,30.272
3.200,2,20.010,3.039,30.272
3.200,3,-13.931,20.010,30.272
3.200,4,20.010,-13.931,30.272
3.300,0,20.765,20.765,30.284
3.300,1,3.794,20.765,30.284
3.300,2,20.765,3.794,30.284
3.300,3,-13.176,20.765,30.284
3.300,4,20.765,-13.176,30.284
3.400,0,21.516,21.516,30.296
3.400,1,4.546,21.516,30.296
3.400,2,21.516,4.546,30.296
3.400,3,-12.425,21.516,30.296
3.400,4,21.516,-12.425,30.296
3.500,0,22.263,22.263,30.308
3.500,1,5.292,22.263,30.308
3.500,2,22.263,5.292,30.308
3.500,3,-11.678,22.263,30.308
3.500,4,22.263,-11.678,30.308
3.600,0,23.005,23.005,30.320
3.600,1,6.034,23.005,30.320
3.600,2,23.005,6.034,30.320
3.600,3,-10.936,23.005,30.320
3.600,4,23.005,-10.936,30.320
3.700,0,23.741,23.741,30.332
3.700,1,6.770,23.741,30.332
3.700,2,23.741,6.770,30.332
3.700,3,-10.200,23.741,30.332
3.700,4,23.741,-10.200,30.332
3.800,0,24.471,24.471,30.343
3.800,1,7.500,24.471,30.343
3.800,2,24.471,7.500,30.343
3.800,3,-9.470,24.471,30.343
3.800,4,24.471,-9.470,30.343
3.900,0,25.194,25.194,30.355
3.900,1,8.224,25.194,30.355
3.900,2,25.194,8.224,30.355
3.900,3,-8.747,25.194,30.355
3.900,4,25.194,-8.747,30.355
4.000,0,25.910,25.910,30.366
4.000,1,8.940,25.910,30.366
4.000,2,25.910,8.940,30.366
4.000,3,-8.031,25.910,30.366
4.000,4,25.910,-8.031,30.366
4.100,0,26.619,26.619,30.377
4.100,1,9.649,26.619,30.377
4.100,2,26.619,9.649,30.377
4.100,3,-7.322,26.619,30.377
4.100,4,26.619,-7.322,30.377
4.200,0,27.321,27.321,30.389
4.200,1,10.350,27.321,30.389
4.200,2,27.321,10.350,30.389
4.200,3,-6.620,27.321,30.389
4.200,4,27.321,-6.620,30.389
4.300,0,28.015,28.015,30.399
4.300,1,11.044,28.015,30.399
4.300,2,28.015,11.044,30.399
4.300,3,-5.926,28.015,30.399
4.300,4,28.015,-5.926,30.399
4.400,0,28.701,28.701,30.410
4.400,1,11.731,28.701,30.410
4.400,2,28.701,11.731,30.410
4.400,3,-5.240,28.701,30.410
4.400,4,28.701,-5.240,30.410
4.500,0,29.380,29.380,30.421
4.500,1,12.410,29.380,30.421
4.500,2,29.380,12.410,30.421
4.500,3,-4.561,29.380,30.421
4.500,4,29.380,-4.561,30.421
4.600,0,30.051,30.051,30.431
4.600,1,13.081,30.051,30.431
4.600,2,30.051,13.081,30.431
4.600,3,-3.890,30.051,30.431
4.600,4,30.051,-3.890,30.431
4.700,0,30.715,30.715,30.442
4.700,1,13.745,30.715,30.442
4.700,2,30.715,13.745,30.442
4.700,3,-3.226,30.715,30.442
4.700,4,30.715,-3.226,30.442
4.800,0,31.372,31.372,30.452
4.800,1,14.401,31.372,30.452
4.800,2,31.372,14.401,30.452
4.800,3,-2.569,31.372,30.452
4.800,4,31.372,-2.569,30.452
4.900,0,32.022,32.022,30.462
4.900,1,15.051,32.022,30.462
4.900,2,32.022,15.051,30.462
4.900,3,-1.920,32.022,30.462
4.900,4,32.022,-1.920,30.462
5.000,0,32.665,32.665,30.472
5.000,1,15.694,32.665,30.472
5.000,2,32.665,15.694,30.472
5.000,3,-1.277,32.665,30.472
5.000,4,32.665,-1.277,30.472
