# ==========================================
# v3.1 轨迹 | v_formation | dt=0.1
# 0,0,30 -> 571,565,30
# time(s),nodeId,x(m),y(m),z(m)
# ==========================================
0.000,0,0.333,0.330,30.005
0.000,1,-16.637,0.420,30.005
0.000,2,0.244,-16.640,30.005
0.000,3,-33.607,0.510,30.005
0.000,4,0.154,-33.610,30.005
0.000,5,-50.578,0.599,30.005
0.000,6,0.065,-50.581,30.005
0.000,7,-67.548,0.689,30.005
0.000,8,-0.025,-67.551,30.005
0.000,9,-84.518,0.778,30.005
0.000,10,-0.115,-84.521,30.005
0.000,11,-101.488,0.868,30.005
0.000,12,-0.204,-101.492,30.005
0.000,13,-118.459,0.958,30.005
0.000,14,-0.294,-118.462,30.005
0.100,0,0.682,0.676,30.014
0.100,1,-16.288,0.765,30.014
0.100,2,0.593,-16.294,30.014
0.100,3,-33.259,0.854,30.014
0.100,4,0.504,-33.264,30.014
0.100,5,-50.229,0.943,30.014
0.100,6,0.415,-50.235,30.014
0.100,7,-67.199,1.032,30.014
0.100,8,0.327,-67.205,30.014
0.100,9,-84.170,1.121,30.014
0.100,10,0.238,-84.175,30.014
0.100,11,-101.140,1.210,30.014
0.100,12,0.149,-101.146,30.014
0.100,13,-118.110,1.298,30.014
0.100,14,0.060,-118.116,30.014
0.200,0,1.048,1.039,30.030
0.200,1,-15.923,1.127,30.030
0.200,2,0.960,-15.931,30.030
0.200,3,-32.893,1.214,30.030
0.200,4,0.873,-32.901,30.030
0.200,5,-49.864,1.302,30.030
0.200,6,0.785,-49.872,30.030
0.200,7,-66.834,1.389,30.030
0.200,8,0.698,-66.842,30.030
0.200,9,-83.804,1.477,30.030
0.200,10,0.610,-83.812,30.030
0.200,11,-100.775,1.564,30.030
0.200,12,0.523,-100.782,30.030
0.200,13,-117.745,1.652,30.030
0.200,14,0.435,-117.753,30.030
0.300,0,1.431,1.421,30.050
0.300,1,-15.539,1.506,30.050
0.300,2,1.346,-15.550,30.050
0.300,3,-32.510,1.592,30.050
0.300,4,1.260,-32.520,30.050
0.300,5,-49.480,1.677,30.050
0.300,6,1.175,-49.490,30.050
0.300,7,-66.451,1.763,30.050
0.300,8,1.089,-66.460,30.050
0.300,9,-83.422,1.848,30.050
0.300,10,1.004,-83.430,30.050
0.300,11,-100.392,1.934,30.050
0.300,12,0.918,-100.400,30.050
0.300,13,-117.363,2.019,30.050
0.300,14,0.832,-117.370,30.050
0.400,0,1.834,1.821,30.077
0.400,1,-15.137,1.904,30.077
0.400,2,1.751,-15.149,30.077
0.400,3,-32.108,1.987,30.077
0.400,4,1.668,-32.119,30.077
0.400,5,-49.078,2.070,30.077
0.400,6,1.585,-49.089,30.077
0.400,7,-66.049,2.153,30.077
0.400,8,1.502,-66.059,30.077
0.400,9,-83.020,2.236,30.077
0.400,10,1.419,-83.029,30.077
0.400,11,-99.990,2.319,30.077
0.400,12,1.336,-99.999,30.077
0.400,13,-116.961,2.402,30.077
0.400,14,1.253,-116.969,30.077
0.500,0,2.256,2.242,30.110
0.500,1,-14.715,2.322,30.110
0.500,2,2.176,-14.727,30.110
0.500,3,-31.686,2.402,30.110
0.500,4,2.096,-31.697,30.110
