# ==========================================
# v3.1 轨迹 | line | dt=0.1
# 0,0,30 -> 865,1074,30
# time(s),nodeId,x(m),y(m),z(m)
# ==========================================
0.000,0,0.298,0.362,30.006
0.000,1,-7.229,-8.983,30.006
0.000,2,-14.757,-18.329,30.006
0.000,3,-22.284,-27.675,30.006
0.000,4,-29.811,-37.021,30.006
0.000,5,-37.338,-46.366,30.006
0.000,6,-44.865,-55.712,30.006
0.000,7,-52.392,-65.058,30.006
0.000,8,-59.919,-74.404,30.006
0.000,9,-67.446,-83.749,30.006
0.000,10,-74.973,-93.095,30.006
0.000,11,-82.500,-102.441,30.006
0.000,12,-90.027,-111.787,30.006
0.000,13,-97.554,-121.132,30.006
0.000,14,-105.081,-130.478,30.006
0.100,0,0.613,0.738,30.019
0.100,1,-6.917,-8.606,30.019
0.100,2,-14.446,-17.950,30.019
0.100,3,-21.976,-27.293,30.019
0.100,4,-29.505,-36.637,30.019
0.100,5,-37.035,-45.981,30.019
0.100,6,-44.565,-55.324,30.019
0.100,7,-52.094,-64.668,30.019
0.100,8,-59.624,-74.011,30.019
0.100,9,-67.153,-83.355,30.019
0.100,10,-74.683,-92.699,30.019
0.100,11,-82.213,-102.042,30.019
0.100,12,-89.763,-111.357,30.021
0.100,13,-97.293,-120.704,30.020
0.100,14,-104.822,-130.050,30.020
0.200,0,0.948,1.127,30.039
0.200,1,-6.588,-8.211,30.039
0.200,2,-14.125,-17.548,30.039
0.200,3,-21.662,-26.885,30.039
0.200,4,-29.199,-36.223,30.039
0.200,5,-36.736,-45.560,30.039
0.200,6,-44.291,-54.868,30.042
0.200,7,-51.828,-64.211,30.041
0.200,8,-59.364,-73.555,30.040
0.200,9,-66.899,-82.898,30.039
0.200,10,-74.434,-92.241,30.038
0.200,11,-81.968,-101.584,30.038
0.200,12,-89.542,-110.870,30.040
0.200,13,-97.075,-120.219,30.039
0.200,14,-104.608,-129.568,30.037
0.300,0,1.306,1.531,30.067
0.300,1,-6.245,-7.795,30.067
0.300,2,-13.796,-17.120,30.067
0.300,3,-21.347,-26.446,30.067
0.300,4,-28.912,-35.740,30.070
0.300,5,-36.464,-45.075,30.068
0.300,6,-44.047,-54.350,30.071
0.300,7,-51.596,-63.696,30.068
0.300,8,-59.141,-73.041,30.065
0.300,9,-66.684,-82.386,30.063
0.300,10,-74.225,-91.730,30.062
0.300,11,-81.765,-101.073,30.060
0.300,12,-89.362,-110.333,30.063
0.300,13,-96.901,-119.685,30.061
0.300,14,-104.437,-129.037,30.058
0.400,0,1.679,1.956,30.102
0.400,1,-5.891,-7.352,30.102
0.400,2,-13.462,-16.661,30.102
0.400,3,-21.032,-25.969,30.102
0.400,4,-28.642,-35.193,30.109
0.400,5,-36.215,-44.527,30.105
0.400,6,-43.830,-53.775,30.108
0.400,7,-51.394,-63.125,30.101
0.400,8,-58.951,-72.474,30.096
0.400,9,-66.504,-81.821,30.092
0.400,10,-74.054,-91.168,30.089
0.400,11,-81.601,-100.513,30.086
0.400,12,-89.220,-109.750,30.090
0.400,13,-96.765,-119.105,30.086
0.400,14,-104.306,-128.460,30.082
0.500,0,2.068,2.404,30.142
0.500,1,-5.525,-6.885,30.142
0.500,2,-13.118,-16.173,30.142
0.500,3,-20.711,-25.462,30.142
0.500,4,-28.363,-34.619,30.155
0.500,5,-35.961,-43.949,30.147
0.500,6,-43.620,-53.138,30.154
0.500,7,-51.204,-62.494,30.143
0.500,8,-58.778,-71.848,30.135
0.500,9,-66.344,-81.200,30.129
0.500,10,-73.905,-90.550,30.123
0.500,11,-81.462,-99.898,30.118
0.500,12,-89.104,-109.115,30.122
0.500,13,-96.656,-118.475,30.116
0.500,14,-104.204,-127.834,30.111
0.600,0,2.472,2.877,30.190
0.600,1,-5.143,-6.392,30.190
0.600,2,-12.758,-15.661,30.190
0.600,3,-20.373,-24.931,30.190
0.600,4,-28.065,-34.026,30.207
0.600,5,-35.687,-43.351,30.197
0.600,6,-43.386,-52.486,30.206
0.600,7,-50.992,-61.846,30.192
0.600,8,-58.583,-71.203,30.181
0.600,9,-66.164,-80.557,30.172
0.600,10,-73.737,-89.908,30.164
0.600,11,-81.313,-99.223,30.162
0.600,12,-88.979,-108.421,30.166
0.600,13,-96.542,-117.787,30.157
0.600,14,-104.100,-127.151,30.150
0.700,0,2.891,3.377,30.244
0.700,1,-4.743,-5.875,30.244
0.700,2,-12.378,-15.128,30.244
0.700,3,-20.012,-24.381,30.244
0.700,4,-27.737,-33.422,30.265
0.700,5,-35.381,-42.743,30.252
0.700,6,-43.115,-51.831,30.264
0.700,7,-50.739,-61.195,30.247
0.700,8,-58.345,-70.554,30.233
0.700,9,-65.940,-79.910,30.222
0.700,10,-73.525,-89.263,30.213
0.700,11,-81.117,-98.548,30.214
0.700,12,-88.804,-107.730,30.217
0.700,13,-96.377,-117.100,30.206
0.700,14,-103.944,-126.468,30.197
0.800,0,3.327,3.902,30.301
0.800,1,-4.321,-5.339,30.301
0.800,2,-11.969,-14.579,30.301
0.800,3,-19.617,-23.819,30.301
0.800,4,-27.367,-32.816,30.325
0.800,5,-35.028,-42.135,30.311
0.800,6,-42.787,-51.185,30.325
0.800,7,-50.401,-60.552,30.309
0.800,8,-58.022,-69.918,30.293
0.800,9,-65.629,-79.279,30.279
0.800,10,-73.225,-88.636,30.268
0.800,11,-80.833,-97.896,30.270
0.800,12,-88.539,-107.067,30.272
0.800,13,-96.122,-116.444,30.260
0.800,14,-103.698,-125.818,30.248
0.900,0,3.783,4.450,30.361
0.900,1,-3.877,-4.780,30.361
0.900,2,-11.537,-14.010,30.361
0.900,3,-19.196,-23.241,30.361
0.900,4,-26.966,-32.200,30.388
0.900,5,-34.640,-41.518,30.372
0.900,6,-42.421,-50.535,30.388
0.900,7,-50.025,-59.904,30.373
0.900,8,-57.660,-69.276,30.354
0.900,9,-65.278,-78.642,30.339
0.900,10,-72.884,-88.002,30.326
0.900,11,-80.504,-97.240,30.330
0.900,12,-88.226,-106.403,30.332
0.900,13,-95.819,-115.785,30.317
0.900,14,-103.403,-125.164,30.304
1.000,0,4.259,5.020,30.424
1.000,1,-3.413,-4.199,30.424
1.000,2,-11.084,-13.419,30.424
1.000,3,-18.756,-22.638,30.424
1.000,4,-26.543,-31.564,30.453
1.000,5,-34.232,-40.880,30.435
1.000,6,-42.032,-49.867,30.453
1.000,7,-49.630,-59.237,30.439
1.000,8,-57.278,-68.611,30.419
1.000,9,-64.909,-77.979,30.401
1.000,10,-72.522,-87.304,30.392
1.000,11,-80.158,-96.521,30.398
1.000,12,-87.897,-105.676,30.398
1.000,13,-95.502,-115.063,30.381
1.000,14,-103.098,-124.447,30.366
1.100,0,4.756,5.612,30.488
1.100,1,-2.929,-3.596,30.488
1.100,2,-10.613,-12.805,30.488
1.100,3,-18.297,-22.014,30.488
1.100,4,-26.101,-30.910,30.520
1.100,5,-33.804,-40.221,30.501
1.100,6,-41.621,-49.183,30.520
1.100,7,-49.216,-58.549,30.507
1.100,8,-56.879,-67.924,30.485
1.100,9,-64.523,-77.291,30.466
1.100,10,-72.141,-86.543,30.464
1.100,11,-79.794,-95.739,30.472
1.100,12,-87.551,-104.887,30.471
1.100,13,-95.173,-114.279,30.452
1.100,14,-102.784,-123.669,30.435
1.200,0,5.272,6.226,30.555
1.200,1,-2.425,-2.972,30.555
1.200,2,-10.122,-12.169,30.555
1.200,3,-17.819,-21.367,30.555
1.200,4,-25.638,-30.237,30.588
1.200,5,-33.356,-39.543,30.568
1.200,6,-41.189,-48.481,30.588
1.200,7,-48.783,-57.842,30.576
1.200,8,-56.462,-67.215,30.552
1.200,9,-64.112,-76.541,30.537
1.200,10,-71.737,-85.721,30.543
1.200,11,-79.409,-94.898,30.552
1.200,12,-87.185,-104.039,30.550
1.200,13,-94.828,-113.436,30.528
1.200,14,-102.457,-122.830,30.509
1.300,0,5.808,6.860,30.622
1.300,1,-1.902,-2.326,30.622
1.300,2,-9.612,-11.512,30.622
1.300,3,-17.323,-20.699,30.622
