# ==========================================
# v3.1 轨迹 | v_formation | dt=0.1
# 0,10,30 -> 890,1001,30
# time(s),nodeId,x(m),y(m),z(m)
# ==========================================
0.000,0,0.315,10.348,30.003
0.000,1,-16.631,9.438,30.003
0.000,2,1.225,-6.598,30.003
0.000,3,-33.577,8.528,30.003
0.000,4,2.135,-23.545,30.003
0.000,5,-50.523,7.618,30.003
0.000,6,3.045,-40.491,30.003
0.000,7,-67.469,6.708,30.003
0.000,8,3.955,-57.437,30.003
0.000,9,-84.415,5.798,30.003
0.000,10,4.865,-74.383,30.003
0.000,11,-101.362,4.888,30.003
0.000,12,5.775,-91.329,30.003
0.000,13,-118.308,3.978,30.003
0.000,14,6.685,-108.275,30.003
0.100,0,0.648,10.709,30.011
0.100,1,-16.298,9.804,30.011
0.100,2,1.553,-6.237,30.011
0.100,3,-33.245,8.899,30.011
0.100,4,2.458,-23.184,30.011
0.100,5,-50.191,7.994,30.011
0.100,6,3.363,-40.130,30.011
0.100,7,-67.137,7.089,30.011
0.100,8,4.268,-57.076,30.011
0.100,9,-84.083,6.184,30.011
0.100,10,5.173,-74.023,30.011
0.100,11,-101.029,5.279,30.011
0.100,12,6.078,-90.969,30.011
0.100,13,-117.973,4.399,30.011
0.100,14,6.984,-107.916,30.011
0.200,0,0.999,11.086,30.022
0.200,1,-15.947,10.193,30.022
0.200,2,1.892,-5.861,30.022
0.200,3,-32.893,9.300,30.022
0.200,4,2.786,-22.808,30.022
0.200,5,-49.839,8.406,30.022
0.200,6,3.679,-39.756,30.022
0.200,7,-66.785,7.513,30.022
0.200,8,4.572,-56.703,30.022
0.200,9,-83.729,6.641,30.022
0.200,10,5.466,-73.650,30.022
0.200,11,-100.678,5.741,30.022
0.200,12,6.359,-90.597,30.022
0.200,13,-117.620,4.891,30.022
0.200,14,7.211,-107.538,30.024
0.300,0,1.370,11.480,30.038
0.300,1,-15.575,10.605,30.038
0.300,2,2.246,-5.469,30.038
0.300,3,-32.521,9.729,30.038
0.300,4,3.121,-22.418,30.038
0.300,5,-49.467,8.854,30.038
0.300,6,3.996,-39.366,30.038
0.300,7,-66.405,8.005,30.039
0.300,8,4.871,-56.315,30.038
0.300,9,-83.350,7.166,30.038
0.300,10,5.747,-73.264,30.038
0.300,11,-100.304,6.272,30.037
0.300,12,6.622,-90.213,30.038
0.300,13,-117.246,5.451,30.037
0.300,14,7.419,-107.149,30.041
0.400,0,1.763,11.891,30.058
0.400,1,-15.182,11.040,30.058
0.400,2,2.614,-5.060,30.058
0.400,3,-32.127,10.188,30.058
0.400,4,3.466,-22.011,30.058
0.400,5,-49.071,9.336,30.058
0.400,6,4.317,-38.962,30.058
0.400,7,-65.994,8.562,30.061
0.400,8,5.169,-55.913,30.058
0.400,9,-82.942,7.756,30.060
0.400,10,6.020,-72.864,30.058
0.400,11,-99.904,6.869,30.057
0.400,12,6.872,-89.815,30.058
0.400,13,-116.848,6.076,30.055
0.400,14,7.612,-106.749,30.062
0.500,0,2.177,12.321,30.082
0.500,1,-14.766,11.498,30.082
0.500,2,3.000,-4.633,30.082
0.500,3,-31.710,10.675,30.082
0.500,4,3.823,-21.587,30.082
0.500,5,-48.653,9.852,30.082
0.500,6,4.645,-38.541,30.082
0.500,7,-65.550,9.182,30.089
0.500,8,5.468,-55.495,30.082
0.500,9,-82.502,8.408,30.086
0.500,10,6.291,-72.449,30.082
0.500,11,-99.476,7.528,30.081
0.500,12,7.114,-89.402,30.082
0.500,13,-116.423,6.764,30.079
0.500,14,7.795,-106.337,30.088
0.600,0,2.614,12.771,30.111
0.600,1,-14.328,11.981,30.111
0.600,2,3.403,-4.187,30.111
0.600,3,-31.269,11.191,30.111
0.600,4,4.193,-21.145,30.111
0.600,5,-48.197,10.430,30.113
0.600,6,4.982,-38.103,30.111
0.600,7,-65.070,9.861,30.124
0.600,8,5.772,-55.060,30.111
0.600,9,-82.030,9.120,30.119
0.600,10,6.562,-72.018,30.111
0.600,11,-99.017,8.248,30.111
0.600,12,7.351,-88.976,30.111
0.600,13,-115.969,7.511,30.107
0.600,14,7.974,-105.913,30.118
0.700,0,3.073,13.240,30.145
0.700,1,-13.866,12.487,30.145
0.700,2,3.826,-3.722,30.145
0.700,3,-30.805,11.733,30.145
0.700,4,4.578,-20.685,30.145
0.700,5,-47.701,11.066,30.152
0.700,6,5.331,-37.647,30.145
0.700,7,-64.552,10.598,30.165
0.700,8,6.084,-54.610,30.145
0.700,9,-81.522,9.890,30.157
0.700,10,6.836,-71.572,30.145
0.700,11,-98.524,9.026,30.146
0.700,12,7.589,-88.535,30.145
0.700,13,-115.483,8.316,30.140
0.700,14,8.153,-105.476,30.152
0.800,0,3.555,13.730,30.183
0.800,1,-13.381,13.016,30.183
0.800,2,4.267,-3.238,30.183
0.800,3,-30.316,12.303,30.183
0.800,4,4.980,-20.206,30.183
0.800,5,-47.165,11.759,30.198
0.800,6,5.693,-37.174,30.183
0.800,7,-63.995,11.389,30.212
0.800,8,6.405,-54.142,30.183
0.800,9,-80.976,10.714,30.202
0.800,10,7.118,-71.110,30.183
0.800,11,-97.997,9.860,30.187
0.800,12,7.830,-88.078,30.183
0.800,13,-114.963,9.176,30.178
0.800,14,8.335,-105.025,30.191
0.900,0,4.059,14.240,30.225
0.900,1,-12.872,13.569,30.225
0.900,2,4.729,-2.734,30.225
0.900,3,-29.804,12.898,30.225
0.900,4,5.399,-19.709,30.225
0.900,5,-46.586,12.507,30.251
0.900,6,6.069,-36.683,30.225
0.900,7,-63.397,12.233,30.267
0.900,8,6.739,-53.657,30.225
0.900,9,-80.392,11.591,30.253
0.900,10,7.409,-70.631,30.225
0.900,11,-97.432,10.747,30.234
0.900,12,8.079,-87.606,30.225
0.900,13,-114.408,10.090,30.223
0.900,14,8.525,-104.560,30.235
1.000,0,4.586,14.770,30.272
1.000,1,-12.341,14.144,30.272
1.000,2,5.211,-2.211,30.272
1.000,3,-29.246,13.547,30.276
1.000,4,5.837,-19.192,30.272
1.000,5,-45.966,13.307,30.312
1.000,6,6.462,-36.173,30.272
1.000,7,-62.757,13.128,30.330
1.000,8,7.087,-53.155,30.272
1.000,9,-79.767,12.519,30.311
1.000,10,7.712,-70.136,30.272
1.000,11,-96.830,11.685,30.288
1.000,12,8.337,-87.117,30.272
