FlowId,SrcAddr,DestAddr,TxPackets,RxPackets,LostPackets,PacketLossRate(%),Throughput(bps),DelaySum(s)
1,10.0.0.4,10.0.0.3,22,22,0,0,1.64246e+06,0.0074421
2,10.0.0.3,10.0.0.4,11,11,0,0,97982.5,0.0111068
3,10.0.0.3,10.0.0.7,20,20,0,0,1.46221e+06,0.0130242
4,10.0.0.7,10.0.0.3,10,10,0,0,102031,0.00910365
5,10.0.0.18,10.0.0.5,25,25,0,0,1.89986e+06,0.0083448
6,10.0.0.5,10.0.0.18,13,13,0,0,114995,0.00559475
7,10.0.0.7,10.0.0.2,22,22,0,0,1.64098e+06,0.0096845
8,10.0.0.2,10.0.0.7,11,11,0,0,102665,0.0090567
9,10.0.0.18,10.0.0.7,26,26,0,0,2.00285e+06,0.00731942
10,10.0.0.7,10.0.0.18,13,13,0,0,113546,0.00351279
11,10.0.0.20,10.0.0.16,23,23,0,0,1.72758e+06,0.00678729
12,10.0.0.16,10.0.0.20,12,12,0,0,104260,0.0103408
13,10.0.0.7,10.0.0.17,26,26,0,0,1.99878e+06,0.00744739
14,10.0.0.17,10.0.0.7,13,13,0,0,113386,0.00381948
15,10.0.0.6,10.0.0.18,23,23,0,0,1.73189e+06,0.00869752
16,10.0.0.18,10.0.0.6,12,12,0,0,109270,0.00726299
17,10.0.0.3,10.0.0.11,22,22,0,0,1.64318e+06,0.0149961
18,10.0.0.11,10.0.0.3,11,11,0,0,115178,0.00313706
19,10.0.0.8,10.0.0.12,19,19,0,0,1.37621e+06,0.0140013
20,10.0.0.12,10.0.0.8,10,10,0,0,105116,0.00891678
21,10.0.0.4,10.0.0.1,24,24,0,0,1.81997e+06,0.00596509
22,10.0.0.1,10.0.0.4,12,12,0,0,102493,0.00922241
23,10.0.0.1,10.0.0.4,28,28,0,0,2.17719e+06,0.00565159
24,10.0.0.4,10.0.0.1,14,14,0,0,116729,0.00233941
25,10.0.0.14,10.0.0.7,22,22,0,0,1.64174e+06,0.011638
26,10.0.0.7,10.0.0.14,11,11,0,0,107300,0.00608828
27,10.0.0.16,10.0.0.2,20,20,0,0,1.46227e+06,0.0112709
28,10.0.0.2,10.0.0.16,10,10,0,0,97599.2,0.0108878
29,10.0.0.4,10.0.0.12,25,25,0,0,1.90167e+06,0.00736658
30,10.0.0.12,10.0.0.4,13,13,0,0,112975,0.00639296
31,10.0.0.16,10.0.0.2,28,28,0,0,2.18029e+06,0.00560123
32,10.0.0.2,10.0.0.16,14,14,0,0,116734,0.00234126
33,10.0.0.5,10.0.0.13,23,23,0,0,1.72918e+06,0.0137473
34,10.0.0.13,10.0.0.5,12,12,0,0,122147,0.00327284
35,10.0.0.5,10.0.0.15,22,22,0,0,1.64506e+06,0.0108518
36,10.0.0.15,10.0.0.5,11,11,0,0,104729,0.00705941
37,10.0.0.6,10.0.0.19,24,24,0,0,1.8234e+06,0.0113968
38,10.0.0.19,10.0.0.6,12,12,0,0,115442,0.00373397
39,10.0.0.16,10.0.0.12,25,25,0,0,1.91311e+06,0.00998012
40,10.0.0.12,10.0.0.16,13,13,0,0,118577,0.00346413
41,10.0.0.3,10.0.0.17,24,24,0,0,1.81576e+06,0.00812719
42,10.0.0.17,10.0.0.3,12,12,0,0,106588,0.00733183
43,10.0.0.5,10.0.0.3,19,19,0,0,1.3732e+06,0.0141089
44,10.0.0.3,10.0.0.5,10,10,0,0,105132,0.0099046
45,10.0.0.5,10.0.0.6,23,23,0,0,1.72397e+06,0.0140162
46,10.0.0.6,10.0.0.5,12,12,0,0,122084,0.00327389
47,10.0.0.9,10.0.0.1,25,25,0,0,1.91192e+06,0.00652593
48,10.0.0.1,10.0.0.9,13,13,0,0,112078,0.00648514
49,10.0.0.2,10.0.0.3,22,22,0,0,1.64441e+06,0.00938806
50,10.0.0.3,10.0.0.2,11,11,0,0,102346,0.0081734
51,10.0.0.17,10.0.0.1,19,19,0,0,1.37537e+06,0.0138686
52,10.0.0.1,10.0.0.17,10,10,0,0,104934,0.00893363
53,10.0.0.18,10.0.0.10,23,23,0,0,1.73258e+06,0.00871315
54,10.0.0.10,10.0.0.18,12,12,0,0,109360,0.00729681
55,10.0.0.19,10.0.0.17,26,26,0,0,2.00227e+06,0.00733573
56,10.0.0.17,10.0.0.19,13,13,0,0,113524,0.0034795
57,10.0.0.15,10.0.0.2,25,25,0,0,1.91312e+06,0.00923847
58,10.0.0.2,10.0.0.15,13,13,0,0,118555,0.0033874
59,10.0.0.8,10.0.0.13,25,25,0,0,1.90226e+06,0.00933407
60,10.0.0.13,10.0.0.8,13,13,0,0,117725,0.00449576
61,10.0.0.1,10.0.0.5,23,23,0,0,1.7311e+06,0.00775845
62,10.0.0.5,10.0.0.1,12,12,0,0,107014,0.00831357
63,10.0.0.19,10.0.0.11,26,26,0,0,1.99523e+06,0.00649157
64,10.0.0.11,10.0.0.19,13,13,0,0,110755,0.00539414
65,10.0.0.13,10.0.0.12,22,22,0,0,1.63755e+06,0.013816
66,10.0.0.12,10.0.0.13,11,11,0,0,112456,0.00512317
67,10.0.0.20,10.0.0.11,21,21,0,0,1.55548e+06,0.00923506
68,10.0.0.11,10.0.0.20,11,11,0,0,102499,0.0101373
69,10.0.0.8,10.0.0.20,24,24,0,0,1.82017e+06,0.0115584
70,10.0.0.20,10.0.0.8,12,12,0,0,114477,0.00376277
71,10.0.0.11,10.0.0.20,28,28,0,0,2.17704e+06,0.00563063
72,10.0.0.20,10.0.0.11,14,14,0,0,116731,0.0023416
73,10.0.0.16,10.0.0.20,28,28,0,0,2.17798e+06,0.00607769
74,10.0.0.20,10.0.0.16,14,14,0,0,116743,0.00234154
75,10.0.0.9,10.0.0.16,24,24,0,0,1.82047e+06,0.00707764
76,10.0.0.16,10.0.0.9,12,12,0,0,104580,0.00822427
77,10.0.0.14,10.0.0.18,22,22,0,0,1.64363e+06,0.0104894
78,10.0.0.18,10.0.0.14,11,11,0,0,104876,0.00710628
79,10.0.0.5,10.0.0.14,24,24,0,0,1.81555e+06,0.0111627
80,10.0.0.14,10.0.0.5,12,12,0,0,114015,0.00433708
81,10.0.0.15,10.0.0.4,24,24,0,0,1.82213e+06,0.00994514
82,10.0.0.4,10.0.0.15,12,12,0,0,111868,0.00362679
83,10.0.0.4,10.0.0.11,25,25,0,0,1.90688e+06,0.00799682
84,10.0.0.11,10.0.0.4,13,13,0,0,115244,0.00465972
85,10.0.0.4,10.0.0.1,28,28,0,0,2.17756e+06,0.0056316
86,10.0.0.1,10.0.0.4,14,14,0,0,116732,0.00233912
87,10.0.0.5,10.0.0.7,21,21,0,0,1.55476e+06,0.0117607
88,10.0.0.7,10.0.0.5,11,11,0,0,107738,0.00813835
89,10.0.0.6,10.0.0.4,22,22,0,0,1.641e+06,0.00767207
90,10.0.0.4,10.0.0.6,11,11,0,0,98225.5,0.0111341
91,10.0.0.9,10.0.0.11,24,24,0,0,1.80869e+06,0.0133404
92,10.0.0.11,10.0.0.9,12,12,0,0,118994,0.00248349
93,10.0.0.18,10.0.0.19,23,23,0,0,1.7226e+06,0.00915725
94,10.0.0.19,10.0.0.18,12,12,0,0,108866,0.0083143
95,10.0.0.13,10.0.0.7,25,25,0,0,1.90618e+06,0.00625636
96,10.0.0.7,10.0.0.13,13,13,0,0,110757,0.00739237
97,10.0.0.6,10.0.0.7,25,25,0,0,1.91357e+06,0.00605213
98,10.0.0.7,10.0.0.6,13,13,0,0,111118,0.00675292
99,10.0.0.15,10.0.0.17,26,26,0,0,2.00314e+06,0.00644546
100,10.0.0.17,10.0.0.15,13,13,0,0,111272,0.00438796
101,10.0.0.5,10.0.0.16,23,23,0,0,1.7165e+06,0.0105642
102,10.0.0.16,10.0.0.5,12,12,0,0,110681,0.00795209
103,10.0.0.3,10.0.0.15,26,26,0,0,2.00275e+06,0.00788634
104,10.0.0.15,10.0.0.3,13,13,0,0,113544,0.00343351
105,10.0.0.9,10.0.0.2,21,21,0,0,1.55218e+06,0.010323
106,10.0.0.2,10.0.0.9,11,11,0,0,104673,0.0101353
107,10.0.0.5,10.0.0.6,28,28,0,0,2.17729e+06,0.00567425
108,10.0.0.6,10.0.0.5,14,14,0,0,116723,0.00234009
109,10.0.0.12,10.0.0.3,21,21,0,0,1.55149e+06,0.0143152
110,10.0.0.3,10.0.0.12,11,11,0,0,114817,0.00616863
111,10.0.0.10,10.0.0.18,28,28,0,0,2.18193e+06,0.00556816
112,10.0.0.18,10.0.0.10,14,14,0,0,116729,0.00233944
113,10.0.0.4,10.0.0.5,21,21,0,0,1.55385e+06,0.0112959
114,10.0.0.5,10.0.0.4,11,11,0,0,107308,0.00810092
115,10.0.0.1,10.0.0.13,23,23,0,0,1.7291e+06,0.0108412
116,10.0.0.13,10.0.0.1,12,12,0,0,113827,0.00626104
117,10.0.0.19,10.0.0.8,21,21,0,0,1.55427e+06,0.00829802
118,10.0.0.8,10.0.0.19,11,11,0,0,100329,0.0111094
119,10.0.0.11,10.0.0.3,28,28,0,0,2.18209e+06,0.00553735
120,10.0.0.3,10.0.0.11,14,14,0,0,116739,0.00234307
121,10.0.0.20,10.0.0.8,28,28,0,0,2.18214e+06,0.00640917
