time,nodeId,x,y,z,node_type,speed
0.1,0,0.68,0.68,30.001,0,5.16192
0.1,1,-16.291,0.68,30.001,0,5.16192
0.1,2,0.68,-16.291,30.001,0,5.16192
0.1,3,-33.261,0.68,30.001,0,5.15485
0.1,4,0.68,-33.261,30.001,0,5.15485
0.1,5,-50.232,0.68,30.001,0,5.16192
0.1,6,0.68,-50.232,30.001,0,5.16192
0.1,7,-67.203,0.68,30.001,0,5.16192
0.1,8,0.68,-67.203,30.001,0,5.16192
0.1,9,-84.173,0.68,30.001,0,5.16192
0.1,10,0.68,-84.173,30.001,0,5.16192
0.1,11,-101.144,0.68,30.001,0,5.16192
0.1,12,0.68,-101.144,30.001,0,5.16192
0.1,13,-118.114,0.68,30.001,0,5.16192
0.1,14,0.68,-118.114,30.001,0,5.16192
0.1,1000,480.714,234.953,51.163,1,6.84005
0.1,1001,120.37,371.323,53.7986,1,5.33703
0.1,1002,466.953,400.295,42.4545,1,4.05972
0.1,1003,238.082,310.056,59.6671,1,4.76054
0.1,1004,497.041,434.669,42.7754,1,3.00481
0.1,1005,393.575,410.201,43.9708,1,3.72215
0.1,1006,247.147,276.843,55.8395,1,2.94063
0.1,1007,258.1,447.427,52.704,1,1.74562
0.1,1008,376.422,389.441,56.6468,1,4.18501
0.1,1009,181.306,255.547,50.6028,1,2.24295
0.1,1010,519.167,141.237,55.1589,1,4.36495
0.1,1011,381.985,314.567,55.0341,1,6.7472
0.1,1012,186.909,360.181,53.6891,1,5.53744
0.1,1013,507.489,439.267,42.2102,1,2.16154
0.1,1014,133.469,357.26,58.2897,1,7.11892
0.2,0,1.045,1.045,30.003,0,5.41647
0.2,1,-15.926,1.045,30.003,0,5.41647
0.2,2,1.045,-15.926,30.003,0,5.41647
0.2,3,-32.897,1.045,30.003,0,5.42355
0.2,4,1.045,-32.897,30.003,0,5.42355
0.2,5,-49.867,1.045,30.003,0,5.41647
0.2,6,1.045,-49.867,30.003,0,5.41647
0.2,7,-66.838,1.045,30.003,0,5.42355
