time,num_nodes,num_links,avg_degree,network_density
0.1,15,57,7.6,0.542857
0.2,15,57,7.6,0.542857
0.3,15,57,7.6,0.542857
0.4,15,57,7.6,0.542857
0.5,15,57,7.6,0.542857
0.6,15,57,7.6,0.542857
0.7,15,57,7.6,0.542857
0.8,15,57,7.6,0.542857
0.9,15,57,7.6,0.542857
1,15,57,7.6,0.542857
1.1,15,57,7.6,0.542857
1.2,15,57,7.6,0.542857
1.3,15,57,7.6,0.542857
1.4,15,57,7.6,0.542857
1.5,15,57,7.6,0.542857
1.6,15,57,7.6,0.542857
1.7,15,57,7.6,0.542857
1.8,15,57,7.6,0.542857
1.9,15,57,7.6,0.542857
2,15,57,7.6,0.542857
2.1,15,57,7.6,0.542857
2.2,15,57,7.6,0.542857
2.3,15,57,7.6,0.542857
2.4,15,57,7.6,0.542857
2.5,15,57,7.6,0.542857
2.6,15,57,7.6,0.542857
2.7,15,57,7.6,0.542857
2.8,15,57,7.6,0.542857
2.9,15,57,7.6,0.542857
3,15,57,7.6,0.542857
3.1,15,57,7.6,0.542857
3.2,15,57,7.6,0.542857
3.3,15,57,7.6,0.542857
3.4,15,57,7.6,0.542857
3.5,15,57,7.6,0.542857
3.6,15,57,7.6,0.542857
3.7,15,57,7.6,0.542857
3.8,15,57,7.6,0.542857
3.9,15,57,7.6,0.542857
4,15,57,7.6,0.542857
4.1,15,57,7.6,0.542857
4.2,15,57,7.6,0.542857
4.3,15,57,7.6,0.542857
4.4,15,57,7.6,0.542857
4.5,15,57,7.6,0.542857
4.6,15,57,7.6,0.542857
4.7,15,57,7.6,0.542857
4.8,15,57,7.6,0.542857
4.9,15,57,7.6,0.542857
5,15,57,7.6,0.542857
5.1,15,57,7.6,0.542857
5.2,15,57,7.6,0.542857
5.3,15,57,7.6,0.542857
5.4,15,57,7.6,0.542857
5.5,15,57,7.6,0.542857
5.6,15,57,7.6,0.542857
5.7,15,57,7.6,0.542857
5.8,15,57,7.6,0.542857
5.9,15,57,7.6,0.542857
6,15,57,7.6,0.542857
6.1,15,57,7.6,0.542857
6.2,15,57,7.6,0.542857
6.3,15,57,7.6,0.542857
6.4,15,57,7.6,0.542857
6.5,15,57,7.6,0.542857
6.6,15,57,7.6,0.542857
6.7,15,57,7.6,0.542857
6.8,15,57,7.6,0.542857
6.9,15,57,7.6,0.542857
7,15,57,7.6,0.542857
7.1,15,57,7.6,0.542857
7.2,15,57,7.6,0.542857
7.3,15,57,7.6,0.542857
7.4,15,57,7.6,0.542857
7.5,15,57,7.6,0.542857
7.6,15,57,7.6,0.542857
7.7,15,57,7.6,0.542857
7.8,15,57,7.6,0.542857
7.9,15,57,7.6,0.542857
8,15,57,7.6,0.542857
8.1,15,57,7.6,0.542857
8.2,15,57,7.6,0.542857
8.3,15,57,7.6,0.542857
8.4,15,57,7.6,0.542857
8.5,15,57,7.6,0.542857
8.6,15,57,7.6,0.542857
8.7,15,57,7.6,0.542857
8.8,15,57,7.6,0.542857
8.9,15,57,7.6,0.542857
9,15,57,7.6,0.542857
9.1,15,57,7.6,0.542857
9.2,15,57,7.6,0.542857
9.3,15,57,7.6,0.542857
9.4,15,57,7.6,0.542857
9.5,15,57,7.6,0.542857
9.6,15,57,7.6,0.542857
9.7,15,57,7.6,0.542857
9.8,15,57,7.6,0.542857
9.9,15,57,7.6,0.542857
10,15,57,7.6,0.542857
10.1,15,57,7.6,0.542857
10.2,15,57,7.6,0.542857
10.3,15,57,7.6,0.542857
10.4,15,57,7.6,0.542857
10.5,15,57,7.6,0.542857
10.6,15,57,7.6,0.542857
10.7,15,57,7.6,0.542857
10.8,15,57,7.6,0.542857
10.9,15,57,7.6,0.542857
11,15,57,7.6,0.542857
11.1,15,57,7.6,0.542857
11.2,15,57,7.6,0.542857
11.3,15,57,7.6,0.542857
11.4,15,57,7.6,0.542857
11.5,15,57,7.6,0.542857
11.6,15,57,7.6,0.542857
11.7,15,57,7.6,0.542857
11.8,15,57,7.6,0.542857
11.9,15,57,7.6,0.542857
12,15,57,7.6,0.542857
12.1,15,57,7.6,0.542857
12.2,15,57,7.6,0.542857
12.3,15,57,7.6,0.542857
12.4,15,57,7.6,0.542857
12.5,15,57,7.6,0.542857
12.6,15,57,7.6,0.542857
12.7,15,57,7.6,0.542857
12.8,15,57,7.6,0.542857
12.9,15,57,7.6,0.542857
