time,nodeId,x,y,z,node_type
0.1,0,-57.313,77.671,30.015,0
0.1,1,-74.282,77.888,30.015,0
0.1,2,-57.53,60.702,30.015,0
0.1,3,-91.251,78.104,30.015,0
0.1,4,-57.746,43.733,30.015,0
0.1,5,-108.221,78.321,30.015,0
0.1,6,-57.963,26.764,30.015,0
0.1,7,-125.19,78.537,30.015,0
0.1,8,-58.179,9.795,30.015,0
0.1,9,-142.159,78.754,30.015,0
0.1,10,-58.396,-7.175,30.015,0
0.1,11,-159.128,78.971,30.015,0
0.1,12,-58.612,-24.144,30.015,0
0.1,13,-176.097,79.187,30.015,0
0.1,14,-58.829,-41.113,30.015,0
0.1,1000,258.696,217.517,52.4674,1
0.1,1001,138.125,89.2647,49.2733,1
0.1,1002,68.2664,365.536,47.3634,1
0.1,1003,63.2529,237.139,48.0977,1
0.1,1004,379.654,345.833,46.6962,1
0.1,1005,452.187,89.4342,53.8205,1
0.1,1006,350.391,257.333,52.8295,1
0.1,1007,293.373,185.464,49.8145,1
0.2,0,-56.945,78.032,30.031,0
0.2,1,-73.914,78.246,30.031,0
0.2,2,-57.16,61.063,30.031,0
0.2,3,-90.884,78.461,30.031,0
0.2,4,-57.374,44.093,30.031,0
0.2,5,-107.853,78.676,30.031,0
0.2,6,-57.589,27.124,30.031,0
0.2,7,-124.822,78.89,30.031,0
0.2,8,-57.804,10.155,30.031,0
0.2,9,-141.792,79.105,30.031,0
0.2,10,-58.019,-6.814,30.031,0
0.2,11,-158.761,79.32,30.031,0
0.2,12,-58.233,-23.783,30.031,0
0.2,13,-175.73,79.534,30.031,0
0.2,14,-58.448,-40.752,30.031,0
0.2,1000,258.908,217.735,52.4369,1
0.2,1001,138.415,89.1363,49.2718,1
0.2,1002,68.1159,365.839,47.3515,1
0.2,1003,63.4518,237.204,48.108,1
0.2,1004,379.318,346.145,46.6808,1
0.2,1005,452.175,89.2935,53.7994,1
0.2,1006,350.325,256.953,52.8525,1
0.2,1007,293.045,185.531,49.8107,1
0.3,0,-56.559,78.41,30.053,0
0.3,1,-73.529,78.622,30.053,0
0.3,2,-56.771,61.441,30.053,0
0.3,3,-90.498,78.834,30.053,0
0.3,4,-56.983,44.472,30.053,0
0.3,5,-107.468,79.046,30.053,0
0.3,6,-57.195,27.503,30.053,0
0.3,7,-124.437,79.258,30.053,0
0.3,8,-57.407,10.534,30.053,0
0.3,9,-141.407,79.47,30.053,0
0.3,10,-57.619,-6.434,30.053,0
0.3,11,-158.376,79.682,30.053,0
0.3,12,-57.831,-23.403,30.053,0
0.3,13,-175.346,79.894,30.053,0
0.3,14,-58.043,-40.372,30.053,0
0.3,1000,259.121,217.952,52.4064,1
0.3,1001,138.706,89.0079,49.2702,1
0.3,1002,67.9653,366.141,47.3397,1
0.3,1003,63.6507,237.268,48.1183,1
0.3,1004,378.983,346.457,46.6653,1
0.3,1005,452.163,89.1528,53.7782,1
0.3,1006,350.259,256.572,52.8755,1
0.3,1007,292.716,185.598,49.8069,1
0.4,0,-56.154,78.808,30.08,0
0.4,1,-73.124,79.017,30.08,0
0.4,2,-56.363,61.84,30.08,0
0.4,3,-90.094,79.226,30.08,0
0.4,4,-56.571,44.871,30.08,0
0.4,5,-107.063,79.434,30.08,0
0.4,6,-56.78,27.902,30.08,0
0.4,7,-124.033,79.643,30.08,0
0.4,8,-56.988,10.933,30.08,0
0.4,9,-141.003,79.851,30.08,0
0.4,10,-57.197,-6.035,30.08,0
0.4,11,-157.973,80.06,30.08,0
0.4,12,-57.405,-23.004,30.08,0
0.4,13,-174.942,80.268,30.08,0
0.4,14,-57.614,-39.973,30.08,0
0.4,1000,259.333,218.169,52.376,1
0.4,1001,138.996,88.8796,49.2687,1
0.4,1002,67.8147,366.443,47.3279,1
