time,uav0_channel,uav0_power,uav0_rate,uav1_channel,uav1_power,uav1_rate,uav2_channel,uav2_power,uav2_rate,uav3_channel,uav3_power,uav3_rate,uav4_channel,uav4_power,uav4_rate,uav5_channel,uav5_power,uav5_rate,uav6_channel,uav6_power,uav6_rate,uav7_channel,uav7_power,uav7_rate,uav8_channel,uav8_power,uav8_rate,uav9_channel,uav9_power,uav9_rate,uav10_channel,uav10_power,uav10_rate,uav11_channel,uav11_power,uav11_rate,uav12_channel,uav12_power,uav12_rate,uav13_channel,uav13_power,uav13_rate,uav14_channel,uav14_power,uav14_rate
0.1,1,19.0509,6.47455,0,18.2733,6.86337,2,18.2733,6.86337,1,18.1025,6.94875,0,18.1025,6.94875,2,18.4311,6.78443,1,18.4311,6.78443,0,19.201,6.3995,2,19.201,6.3995,1,20.3765,5.81175,0,20.3765,5.81175,2,21.2479,5.37605,2,21.2479,5.37605,0,22.5641,4.71797,1,22.5641,4.71797
0.2,1,19.0509,6.47455,0,18.2733,6.86337,2,18.2733,6.86337,1,18.1025,6.94875,0,18.1025,6.94875,2,18.4311,6.78443,1,18.4311,6.78443,0,19.201,6.3995,2,19.201,6.3995,1,20.3765,5.81175,0,20.3765,5.81175,2,21.2479,5.37605,2,21.2479,5.37605,0,22.5641,4.71797,1,22.5641,4.71797
0.3,1,19.0509,6.47455,0,18.2733,6.86337,2,18.2733,6.86337,1,18.1025,6.94875,0,18.1025,6.94875,2,18.4311,6.78443,1,18.4311,6.78443,0,19.201,6.3995,2,19.201,6.3995,1,20.3765,5.81175,0,20.3765,5.81175,2,21.2479,5.37605,2,21.2479,5.37605,0,22.5641,4.71797,1,22.5641,4.71797
0.4,1,19.0509,6.47455,0,18.2733,6.86337,2,18.2733,6.86337,1,18.1025,6.94875,0,18.1025,6.94875,2,18.4311,6.78443,1,18.4311,6.78443,0,19.201,6.3995,2,19.201,6.3995,1,20.3765,5.81175,0,20.3765,5.81175,2,21.2479,5.37605,2,21.2479,5.37605,0,22.5641,4.71797,1,22.5641,4.71797
0.5,1,19.0509,6.47455,0,18.2733,6.86337,2,18.2733,6.86337,1,18.1025,6.94875,0,18.1025,6.94875,2,18.4311,6.78443,1,18.4311,6.78443,0,19.201,6.3995,2,19.201,6.3995,1,20.3765,5.81175,0,20.3765,5.81175,2,21.2479,5.37605,2,21.2479,5.37605,0,22.5641,4.71797,1,22.5641,4.71797
0.6,1,19.051,6.4745,0,18.2733,6.86334,2,18.2733,6.86334,1,18.1026,6.94872,0,18.1026,6.94872,2,18.4312,6.78439,1,18.4312,6.78439,0,19.201,6.39948,2,19.201,6.39948,1,20.3766,5.81169,0,20.3766,5.81169,2,21.248,5.376,2,21.248,5.376,0,22.5642,4.71792,1,22.5642,4.71792
0.7,1,19.051,6.4745,0,18.2733,6.86334,2,18.2733,6.86334,1,18.1026,6.94872,0,18.1026,6.94872,2,18.4312,6.78439,1,18.4312,6.78439,0,19.201,6.39948,2,19.201,6.39948,1,20.3766,5.81169,0,20.3766,5.81169,2,21.248,5.376,2,21.248,5.376,0,22.5642,4.71792,1,22.5642,4.71792
0.8,1,19.051,6.4745,0,18.2733,6.86334,2,18.2733,6.86334,1,18.1026,6.94872,0,18.1026,6.94872,2,18.4312,6.78439,1,18.4312,6.78439,0,19.201,6.39948,2,19.201,6.39948,1,20.3766,5.81169,0,20.3766,5.81169,2,21.248,5.376,2,21.248,5.376,0,22.5642,4.71792,1,22.5642,4.71792
0.9,1,19.051,6.4745,0,18.2733,6.86334,2,18.2733,6.86334,1,18.1026,6.94872,0,18.1026,6.94872,2,18.4312,6.78439,1,18.4312,6.78439,0,19.201,6.39948,2,19.201,6.39948,1,20.3766,5.81169,0,20.3766,5.81169,2,21.248,5.376,2,21.248,5.376,0,22.5642,4.71792,1,22.5642,4.71792
1,1,19.051,6.4745,0,18.2733,6.86334,2,18.2733,6.86334,1,18.1026,6.94872,0,18.1026,6.94872,2,18.4312,6.78439,1,18.4312,6.78439,0,19.201,6.39948,2,19.201,6.39948,1,20.3766,5.81169,0,20.3766,5.81169,2,21.248,5.376,2,21.248,5.376,0,22.5642,4.71792,1,22.5642,4.71792
