FlowId,Src,Dest,Tx,Rx,LossRate
1,1,8,902,430,52.3282%
2,2,3,1054,646,38.7097%
3,2,9,525,119,77.3333%
4,1,2,841,595,29.2509%
5,3,4,1128,530,53.0142%
6,3,10,526,61,88.403%
7,0,1,740,527,28.7838%
8,4,5,914,516,43.5449%
9,0,7,769,454,40.9623%
10,5,6,978,420,57.0552%
11,5,12,500,111,77.8%
12,4,11,809,295,63.5352%
13,6,7,771,310,59.7925%
14,6,13,502,23,95.4183%
15,7,8,644,257,60.0932%
16,7,14,403,34,91.5633%
17,8,9,507,51,89.9408%
18,8,0,1100,361,67.1818%
19,9,10,348,42,87.931%
20,9,1,880,492,44.0909%
21,10,11,326,47,85.5828%
22,10,2,721,182,74.7573%
23,11,12,348,17,95.1149%
24,11,3,1006,481,52.1869%
25,12,13,300,25,91.6667%
26,12,4,586,119,79.6928%
27,13,14,223,40,82.0628%
28,13,5,612,341,44.281%
29,14,0,723,141,80.4979%
30,14,6,905,217,76.0221%
