FlowId,Src,Dest,Tx,Rx,LossRate
1,1,8,1901,1138,40.1368%
2,2,3,1987,1470,26.0191%
3,2,9,1942,1133,41.6581%
4,1,2,1986,1828,7.95569%
5,3,4,1985,1414,28.7657%
6,3,10,1844,855,53.6334%
7,0,1,1986,1722,13.2931%
8,4,5,1966,1134,42.3194%
9,0,7,1985,1467,26.0957%
10,5,6,1955,966,50.5882%
11,5,12,1841,450,75.5568%
12,4,11,1937,859,55.6531%
13,6,7,1827,732,59.9343%
14,6,13,1891,441,76.679%
15,7,8,1772,676,61.851%
16,7,14,1655,245,85.1964%
17,8,9,1662,706,57.5211%
18,8,0,1851,959,48.1902%
19,9,10,1808,491,72.8429%
20,9,1,1922,1251,34.9116%
21,10,11,1814,373,79.4377%
22,10,2,1925,928,51.7922%
23,11,12,1488,318,78.629%
24,11,3,1936,1205,37.7583%
25,12,13,1625,307,81.1077%
26,12,4,1955,757,61.2788%
27,13,5,1938,1358,29.9278%
28,14,0,1780,397,77.6966%
29,14,6,1774,612,65.5017%
30,13,14,1397,160,88.5469%
