time,node_id,channel,tx_power,data_rate,neighbors,interference
0.1,0,1,19.051,6.4745,14,0.08
0.1,1,0,18.2733,6.86333,14,0.08
0.1,2,2,18.2733,6.86333,14,0.08
0.1,3,1,18.1026,6.94871,14,0.08
0.1,4,0,18.1026,6.94871,14,0.08
0.1,5,2,18.4312,6.78438,14,0.08
0.1,6,1,18.4312,6.78438,14,0.08
0.1,7,0,19.2011,6.39945,14,0.08
0.1,8,2,19.2011,6.39945,14,0.08
0.1,9,1,20.3766,5.81169,14,0.08
0.1,10,0,20.3766,5.81169,14,0.08
0.1,11,2,21.248,5.376,13,0.075
0.1,12,2,21.248,5.376,13,0.075
0.1,13,0,22.5642,4.71792,12,0.07
0.1,14,1,22.5642,4.71792,12,0.07
0.2,0,1,19.051,6.4745,14,0.08
0.2,1,0,18.2733,6.86333,14,0.08
0.2,2,2,18.2733,6.86333,14,0.08
0.2,3,1,18.1026,6.94871,14,0.08
0.2,4,0,18.1026,6.94871,14,0.08
0.2,5,2,18.4312,6.78438,14,0.08
0.2,6,1,18.4312,6.78438,14,0.08
0.2,7,0,19.2011,6.39945,14,0.08
0.2,8,2,19.2011,6.39945,14,0.08
0.2,9,1,20.3766,5.81169,14,0.08
0.2,10,0,20.3766,5.81169,14,0.08
0.2,11,2,21.248,5.376,13,0.075
0.2,12,2,21.248,5.376,13,0.075
0.2,13,0,22.5642,4.71792,12,0.07
0.2,14,1,22.5642,4.71792,12,0.07
0.3,0,1,19.051,6.4745,14,0.08
0.3,1,0,18.2733,6.86333,14,0.08
0.3,2,2,18.2733,6.86333,14,0.08
0.3,3,1,18.1026,6.94871,14,0.08
0.3,4,0,18.1026,6.94871,14,0.08
0.3,5,2,18.4312,6.78438,14,0.08
0.3,6,1,18.4312,6.78438,14,0.08
0.3,7,0,19.2011,6.39945,14,0.08
0.3,8,2,19.2011,6.39945,14,0.08
0.3,9,1,20.3766,5.81169,14,0.08
0.3,10,0,20.3766,5.81169,14,0.08
0.3,11,2,21.248,5.376,13,0.075
0.3,12,2,21.248,5.376,13,0.075
0.3,13,0,22.5642,4.71792,12,0.07
0.3,14,1,22.5642,4.71792,12,0.07
0.4,0,1,19.051,6.4745,14,0.08
0.4,1,0,18.2733,6.86333,14,0.08
0.4,2,2,18.2733,6.86333,14,0.08
0.4,3,1,18.1026,6.94871,14,0.08
0.4,4,0,18.1026,6.94871,14,0.08
0.4,5,2,18.4312,6.78438,14,0.08
0.4,6,1,18.4312,6.78438,14,0.08
0.4,7,0,19.2011,6.39945,14,0.08
0.4,8,2,19.2011,6.39945,14,0.08
0.4,9,1,20.3766,5.81169,14,0.08
0.4,10,0,20.3766,5.81169,14,0.08
0.4,11,2,21.248,5.376,13,0.075
0.4,12,2,21.248,5.376,13,0.075
0.4,13,0,22.5642,4.71792,12,0.07
0.4,14,1,22.5642,4.71792,12,0.07
0.5,0,1,19.051,6.4745,14,0.08
0.5,1,0,18.2733,6.86333,14,0.08
0.5,2,2,18.2733,6.86333,14,0.08
0.5,3,1,18.1026,6.94871,14,0.08
0.5,4,0,18.1026,6.94871,14,0.08
0.5,5,2,18.4312,6.78438,14,0.08
0.5,6,1,18.4312,6.78438,14,0.08
0.5,7,0,19.2011,6.39945,14,0.08
0.5,8,2,19.2011,6.39945,14,0.08
0.5,9,1,20.3766,5.81169,14,0.08
0.5,10,0,20.3766,5.81169,14,0.08
0.5,11,2,21.248,5.376,13,0.075
0.5,12,2,21.248,5.376,13,0.075
0.5,13,0,22.5642,4.71792,12,0.07
0.5,14,1,22.5642,4.71792,12,0.07
0.6,0,1,19.051,6.4745,14,0.08
0.6,1,0,18.2733,6.86333,14,0.08
0.6,2,2,18.2733,6.86333,14,0.08
0.6,3,1,18.1026,6.94871,14,0.08
0.6,4,0,18.1026,6.94871,14,0.08
0.6,5,2,18.4312,6.78438,14,0.08
0.6,6,1,18.4312,6.78438,14,0.08
0.6,7,0,19.2011,6.39945,14,0.08
0.6,8,2,19.2011,6.39945,14,0.08
0.6,9,1,20.3766,5.81169,14,0.08
0.6,10,0,20.3766,5.81169,14,0.08
0.6,11,2,21.248,5.376,13,0.075
0.6,12,2,21.248,5.376,13,0.075
0.6,13,0,22.5642,4.71792,12,0.07
0.6,14,1,22.5642,4.71792,12,0.07
0.7,0,1,19.051,6.4745,14,0.08
0.7,1,0,18.2733,6.86333,14,0.08
0.7,2,2,18.2733,6.86333,14,0.08
0.7,3,1,18.1026,6.94871,14,0.08
0.7,4,0,18.1026,6.94871,14,0.08
0.7,5,2,18.4312,6.78438,14,0.08
0.7,6,1,18.4312,6.78438,14,0.08
0.7,7,0,19.2011,6.39945,14,0.08
0.7,8,2,19.2011,6.39945,14,0.08
0.7,9,1,20.3766,5.81169,14,0.08
0.7,10,0,20.3766,5.81169,14,0.08
0.7,11,2,21.248,5.376,13,0.075
0.7,12,2,21.248,5.376,13,0.075
0.7,13,0,22.5642,4.71792,12,0.07
0.7,14,1,22.5642,4.71792,12,0.07
0.8,0,1,19.051,6.4745,14,0.08
0.8,1,0,18.2733,6.86333,14,0.08
0.8,2,2,18.2733,6.86333,14,0.08
0.8,3,1,18.1026,6.94871,14,0.08
0.8,4,0,18.1026,6.94871,14,0.08
0.8,5,2,18.4312,6.78438,14,0.08
0.8,6,1,18.4312,6.78438,14,0.08
0.8,7,0,19.2011,6.39945,14,0.08
0.8,8,2,19.2011,6.39945,14,0.08
0.8,9,1,20.3766,5.81169,14,0.08
0.8,10,0,20.3766,5.81169,14,0.08
0.8,11,2,21.248,5.376,13,0.075
0.8,12,2,21.248,5.376,13,0.075
0.8,13,0,22.5642,4.71792,12,0.07
0.8,14,1,22.5642,4.71792,12,0.07
0.9,0,1,19.051,6.4745,14,0.08
0.9,1,0,18.2733,6.86333,14,0.08
0.9,2,2,18.2733,6.86333,14,0.08
0.9,3,1,18.1026,6.94871,14,0.08
0.9,4,0,18.1026,6.94871,14,0.08
0.9,5,2,18.4312,6.78438,14,0.08
0.9,6,1,18.4312,6.78438,14,0.08
0.9,7,0,19.2011,6.39945,14,0.08
0.9,8,2,19.2011,6.39945,14,0.08
0.9,9,1,20.3766,5.81169,14,0.08
0.9,10,0,20.3766,5.81169,14,0.08
0.9,11,2,21.248,5.376,13,0.075
0.9,12,2,21.248,5.376,13,0.075
0.9,13,0,22.5642,4.71792,12,0.07
0.9,14,1,22.5642,4.71792,12,0.07
1,0,1,19.051,6.4745,14,0.08
1,1,0,18.2733,6.86333,14,0.08
1,2,2,18.2733,6.86333,14,0.08
1,3,1,18.1026,6.94871,14,0.08
1,4,0,18.1026,6.94871,14,0.08
1,5,2,18.4312,6.78438,14,0.08
1,6,1,18.4312,6.78438,14,0.08
1,7,0,19.2011,6.39945,14,0.08
1,8,2,19.2011,6.39945,14,0.08
1,9,1,20.3766,5.81169,14,0.08
1,10,0,20.3766,5.81169,14,0.08
1,11,2,21.248,5.376,13,0.075
1,12,2,21.248,5.376,13,0.075
1,13,0,22.5642,4.71792,12,0.07
1,14,1,22.5642,4.71792,12,0.07
1.1,0,1,19.0509,6.47454,14,0.08
1.1,1,0,18.2733,6.86336,14,0.08
1.1,2,2,18.2733,6.86336,14,0.08
1.1,3,1,18.1025,6.94874,14,0.08
1.1,4,0,18.1025,6.94874,14,0.08
1.1,5,2,18.4312,6.78442,14,0.08
1.1,6,1,18.4312,6.78442,14,0.08
1.1,7,0,19.201,6.39949,14,0.08
1.1,8,2,19.201,6.39949,14,0.08
