time,nodeId,x,y,z,node_type
0.1,0,0.68,0.68,30.001,0
0.1,1,-16.291,0.68,30.001,0
0.1,2,0.68,-16.291,30.001,0
0.1,3,-33.261,0.68,30.001,0
0.1,4,0.68,-33.261,30.001,0
0.1,5,-50.232,0.68,30.001,0
0.1,6,0.68,-50.232,30.001,0
0.1,7,-67.203,0.68,30.001,0
0.1,8,0.68,-67.203,30.001,0
0.1,9,-84.173,0.68,30.001,0
0.1,10,0.68,-84.173,30.001,0
0.1,11,-101.144,0.68,30.001,0
0.1,12,0.68,-101.144,30.001,0
0.1,13,-118.114,0.68,30.001,0
0.1,14,0.68,-118.114,30.001,0
0.2,0,1.045,1.045,30.003,0
0.2,1,-15.926,1.045,30.003,0
0.2,2,1.045,-15.926,30.003,0
0.2,3,-32.897,1.045,30.003,0
0.2,4,1.045,-32.897,30.003,0
0.2,5,-49.867,1.045,30.003,0
0.2,6,1.045,-49.867,30.003,0
0.2,7,-66.838,1.045,30.003,0
0.2,8,1.045,-66.838,30.003,0
0.2,9,-83.808,1.045,30.003,0
0.2,10,1.045,-83.808,30.003,0
0.2,11,-100.779,1.045,30.003,0
0.2,12,1.045,-100.779,30.003,0
0.2,13,-117.749,1.045,30.003,0
0.2,14,1.045,-117.749,30.003,0
0.3,0,1.428,1.428,30.005,0
0.3,1,-15.543,1.428,30.005,0
0.3,2,1.428,-15.543,30.005,0
0.3,3,-32.513,1.428,30.005,0
0.3,4,1.428,-32.513,30.005,0
0.3,5,-49.484,1.428,30.005,0
0.3,6,1.428,-49.484,30.005,0
0.3,7,-66.454,1.428,30.005,0
0.3,8,1.428,-66.454,30.005,0
0.3,9,-83.425,1.428,30.005,0
0.3,10,1.428,-83.425,30.005,0
0.3,11,-100.396,1.428,30.005,0
0.3,12,1.428,-100.396,30.005,0
0.3,13,-117.366,1.428,30.005,0
0.3,14,1.428,-117.366,30.005,0
0.4,0,1.831,1.831,30.008,0
0.4,1,-15.14,1.831,30.008,0
0.4,2,1.831,-15.14,30.008,0
0.4,3,-32.111,1.831,30.008,0
0.4,4,1.831,-32.111,30.008,0
0.4,5,-49.081,1.831,30.008,0
0.4,6,1.831,-49.081,30.008,0
0.4,7,-66.052,1.831,30.008,0
0.4,8,1.831,-66.052,30.008,0
0.4,9,-83.022,1.831,30.008,0
0.4,10,1.831,-83.022,30.008,0
0.4,11,-99.993,1.831,30.008,0
0.4,12,1.831,-99.993,30.008,0
0.4,13,-116.963,1.831,30.008,0
0.4,14,1.831,-116.963,30.008,0
0.5,0,2.254,2.254,30.011,0
0.5,1,-14.717,2.254,30.011,0
0.5,2,2.254,-14.717,30.011,0
0.5,3,-31.688,2.254,30.011,0
0.5,4,2.254,-31.688,30.011,0
0.5,5,-48.658,2.254,30.011,0
0.5,6,2.254,-48.658,30.011,0
0.5,7,-65.629,2.254,30.011,0
0.5,8,2.254,-65.629,30.011,0
0.5,9,-82.599,2.254,30.011,0
0.5,10,2.254,-82.599,30.011,0
0.5,11,-99.57,2.254,30.011,0
0.5,12,2.254,-99.57,30.011,0
0.5,13,-116.54,2.254,30.011,0
0.5,14,2.254,-116.54,30.011,0
0.6,0,2.698,2.698,30.015,0
0.6,1,-14.273,2.698,30.015,0
0.6,2,2.698,-14.273,30.015,0
0.6,3,-31.243,2.698,30.015,0
0.6,4,2.698,-31.243,30.015,0
0.6,5,-48.214,2.698,30.015,0
0.6,6,2.698,-48.214,30.015,0
0.6,7,-65.185,2.698,30.015,0
0.6,8,2.698,-65.185,30.015,0
0.6,9,-82.155,2.698,30.015,0
0.6,10,2.698,-82.155,30.015,0
0.6,11,-99.126,2.698,30.015,0
0.6,12,2.698,-99.126,30.015,0
