time,node_id,channel,tx_power,data_rate,neighbors,interference_dBm,worst_sinr_dB
0.1,0,2,23,6,10,-78.2358,-26.306
0.1,1,0,23,6,11,-78.5906,-26.5814
0.1,2,1,23,6,11,-78.5994,-26.5826
0.1,3,1,23,6,12,-77.7043,-27.5653
0.1,4,0,23,6,12,-77.7166,-27.5665
0.1,5,2,23,6,11,-77.7223,-26.5528
0.1,6,2,23,6,11,-77.7623,-26.5532
0.1,7,0,23,6,10,-78.2023,-26.6218
0.1,8,1,23,6,10,-78.2458,-26.6231
0.1,9,1,23,6,9,-79.0691,-27.778
0.1,10,0,23,6,9,-79.1519,-27.7788
0.1,11,2,23,6,6,-79.6185,-26.9241
0.1,12,2,23,6,6,-79.6656,-26.9238
0.1,13,0,23,6,5,-79.9279,-26.5581
0.1,14,1,23,6,5,-79.9744,-26.5584
0.2,0,2,23,6,10,-78.235,-26.308
0.2,1,0,23,6,11,-78.5899,-26.5845
0.2,2,1,23,6,11,-78.599,-26.5803
0.2,3,1,23,6,12,-77.7037,-27.5681
0.2,4,0,23,6,12,-77.716,-27.5647
0.2,5,2,23,6,11,-77.7214,-26.5523
0.2,6,2,23,6,11,-77.7621,-26.5552
0.2,7,0,23,6,10,-78.2019,-26.6229
0.2,8,1,23,6,10,-78.2459,-26.6248
0.2,9,1,23,6,9,-79.0684,-27.7781
0.2,10,0,23,6,9,-79.1521,-27.7792
0.2,11,2,23,6,6,-79.6181,-26.9248
0.2,12,2,23,6,6,-79.6637,-26.9227
0.2,13,0,23,6,5,-79.9272,-26.5579
0.2,14,1,23,6,5,-79.9738,-26.558
0.3,0,2,23,6,10,-78.2337,-26.3053
0.3,1,0,23,6,11,-78.5882,-26.5806
0.3,2,1,23,6,11,-78.5983,-26.5756
0.3,3,1,23,6,12,-77.7052,-27.5665
0.3,4,0,23,6,12,-77.7158,-27.5602
0.3,5,2,23,6,11,-77.7211,-26.549
0.3,6,2,23,6,11,-77.7635,-26.5534
0.3,7,0,23,6,10,-78.2007,-26.628
0.3,8,1,23,6,10,-78.2424,-26.6181
0.3,9,1,23,6,9,-79.0671,-27.7779
0.3,10,0,23,6,9,-79.1509,-27.7824
0.3,11,2,23,6,6,-79.6185,-26.9302
0.3,12,2,23,6,6,-79.662,-26.922
0.3,13,0,23,6,5,-79.9276,-26.5633
0.3,14,1,23,6,5,-79.9739,-26.5584
0.4,0,2,23,6,10,-78.2315,-26.2952
0.4,1,0,23,6,11,-78.5855,-26.5681
0.4,2,1,23,6,11,-78.5973,-26.5679
0.4,3,1,23,6,12,-77.7082,-27.5585
0.4,4,0,23,6,12,-77.7156,-27.5524
0.4,5,2,23,6,11,-77.7205,-26.5416
0.4,6,2,23,6,11,-77.7659,-26.5489
0.4,7,0,23,6,10,-78.1978,-26.6363
0.4,8,1,23,6,10,-78.2351,-26.6041
0.4,9,1,23,6,9,-79.0645,-27.7765
0.4,10,0,23,6,9,-79.1487,-27.7878
0.4,11,2,23,6,6,-79.6189,-26.9409
0.4,12,2,23,6,6,-79.661,-26.9219
0.4,13,0,23,6,5,-79.9283,-26.5727
0.4,14,1,23,6,5,-79.9755,-26.56
0.5,0,2,23,6,10,-78.2291,-26.2933
0.5,1,0,23,6,11,-78.5827,-26.5642
0.5,2,1,23,6,11,-78.596,-26.5578
0.5,3,1,23,6,12,-77.7107,-27.5577
0.5,4,0,23,6,12,-77.7149,-27.5424
0.5,5,2,23,6,11,-77.7214,-26.5364
0.5,6,2,23,6,11,-77.7682,-26.5427
0.5,7,0,23,6,10,-78.1942,-26.642
0.5,8,1,23,6,10,-78.23,-26.5976
0.5,9,1,23,6,9,-79.0611,-27.7734
0.5,10,0,23,6,9,-79.1481,-27.7991
0.5,11,2,23,6,6,-79.5785,-26.9508
0.5,12,2,23,6,6,-79.6583,-26.9201
0.5,13,0,23,6,5,-79.9292,-26.5865
0.5,14,1,23,6,5,-79.9758,-26.5597
0.6,0,2,23,6,10,-78.2266,-26.2914
0.6,1,0,23,6,11,-78.5792,-26.5603
0.6,2,1,23,6,11,-78.5948,-26.5513
0.6,3,1,23,6,12,-77.7124,-27.5565
0.6,4,0,23,6,12,-77.7145,-27.5375
0.6,5,2,23,6,11,-77.7215,-26.5302
0.6,6,2,23,6,11,-77.7708,-26.5434
0.6,7,0,23,6,10,-78.1903,-26.6441
0.6,8,1,23,6,10,-78.2266,-26.5938
0.6,9,1,23,6,9,-79.0559,-27.7687
0.6,10,0,23,6,9,-79.1487,-27.8115
0.6,11,2,23,6,6,-79.5757,-26.958
0.6,12,2,23,6,6,-79.6575,-26.9196
0.6,13,0,23,6,5,-79.9281,-26.5976
0.6,14,1,23,6,5,-79.9779,-26.5605
0.7,0,2,23,6,10,-78.2246,-26.2894
0.7,1,0,23,6,11,-78.576,-26.5563
0.7,2,1,23,6,11,-78.5939,-26.545
0.7,3,1,23,6,12,-77.7144,-27.5549
0.7,4,0,23,6,12,-77.7142,-27.5331
0.7,5,2,23,6,11,-77.7215,-26.5238
0.7,6,2,23,6,11,-77.7735,-26.5451
0.7,7,0,23,6,10,-78.1864,-26.6446
0.7,8,1,23,6,10,-78.2246,-26.5915
0.7,9,1,23,6,9,-79.0503,-27.7621
0.7,10,0,23,6,9,-79.1505,-27.8254
0.7,11,2,23,6,6,-79.5726,-26.9644
0.7,12,2,23,6,6,-79.6584,-26.9197
0.7,13,0,23,6,5,-79.9264,-26.6084
0.7,14,1,23,6,5,-79.981,-26.5611
0.8,0,2,23,6,10,-78.2225,-26.2842
0.8,1,0,23,6,11,-78.5732,-26.5496
0.8,2,1,23,6,11,-78.5931,-26.5392
0.8,3,1,23,6,12,-77.7162,-27.5499
0.8,4,0,23,6,12,-77.7143,-27.5289
0.8,5,2,23,6,11,-77.7217,-26.514
0.8,6,2,23,6,11,-77.7777,-26.5479
0.8,7,0,23,6,10,-78.1824,-26.6459
0.8,8,1,23,6,10,-78.2235,-26.592
0.8,9,1,23,6,9,-79.0451,-27.7596
0.8,10,0,23,6,9,-79.1527,-27.8394
0.8,11,2,23,6,6,-79.5693,-26.9703
0.8,12,2,23,6,6,-79.6605,-26.9205
0.8,13,0,23,6,5,-79.9246,-26.6185
0.8,14,1,23,6,5,-79.9862,-26.5672
0.9,0,2,23,6,10,-78.2205,-26.284
0.9,1,0,23,6,11,-78.5706,-26.5481
0.9,2,1,23,6,11,-78.5922,-26.534
0.9,3,1,23,6,12,-77.7177,-27.5497
0.9,4,0,23,6,12,-77.7137,-27.5256
0.9,5,2,23,6,11,-77.7216,-26.5043
0.9,6,2,23,6,11,-77.781,-26.5513
0.9,7,0,23,6,10,-78.1786,-26.6459
0.9,8,1,23,6,10,-78.2232,-26.5931
0.9,9,1,23,6,9,-79.0397,-27.7562
0.9,10,0,23,6,9,-79.1554,-27.8538
0.9,11,2,23,6,6,-79.5658,-26.9752
0.9,12,2,23,6,6,-79.6619,-26.9202
0.9,13,0,23,6,5,-79.9225,-26.6279
0.9,14,1,23,6,5,-79.9905,-26.5716
1,0,2,23,6,10,-78.2182,-26.2842
1,1,0,23,6,11,-78.5668,-26.5471
1,2,1,23,6,11,-78.5911,-26.5333
1,3,1,23,6,12,-77.7181,-27.5495
1,4,0,23,6,12,-77.713,-27.5277
1,5,2,23,6,11,-77.7209,-26.4953
1,6,2,23,6,11,-77.7843,-26.5625
1,7,0,23,6,10,-78.1747,-26.6442
1,8,1,23,6,10,-78.2237,-26.5963
1,9,1,23,6,9,-79.0326,-27.7515
1,10,0,23,6,9,-79.1586,-27.8673
1,11,2,23,6,6,-79.5603,-26.9769
1,12,2,23,6,6,-79.6641,-26.9202
1,13,0,23,6,5,-79.9183,-26.6337
1,14,1,23,6,5,-79.9953,-26.576
1.1,0,2,23,6,10,-78.2143,-26.2843
1.1,1,0,23,6,11,-78.5616,-26.5463
1.1,2,1,23,6,11,-78.589,-26.5286
1.1,3,1,23,6,12,-77.7173,-27.5492
1.1,4,0,23,6,12,-77.7123,-27.5276
1.1,5,2,23,6,11,-77.7193,-26.4868
1.1,6,2,23,6,11,-77.7872,-26.5818
1.1,7,0,23,6,10,-78.1694,-26.6419
1.1,8,1,23,6,10,-78.2251,-26.6088
1.1,9,1,23,6,9,-79.0234,-27.7448
1.1,10,0,23,6,9,-79.1623,-27.8814
1.1,11,2,23,6,6,-79.5527,-26.975
1.1,12,2,23,6,6,-79.6671,-26.9208
1.1,13,0,23,6,5,-79.9119,-26.6365
1.1,14,1,23,6,5,-80.0003,-26.5796
1.2,0,2,23,6,10,-78.2088,-26.2851
1.2,1,0,23,6,11,-78.5549,-26.5462
1.2,2,1,23,6,11,-78.5859,-26.5206
1.2,3,1,23,6,12,-77.7152,-27.5493
1.2,4,0,23,6,12,-77.7112,-27.5258
1.2,5,2,23,6,11,-77.7167,-26.4781
1.2,6,2,23,6,11,-77.7901,-26.6095
1.2,7,0,23,6,10,-78.1624,-26.6387
1.2,8,1,23,6,10,-78.2272,-26.6309
1.2,9,1,23,6,9,-79.0122,-27.7374
1.2,10,0,23,6,9,-79.1666,-27.8957
1.2,11,2,23,6,6,-79.5426,-26.9694
1.2,12,2,23,6,6,-79.6708,-26.9212
1.2,13,0,23,6,5,-79.9032,-26.6355
1.2,14,1,23,6,5,-80.0059,-26.5841
1.3,0,2,23,6,10,-78.2029,-26.2848
1.3,1,0,23,6,11,-78.5465,-26.5451
1.3,2,1,23,6,11,-78.5824,-26.5191
1.3,3,1,23,6,12,-77.7114,-27.5482
1.3,4,0,23,6,12,-77.71,-27.5314
1.3,5,2,23,6,11,-77.7132,-26.4703
1.3,6,2,23,6,11,-77.7926,-26.6451
1.3,7,0,23,6,10,-78.1555,-26.6348
