time,node_id,slot_id,num_groups,packets_per_slot,bonus_slots,urgency
6.5,0,14,15,10,none,0.514939
6.5,1,13,15,9,none,0.4
6.5,2,12,15,10,none,0.45039
6.5,3,11,15,9,none,0.4
6.5,4,10,15,10,none,0.502752
6.5,5,9,15,10,none,0.699779
6.5,6,8,15,9,none,0.4
6.5,7,7,15,9,none,0.4
6.5,8,6,15,10,none,0.978471
6.5,9,5,15,9,none,0.4
6.5,10,4,15,10,none,0.563177
6.5,11,3,15,9,none,0.4
6.5,12,2,15,9,none,0.4
6.5,13,1,15,10,none,0.502752
6.5,14,0,15,9,none,0.4
11.5,0,14,15,10,none,0.685177
11.5,1,13,15,8,none,0.4
11.5,2,12,15,10,none,0.620589
11.5,3,11,15,8,none,0.4
11.5,4,10,15,10,none,0.678
11.5,5,9,15,10,none,0.91333
11.5,6,8,15,8,none,0.4
11.5,7,7,15,10,none,0.610872
11.5,8,6,15,10,none,0.764118
11.5,9,5,15,10,none,0.99212
11.5,10,4,15,10,none,0.661322
11.5,11,3,15,8,none,0.4
11.5,12,2,15,8,none,0.4
11.5,13,1,15,10,none,0.736462
11.5,14,0,15,10,none,0.66453
16.5,0,14,15,10,none,0.556001
16.5,1,13,15,9,none,0.4
16.5,2,12,15,10,none,0.491413
16.5,3,11,15,9,none,0.4
16.5,4,10,15,10,none,0.985647
16.5,5,9,15,9,none,0.4
16.5,6,8,15,9,none,0.4
16.5,7,7,15,10,none,0.756299
16.5,8,6,15,9,none,0.4
16.5,9,5,15,9,none,0.4
16.5,10,4,15,10,none,0.714541
16.5,11,3,15,9,none,0.4
16.5,12,2,15,9,none,0.4
16.5,13,1,15,10,none,0.685177
16.5,14,0,15,10,none,0.613413
21.5,0,14,15,10,none,0.784591
21.5,1,13,15,8,none,0.4
21.5,2,12,15,8,none,0.4
21.5,3,11,15,8,none,0.4
21.5,4,10,15,10,none,0.814084
21.5,5,9,15,10,none,0.79212
21.5,6,8,15,10,none,0.760828
21.5,7,7,15,10,none,0.670824
21.5,8,6,15,10,none,0.705436
21.5,9,5,15,10,none,0.752718
21.5,10,4,15,10,none,0.69953
21.5,11,3,15,10,none,0.99212
21.5,12,2,15,8,none,0.4
21.5,13,1,15,10,none,0.663648
21.5,14,0,15,10,none,0.627765
26.5,0,14,15,10,none,0.721059
26.5,1,13,15,9,none,0.4
26.5,2,12,15,10,none,0.528435
26.5,3,11,15,9,none,0.4
26.5,4,10,15,10,none,0.658715
26.5,5,9,15,10,none,0.735412
26.5,6,8,15,10,none,0.656471
26.5,7,7,15,9,none,0.4
26.5,8,6,15,10,none,0.692353
26.5,9,5,15,9,none,0.4
26.5,10,4,15,10,none,0.638209
26.5,11,3,15,9,none,0.4
26.5,12,2,15,9,none,0.4
26.5,13,1,15,10,none,0.630504
26.5,14,0,15,10,none,0.615096
31.5,RECOLOR,15,150
36.5,0,14,15,8,none,0.4
36.5,1,13,15,8,none,0.4
36.5,2,12,15,10,none,0.56224
36.5,3,11,15,8,none,0.4
36.5,4,10,15,10,none,0.738052
36.5,5,9,15,10,none,0.811761
36.5,6,8,15,10,none,0.613413
36.5,7,7,15,10,none,0.620589
36.5,8,6,15,8,none,0.4
36.5,9,5,15,8,none,0.4
36.5,10,4,15,8,none,0.4
36.5,11,3,15,10,none,0.985647
36.5,12,2,15,8,none,0.4
36.5,13,1,15,10,none,0.778471
36.5,14,0,15,10,none,0.678
41.5,0,14,15,10,none,0.607277
41.5,1,13,15,8,none,0.4
41.5,2,12,15,10,none,0.685177
41.5,3,11,15,10,none,0.77372
41.5,4,10,15,10,none,0.727295
41.5,5,9,15,8,none,0.4
41.5,6,8,15,10,none,0.870824
41.5,7,7,15,10,none,0.710193
41.5,8,6,15,10,none,0.677358
41.5,9,5,15,8,none,0.4
41.5,10,4,15,8,none,0.4
41.5,11,3,15,8,none,0.4
41.5,12,2,15,8,none,0.4
41.5,13,1,15,10,none,0.638209
41.5,14,0,15,10,none,0.676839
46.5,0,14,15,9,none,0.636916
46.5,1,13,15,10,none,0.97372
46.5,2,12,15,10,none,0.791883
46.5,3,11,15,7,none,0.4
46.5,4,10,15,10,none,0.878
46.5,5,9,15,7,none,0.4
46.5,6,8,15,10,none,0.799215
46.5,7,7,15,10,none,0.838209
46.5,8,6,15,10,none,0.899844
46.5,9,5,15,7,none,0.4
46.5,10,4,15,7,none,0.4
46.5,11,3,15,10,none,0.947439
46.5,12,2,15,7,none,0.4
46.5,13,1,15,10,none,0.964118
46.5,14,0,15,10,none,0.77384
51.5,0,14,15,10,none,0.822196
51.5,1,13,15,8,none,0.4
51.5,2,12,15,10,none,0.784591
51.5,3,11,15,8,none,0.4
51.5,4,10,15,10,none,0.892139
51.5,5,9,15,10,none,0.740652
51.5,6,8,15,10,none,0.956941
51.5,7,7,15,9,none,0.541825
51.5,8,6,15,10,none,0.721059
51.5,9,5,15,10,none,0.986867
51.5,10,4,15,8,none,0.4
51.5,11,3,15,8,none,0.4
51.5,12,2,15,8,none,0.4
51.5,13,1,15,8,none,0.4
51.5,14,0,15,10,none,0.771294
56.5,0,14,15,10,none,0.627765
56.5,1,13,15,10,none,0.912398
56.5,2,12,15,10,none,0.706304
56.5,3,11,15,8,none,0.4
56.5,4,10,15,10,none,0.863648
56.5,5,9,15,10,none,0.692353
56.5,6,8,15,10,none,0.728236
56.5,7,7,15,8,none,0.4
56.5,8,6,15,10,none,0.721059
56.5,9,5,15,8,none,0.4
56.5,10,4,15,8,none,0.4
56.5,11,3,15,8,none,0.4
56.5,12,2,15,8,none,0.4
56.5,13,1,15,8,none,0.4
56.5,14,0,15,8,none,0.4
61.5,0,14,15,10,none,0.935412
61.5,1,13,15,10,none,0.865811
61.5,2,12,15,10,none,0.695386
61.5,3,11,15,8,none,0.4
61.5,4,10,15,10,none,0.771294
61.5,5,9,15,10,none,0.753774
61.5,6,8,15,10,none,0.899844
61.5,7,7,15,10,none,0.855624
61.5,8,6,15,10,none,0.992296
61.5,9,5,15,8,none,0.4
61.5,10,4,15,8,none,0.4
61.5,11,3,15,8,none,0.4
61.5,12,2,15,10,none,0.834524
61.5,13,1,15,8,none,0.4
61.5,14,0,15,9,none,0.523928
66.5,0,14,15,8,none,0.4
66.5,1,13,15,10,none,0.792296
66.5,2,12,15,10,none,0.807935
66.5,3,11,15,8,none,0.4
66.5,4,10,15,10,none,0.899844
66.5,5,9,15,8,none,0.4
66.5,6,8,15,10,none,0.927745
66.5,7,7,15,10,none,0.985647
66.5,8,6,15,10,none,0.735412
66.5,9,5,15,10,none,0.825837
66.5,10,4,15,8,none,0.4
66.5,11,3,15,8,none,0.4
66.5,12,2,15,10,none,0.992824
66.5,13,1,15,8,none,0.4
66.5,14,0,15,10,none,0.795112
71.5,0,14,15,10,none,0.633557
71.5,1,13,15,8,none,0.4
71.5,2,12,15,10,none,0.69953
71.5,3,11,15,10,none,0.769644
71.5,4,10,15,8,none,0.4
71.5,5,9,15,10,none,0.694878
71.5,6,8,15,8,none,0.4
71.5,7,7,15,10,none,0.567861
71.5,8,6,15,10,none,0.942588
71.5,9,5,15,8,none,0.4
71.5,10,4,15,10,none,0.602017
71.5,11,3,15,10,none,0.830429
71.5,12,2,15,8,none,0.4
71.5,13,1,15,10,none,0.763097
71.5,14,0,15,10,none,0.576574
76.5,0,14,15,10,none,0.830661
76.5,1,13,15,10,none,0.78248
76.5,2,12,15,10,none,0.606236
76.5,3,11,15,9,none,0.4
76.5,4,10,15,10,none,0.696217
76.5,5,9,15,10,none,0.607935
76.5,6,8,15,9,none,0.4
76.5,7,7,15,10,none,0.802106
76.5,8,6,15,9,none,0.4
76.5,9,5,15,9,none,0.4
76.5,10,4,15,9,none,0.4
76.5,11,3,15,9,none,0.4
76.5,12,2,15,9,none,0.4
76.5,13,1,15,10,none,0.834629
76.5,14,0,15,9,none,0.4
81.5,0,14,15,9,none,0.561165
81.5,1,13,15,8,none,0.4
81.5,2,12,15,10,none,0.752813
81.5,3,11,15,10,none,0.816974
81.5,4,10,15,10,none,0.76887
81.5,5,9,15,10,none,0.874906
81.5,6,8,15,8,none,0.4
81.5,7,7,15,10,none,0.660489
81.5,8,6,15,9,none,0.516462
81.5,9,5,15,10,none,0.960598
81.5,10,4,15,10,none,0.929077
81.5,11,3,15,8,none,0.4
81.5,12,2,15,8,none,0.4
81.5,13,1,15,10,none,0.913883
81.5,14,0,15,8,none,0.4
86.5,0,14,15,10,none,0.873915
86.5,1,13,15,10,none,0.699082
