FlowId,Src,Dest,Tx,Rx,LossRate
1,1,8,1914,1216,36.4681%
2,2,3,1857,1386,25.3635%
3,2,9,1933,1174,39.2654%
4,1,2,1933,1679,13.1402%
5,3,4,1803,1288,28.5635%
6,3,10,1712,868,49.2991%
7,0,1,1932,1639,15.1656%
8,4,5,1790,1108,38.1006%
9,0,7,1885,1038,44.9337%
10,5,6,1795,1100,38.7187%
11,5,12,1568,591,62.3087%
12,4,11,1816,877,51.707%
13,6,7,1848,756,59.0909%
14,6,13,1662,641,61.432%
15,7,8,1770,635,64.1243%
16,7,14,1615,395,75.5418%
17,8,9,1863,892,52.1202%
18,8,0,1910,956,49.9476%
19,9,10,1789,480,73.1694%
20,9,1,1929,1085,43.7532%
21,10,11,1597,476,70.1941%
22,10,2,1857,924,50.2423%
23,11,12,1294,101,92.1947%
24,11,3,1805,1276,29.3075%
25,12,13,1316,350,73.4043%
26,12,4,1856,998,46.2284%
27,13,5,1742,1168,32.9506%
28,14,0,1661,573,65.5027%
29,14,6,1811,1094,39.5914%
30,13,14,1237,383,69.038%
