time,nodeId,x,y,z,node_type
0.1,0,-57.313,77.671,30.015,0
0.1,1,-74.282,77.888,30.015,0
0.1,2,-57.53,60.702,30.015,0
0.1,3,-91.251,78.104,30.015,0
0.1,4,-57.746,43.733,30.015,0
0.1,5,-108.221,78.321,30.015,0
0.1,6,-57.963,26.764,30.015,0
0.1,7,-125.19,78.537,30.015,0
0.1,8,-58.179,9.795,30.015,0
0.1,9,-142.159,78.754,30.015,0
0.1,10,-58.396,-7.175,30.015,0
0.1,11,-159.128,78.971,30.015,0
0.1,12,-58.612,-24.144,30.015,0
0.1,13,-176.097,79.187,30.015,0
0.1,14,-58.829,-41.113,30.015,0
0.1,1000,374.81,400.445,54.9347,1
0.1,1001,81.06,94.1766,48.5467,1
0.1,1002,-88.7635,754.142,44.7267,1
0.1,1003,-101.244,447.45,46.1953,1
0.1,1004,669.865,707.046,43.3923,1
0.1,1005,846.293,94.5906,57.641,1
0.1,1006,598.379,496.036,55.659,1
0.1,1007,459.695,323.946,49.6291,1
0.2,0,-56.945,78.032,30.031,0
0.2,1,-73.914,78.246,30.031,0
0.2,2,-57.16,61.063,30.031,0
0.2,3,-90.884,78.461,30.031,0
0.2,4,-57.374,44.093,30.031,0
0.2,5,-107.853,78.676,30.031,0
0.2,6,-57.589,27.124,30.031,0
0.2,7,-124.822,78.89,30.031,0
0.2,8,-57.804,10.155,30.031,0
0.2,9,-141.792,79.105,30.031,0
0.2,10,-58.019,-6.814,30.031,0
0.2,11,-158.761,79.32,30.031,0
0.2,12,-58.233,-23.783,30.031,0
0.2,13,-175.73,79.534,30.031,0
0.2,14,-58.448,-40.752,30.031,0
0.2,1000,375.164,400.807,54.8738,1
0.2,1001,81.5441,93.9626,48.5436,1
0.2,1002,-89.0144,754.646,44.703,1
0.2,1003,-100.913,447.558,46.216,1
0.2,1004,669.305,707.566,43.3615,1
0.2,1005,846.274,94.3561,57.5987,1
0.2,1006,598.268,495.401,55.705,1
0.2,1007,459.148,324.058,49.6215,1
0.3,0,-56.559,78.41,30.053,0
0.3,1,-73.529,78.622,30.053,0
0.3,2,-56.771,61.441,30.053,0
0.3,3,-90.498,78.834,30.053,0
0.3,4,-56.983,44.472,30.053,0
0.3,5,-107.468,79.046,30.053,0
0.3,6,-57.195,27.503,30.053,0
0.3,7,-124.437,79.258,30.053,0
0.3,8,-57.407,10.534,30.053,0
0.3,9,-141.407,79.47,30.053,0
0.3,10,-57.619,-6.434,30.053,0
0.3,11,-158.376,79.682,30.053,0
0.3,12,-57.831,-23.403,30.053,0
0.3,13,-175.346,79.894,30.053,0
0.3,14,-58.043,-40.372,30.053,0
0.3,1000,375.518,401.169,54.8129,1
0.3,1001,82.0282,93.7486,48.5405,1
0.3,1002,-89.2654,755.15,44.6794,1
0.3,1003,-100.581,447.665,46.2367,1
0.3,1004,668.746,708.086,43.3307,1
0.3,1005,846.254,94.1215,57.5564,1
0.3,1006,598.158,494.766,55.7511,1
0.3,1007,458.6,324.17,49.6139,1
0.4,0,-56.154,78.808,30.08,0
0.4,1,-73.124,79.017,30.08,0
0.4,2,-56.363,61.84,30.08,0
0.4,3,-90.094,79.226,30.08,0
0.4,4,-56.571,44.871,30.08,0
0.4,5,-107.063,79.434,30.08,0
0.4,6,-56.78,27.902,30.08,0
0.4,7,-124.033,79.643,30.08,0
0.4,8,-56.988,10.933,30.08,0
0.4,9,-141.003,79.851,30.08,0
0.4,10,-57.197,-6.035,30.08,0
0.4,11,-157.973,80.06,30.08,0
0.4,12,-57.405,-23.004,30.08,0
0.4,13,-174.942,80.268,30.08,0
0.4,14,-57.614,-39.973,30.08,0
0.4,1000,375.873,401.531,54.7519,1
0.4,1001,82.5122,93.5346,48.5374,1
0.4,1002,-89.5163,755.653,44.6557,1
