time,uav0_channel,uav0_power,uav0_rate,uav1_channel,uav1_power,uav1_rate,uav2_channel,uav2_power,uav2_rate,uav3_channel,uav3_power,uav3_rate,uav4_channel,uav4_power,uav4_rate,uav5_channel,uav5_power,uav5_rate,uav6_channel,uav6_power,uav6_rate,uav7_channel,uav7_power,uav7_rate,uav8_channel,uav8_power,uav8_rate,uav9_channel,uav9_power,uav9_rate,uav10_channel,uav10_power,uav10_rate,uav11_channel,uav11_power,uav11_rate,uav12_channel,uav12_power,uav12_rate,uav13_channel,uav13_power,uav13_rate,uav14_channel,uav14_power,uav14_rate
0.2,0,19.0504,6.47479,0,18.2721,6.86395,0,18.2727,6.86364,0,18.1049,6.94757,0,18.1018,6.94908,0,18.4301,6.78497,0,18.4238,6.7881,0,19.1998,6.4001,0,19.1969,6.40156,0,20.3728,5.81359,0,20.3695,5.81527,2,21.2425,5.37873,1,21.2471,5.37647,1,22.5594,4.7203,2,22.568,4.716
5.2,0,19.0409,6.47956,0,18.2696,6.86522,0,18.2658,6.86709,0,18.1068,6.94659,0,18.0966,6.95172,0,18.453,6.7735,0,18.4339,6.78303,0,19.2501,6.37493,0,19.1834,6.40829,0,20.4519,5.77405,0,20.3436,5.82818,2,21.3417,5.32917,1,21.1913,5.40433,1,22.6605,4.66975,2,22.504,4.74798
10.2,0,19.0396,6.48019,0,18.2659,6.86707,0,18.2613,6.86934,0,18.0963,6.95183,0,18.1006,6.94972,0,18.424,6.78799,0,18.4341,6.78296,0,19.1886,6.40571,0,19.2075,6.39627,0,20.3561,5.82193,0,20.3912,5.80441,2,21.2196,5.39021,1,21.2784,5.36079,1,22.5319,4.73404,2,22.6108,4.69462
15.2,0,19.054,6.47301,0,18.2755,6.86227,0,18.2765,6.86174,0,18.1044,6.94781,0,18.1042,6.94791,0,18.4328,6.78362,0,18.4318,6.78409,0,19.2025,6.39873,0,19.2019,6.39905,0,20.3787,5.81066,0,20.3773,5.81135,2,21.2512,5.3744,1,21.2466,5.37669,1,22.5688,4.7156,2,22.559,4.72048
20.2,0,19.0511,6.47446,0,18.2733,6.86333,0,18.2735,6.86327,0,18.1026,6.94872,0,18.1024,6.94881,0,18.4313,6.78435,0,18.4309,6.78456,0,19.2014,6.39928,0,19.2005,6.39976,0,20.3773,5.81134,0,20.3756,5.81222,2,21.2489,5.37553,1,21.2462,5.3769,1,22.5652,4.71739,2,22.5621,4.71893
25.2,0,19.0506,6.47468,0,18.273,6.86349,0,18.273,6.86351,0,18.1022,6.94888,0,18.1023,6.94884,0,18.4309,6.78457,0,18.4311,6.78447,0,19.2006,6.39968,0,19.2009,6.39954,0,20.3761,5.81194,0,20.3766,5.81172,2,21.2476,5.37618,1,21.2481,5.37596,1,22.5637,4.71813,2,22.5619,4.71904
30.2,0,19.0508,6.47461,0,18.2731,6.86345,0,18.2731,6.86343,0,18.1023,6.94884,0,18.1024,6.94881,0,18.431,6.78452,0,18.431,6.78449,0,19.2008,6.3996,0,19.2009,6.39956,0,20.3763,5.81184,0,20.3764,5.81178,2,21.248,5.37602,1,21.2478,5.37611,1,22.5642,4.71791,2,22.5612,4.71938
35.2,0,19.051,6.47449,0,18.2734,6.86332,0,18.2734,6.86332,0,18.1026,6.9487,0,18.1026,6.9487,0,18.4312,6.78438,0,18.4312,6.78438,0,19.2011,6.39945,0,19.2011,6.39946,0,20.3767,5.81167,0,20.3766,5.81169,2,21.248,5.37601,1,21.248,5.37602,1,22.5642,4.71789,2,22.5644,4.71778
40.2,0,19.051,6.47452,0,18.2733,6.86334,0,18.2733,6.86334,0,18.1026,6.94872,0,18.1026,6.94872,0,18.4312,6.7844,0,18.4312,6.7844,0,19.201,6.39948,0,19.201,6.39948,0,20.3766,5.8117,0,20.3766,5.8117,2,21.2479,5.37603,1,21.2479,5.37603,1,22.5642,4.71792,2,22.5642,4.71792
45.2,0,19.051,6.47452,0,18.2733,6.86334,0,18.2733,6.86334,0,18.1026,6.94872,0,18.1026,6.94872,0,18.4312,6.7844,0,18.4312,6.7844,0,19.201,6.39948,0,19.201,6.39948,0,20.3766,5.8117,0,20.3766,5.8117,2,21.2479,5.37603,1,21.2479,5.37603,1,22.5642,4.71792,2,22.5642,4.71792
