time,node_id,channel,tx_power,data_rate,neighbors,interference
0.2,0,0,19.0504,6.47479,14,0.08
0.2,1,0,18.2721,6.86395,14,0.08
0.2,2,0,18.2727,6.86364,14,0.08
0.2,3,0,18.1049,6.94757,14,0.08
0.2,4,0,18.1018,6.94908,14,0.08
0.2,5,0,18.4301,6.78497,14,0.08
0.2,6,0,18.4238,6.7881,14,0.08
0.2,7,0,19.1998,6.4001,14,0.08
0.2,8,0,19.1969,6.40156,14,0.08
0.2,9,0,20.3728,5.81359,14,0.08
0.2,10,0,20.3695,5.81527,14,0.08
0.2,11,2,21.2425,5.37873,13,0.075
0.2,12,1,21.2471,5.37647,13,0.075
0.2,13,1,22.5594,4.7203,12,0.07
0.2,14,2,22.568,4.716,12,0.07
5.2,0,0,19.0409,6.47956,14,0.08
5.2,1,0,18.2696,6.86522,14,0.08
5.2,2,0,18.2658,6.86709,14,0.08
5.2,3,0,18.1068,6.94659,14,0.08
5.2,4,0,18.0966,6.95172,14,0.08
5.2,5,0,18.453,6.7735,14,0.08
5.2,6,0,18.4339,6.78303,14,0.08
5.2,7,0,19.2501,6.37493,14,0.08
5.2,8,0,19.1834,6.40829,14,0.08
5.2,9,0,20.4519,5.77405,14,0.08
5.2,10,0,20.3436,5.82818,14,0.08
5.2,11,2,21.3417,5.32917,13,0.075
5.2,12,1,21.1913,5.40433,13,0.075
5.2,13,1,22.6605,4.66975,12,0.07
5.2,14,2,22.504,4.74798,12,0.07
10.2,0,0,19.0396,6.48019,14,0.08
10.2,1,0,18.2659,6.86707,14,0.08
10.2,2,0,18.2613,6.86934,14,0.08
10.2,3,0,18.0963,6.95183,14,0.08
10.2,4,0,18.1006,6.94972,14,0.08
10.2,5,0,18.424,6.78799,14,0.08
10.2,6,0,18.4341,6.78296,14,0.08
10.2,7,0,19.1886,6.40571,14,0.08
10.2,8,0,19.2075,6.39627,14,0.08
10.2,9,0,20.3561,5.82193,14,0.08
10.2,10,0,20.3912,5.80441,14,0.08
10.2,11,2,21.2196,5.39021,13,0.075
10.2,12,1,21.2784,5.36079,13,0.075
10.2,13,1,22.5319,4.73404,12,0.07
10.2,14,2,22.6108,4.69462,12,0.07
15.2,0,0,19.054,6.47301,14,0.08
15.2,1,0,18.2755,6.86227,14,0.08
15.2,2,0,18.2765,6.86174,14,0.08
15.2,3,0,18.1044,6.94781,14,0.08
15.2,4,0,18.1042,6.94791,14,0.08
15.2,5,0,18.4328,6.78362,14,0.08
15.2,6,0,18.4318,6.78409,14,0.08
15.2,7,0,19.2025,6.39873,14,0.08
15.2,8,0,19.2019,6.39905,14,0.08
15.2,9,0,20.3787,5.81066,14,0.08
15.2,10,0,20.3773,5.81135,14,0.08
15.2,11,2,21.2512,5.3744,13,0.075
15.2,12,1,21.2466,5.37669,13,0.075
15.2,13,1,22.5688,4.7156,12,0.07
15.2,14,2,22.559,4.72048,12,0.07
20.2,0,0,19.0511,6.47446,14,0.08
20.2,1,0,18.2733,6.86333,14,0.08
20.2,2,0,18.2735,6.86327,14,0.08
20.2,3,0,18.1026,6.94872,14,0.08
