FlowId,Src,Dest,Tx,Rx,LossRate
1,0,1,806,806,0%
2,0,7,806,806,0%
3,1,2,805,805,0%
4,1,8,805,805,0%
5,2,3,804,804,0%
6,2,9,804,804,0%
7,3,4,803,803,0%
8,3,10,803,803,0%
9,4,5,801,801,0%
10,4,11,801,0,100%
11,5,6,800,800,0%
12,5,12,800,0,100%
13,6,7,799,799,0%
14,6,13,799,0,100%
15,7,8,798,798,0%
16,7,14,798,0,100%
17,8,9,797,797,0%
18,8,0,797,797,0%
19,9,10,795,795,0%
20,9,1,795,795,0%
21,10,11,794,0,100%
22,10,2,794,794,0%
23,11,12,793,0,100%
24,11,3,793,0,100%
25,12,13,792,792,0%
26,12,4,792,0,100%
27,13,14,791,0,100%
28,13,5,791,0,100%
29,14,0,789,0,100%
30,14,6,789,0,100%
