time,node_id,channel,tx_power,data_rate,neighbors,interference_dBm,worst_sinr_dB
0.1,0,2,17.5,9,14,-200,40.087
0.1,1,1,17.5,9,14,-200,40.1638
0.1,2,0,17.5,9,14,-200,40.0622
0.1,3,2,17.5,9,14,-200,40.0309
0.1,4,0,17.5,9,14,-200,39.9554
0.1,5,1,17.5,9,14,-200,44.081
0.1,6,2,17.5,9,14,-200,39.7779
0.1,7,0,17.5,9,14,-200,39.629
0.1,8,2,17.5,9,14,-200,39.6371
0.1,9,0,17.5,9,14,-200,40.4958
0.1,10,1,17.5,9,14,-200,42.3111
0.1,11,0,17.5,9,14,-200,41.9235
0.1,12,2,17.5,9,14,-200,41.2899
0.1,13,1,17.5,9,14,-200,40.1086
0.1,14,0,17.5,9,14,-200,39.629
0.2,0,2,17.5,9,14,-200,40.0871
0.2,1,1,17.5,9,14,-200,40.1639
0.2,2,0,17.5,9,14,-200,40.0623
0.2,3,2,17.5,9,14,-200,40.0309
0.2,4,0,17.5,9,14,-200,39.9555
0.2,5,1,17.5,9,14,-200,44.081
0.2,6,2,17.5,9,14,-200,39.778
0.2,7,0,17.5,9,14,-200,39.6291
0.2,8,2,17.5,9,14,-200,39.6373
0.2,9,0,17.5,9,14,-200,40.4959
0.2,10,1,17.5,9,14,-200,42.3113
0.2,11,0,17.5,9,14,-200,41.9234
0.2,12,2,17.5,9,14,-200,41.29
0.2,13,1,17.5,9,14,-200,40.1086
0.2,14,0,17.5,9,14,-200,39.6291
0.3,0,2,17.5,9,14,-200,40.0872
0.3,1,1,17.5,9,14,-200,40.164
0.3,2,0,17.5,9,14,-200,40.0624
0.3,3,2,17.5,9,14,-200,40.031
0.3,4,0,17.5,9,14,-200,39.9556
0.3,5,1,17.5,9,14,-200,44.0811
0.3,6,2,17.5,9,14,-200,39.7781
0.3,7,0,17.5,9,14,-200,39.6292
0.3,8,2,17.5,9,14,-200,39.6375
0.3,9,0,17.5,9,14,-200,40.4959
