time,uav0_channel,uav0_power,uav0_rate,uav1_channel,uav1_power,uav1_rate,uav2_channel,uav2_power,uav2_rate,uav3_channel,uav3_power,uav3_rate,uav4_channel,uav4_power,uav4_rate,uav5_channel,uav5_power,uav5_rate,uav6_channel,uav6_power,uav6_rate,uav7_channel,uav7_power,uav7_rate,uav8_channel,uav8_power,uav8_rate,uav9_channel,uav9_power,uav9_rate,uav10_channel,uav10_power,uav10_rate,uav11_channel,uav11_power,uav11_rate,uav12_channel,uav12_power,uav12_rate,uav13_channel,uav13_power,uav13_rate,uav14_channel,uav14_power,uav14_rate
0.1,2,22,9,1,22,9,0,22,9,2,22,9,0,22,9,1,20.5732,9,2,22,9,0,22,9,2,22,9,0,22,9,1,21.9007,9,0,22,9,2,22,9,1,22,9,0,22,6
0.2,2,22,9,1,22,9,0,22,9,2,22,9,0,22,9,1,20.5732,9,2,22,9,0,22,9,2,22,9,0,22,9,1,21.9007,9,0,22,9,2,22,9,1,22,9,0,22,6
0.3,2,22,9,1,22,9,0,22,9,2,22,9,0,22,9,1,20.5732,9,2,22,9,0,22,9,2,22,9,0,22,9,1,21.9007,9,0,22,9,2,22,9,1,22,9,0,22,6
0.4,2,22,9,1,22,9,0,22,9,2,22,9,0,22,9,1,20.5732,9,2,22,9,0,22,9,2,22,9,0,22,9,1,21.9007,9,0,22,9,2,22,9,1,22,9,0,22,6
0.5,2,22,9,1,22,9,0,22,9,2,22,9,0,22,9,1,20.5732,9,2,22,9,0,22,9,2,22,9,0,22,9,1,21.9007,9,0,22,9,2,22,9,1,22,9,0,22,6
0.6,2,24,12,1,24,12,0,24,12,2,24,12,0,24,12,1,21.2137,12,2,24,12,0,24,12,2,24,12,0,24,12,1,23.6693,12,0,23.6743,12,2,24,12,1,24,12,0,23.9325,9
0.7,2,24,12,1,24,12,0,24,12,2,24,12,0,24,12,1,21.2137,12,2,24,12,0,24,12,2,24,12,0,24,12,1,23.6693,12,0,23.6743,12,2,24,12,1,24,12,0,23.9325,9
0.8,2,24,12,1,24,12,0,24,12,2,24,12,0,24,12,1,21.2137,12,2,24,12,0,24,12,2,24,12,0,24,12,1,23.6693,12,0,23.6743,12,2,24,12,1,24,12,0,23.9325,9
0.9,2,24,12,1,24,12,0,24,12,2,24,12,0,24,12,1,21.2137,12,2,24,12,0,24,12,2,24,12,0,24,12,1,23.6693,12,0,23.6743,12,2,24,12,1,24,12,0,23.9325,9
1,2,24,12,1,24,12,0,24,12,2,24,12,0,24,12,1,21.2137,12,2,24,12,0,24,12,2,24,12,0,24,12,1,23.6693,12,0,23.6743,12,2,24,12,1,24,12,0,23.9325,9
1.1,2,26,18,1,26,18,0,26,18,2,26,18,0,26,18,1,22.1085,18,2,26,18,0,26,18,2,26,18,0,26,18,1,25.0246,18,0,25.0504,18,2,26,18,1,26,18,0,25.5293,12
1.2,2,26,18,1,26,18,0,26,18,2,26,18,0,26,18,1,22.1085,18,2,26,18,0,26,18,2,26,18,0,26,18,1,25.0246,18,0,25.0504,18,2,26,18,1,26,18,0,25.5293,12
1.3,2,26,18,1,26,18,0,26,18,2,26,18,0,26,18,1,22.1085,18,2,26,18,0,26,18,2,26,18,0,26,18,1,25.0246,18,0,25.0504,18,2,26,18,1,26,18,0,25.5293,12
1.4,2,26,18,1,26,18,0,26,18,2,26,18,0,26,18,1,22.1085,18,2,26,18,0,26,18,2,26,18,0,26,18,1,25.0246,18,0,25.0504,18,2,26,18,1,26,18,0,25.5293,12
1.5,2,26,18,1,26,18,0,26,18,2,26,18,0,26,18,1,22.1085,18,2,26,18,0,26,18,2,26,18,0,26,18,1,25.0246,18,0,25.0504,18,2,26,18,1,26,18,0,25.5293,12
1.6,2,28,24,1,28,24,0,28,24,2,28,24,0,28,24,1,23.1537,24,2,28,24,0,28,24,2,28,24,0,28,24,1,26.3526,24,0,26.4769,24,2,27.906,24,1,28,24,0,26.9649,18
1.7,2,28,24,1,28,24,0,28,24,2,28,24,0,28,24,1,23.1537,24,2,28,24,0,28,24,2,28,24,0,28,24,1,26.3526,24,0,26.4769,24,2,27.906,24,1,28,24,0,26.9649,18
1.8,2,28,24,1,28,24,0,28,24,2,28,24,0,28,24,1,23.1537,24,2,28,24,0,28,24,2,28,24,0,28,24,1,26.3526,24,0,26.4769,24,2,27.906,24,1,28,24,0,26.9649,18
1.9,2,28,24,1,28,24,0,28,24,2,28,24,0,28,24,1,23.1537,24,2,28,24,0,28,24,2,28,24,0,28,24,1,26.3526,24,0,26.4769,24,2,27.906,24,1,28,24,0,26.9649,18
2,2,28,24,1,28,24,0,28,24,2,28,24,0,28,24,1,23.1537,24,2,28,24,0,28,24,2,28,24,0,28,24,1,26.3526,24,0,26.4769,24,2,27.906,24,1,28,24,0,26.9649,18
2.1,2,30,36,1,30,36,0,30,36,2,30,36,0,30,36,1,24.1634,24,2,30,36,0,30,36,2,30,36,0,30,36,1,28.0781,36,0,28.3408,36,2,29.7524,36,1,30,36,0,28.2676,24
2.2,2,30,36,1,30,36,0,30,36,2,30,36,0,30,36,1,24.1634,24,2,30,36,0,30,36,2,30,36,0,30,36,1,28.0781,36,0,28.3408,36,2,29.7524,36,1,30,36,0,28.2676,24
2.3,2,30,36,1,30,36,0,30,36,2,30,36,0,30,36,1,24.1634,24,2,30,36,0,30,36,2,30,36,0,30,36,1,28.0781,36,0,28.3408,36,2,29.7524,36,1,30,36,0,28.2676,24
2.4,2,30,36,1,30,36,0,30,36,2,30,36,0,30,36,1,24.1634,24,2,30,36,0,30,36,2,30,36,0,30,36,1,28.0781,36,0,28.3408,36,2,29.7524,36,1,30,36,0,28.2676,24
2.5,2,30,36,1,30,36,0,30,36,2,30,36,0,30,36,1,24.1634,24,2,30,36,0,30,36,2,30,36,0,30,36,1,28.0781,36,0,28.3408,36,2,29.7524,36,1,30,36,0,28.2676,24
2.6,2,30,48,1,30,48,0,30,48,2,30,48,0,30,48,1,25.6136,36,2,30,48,0,30,48,2,30,48,0,30,48,1,30,48,0,30,48,2,30,48,1,30,48,0,29.743,36
2.7,2,30,48,1,30,48,0,30,48,2,30,48,0,30,48,1,25.6136,36,2,30,48,0,30,48,2,30,48,0,30,48,1,30,48,0,30,48,2,30,48,1,30,48,0,29.743,36
2.8,2,30,48,1,30,48,0,30,48,2,30,48,0,30,48,1,25.6136,36,2,30,48,0,30,48,2,30,48,0,30,48,1,30,48,0,30,48,2,30,48,1,30,48,0,29.743,36
2.9,2,30,48,1,30,48,0,30,48,2,30,48,0,30,48,1,25.6136,36,2,30,48,0,30,48,2,30,48,0,30,48,1,30,48,0,30,48,2,30,48,1,30,48,0,29.743,36
3,2,30,48,1,30,48,0,30,48,2,30,48,0,30,48,1,25.6136,36,2,30,48,0,30,48,2,30,48,0,30,48,1,30,48,0,30,48,2,30,48,1,30,48,0,29.743,36
3.1,2,30,54,1,30,54,0,30,54,2,30,54,0,30,54,1,27.1707,36,2,30,54,0,30,54,2,30,54,0,30,54,1,30,54,0,30,54,2,30,54,1,30,54,0,30,48
3.2,2,30,54,1,30,54,0,30,54,2,30,54,0,30,54,1,27.1707,36,2,30,54,0,30,54,2,30,54,0,30,54,1,30,54,0,30,54,2,30,54,1,30,54,0,30,48
3.3,2,30,54,1,30,54,0,30,54,2,30,54,0,30,54,1,27.1707,36,2,30,54,0,30,54,2,30,54,0,30,54,1,30,54,0,30,54,2,30,54,1,30,54,0,30,48
3.4,2,30,54,1,30,54,0,30,54,2,30,54,0,30,54,1,27.1707,36,2,30,54,0,30,54,2,30,54,0,30,54,1,30,54,0,30,54,2,30,54,1,30,54,0,30,48
3.5,2,30,54,1,30,54,0,30,54,2,30,54,0,30,54,1,27.1707,36,2,30,54,0,30,54,2,30,54,0,30,54,1,30,54,0,30,54,2,30,54,1,30,54,0,30,48
3.6,2,30,54,1,30,54,0,30,54,2,30,54,0,30,54,1,28.8675,48,2,30,54,0,30,54,2,30,54,0,30,54,1,30,54,0,30,54,2,30,54,1,30,54,0,30,48
3.7,2,30,54,1,30,54,0,30,54,2,30,54,0,30,54,1,28.8675,48,2,30,54,0,30,54,2,30,54,0,30,54,1,30,54,0,30,54,2,30,54,1,30,54,0,30,48
3.8,2,30,54,1,30,54,0,30,54,2,30,54,0,30,54,1,28.8675,48,2,30,54,0,30,54,2,30,54,0,30,54,1,30,54,0,30,54,2,30,54,1,30,54,0,30,48
3.9,2,30,54,1,30,54,0,30,54,2,30,54,0,30,54,1,28.8675,48,2,30,54,0,30,54,2,30,54,0,30,54,1,30,54,0,30,54,2,30,54,1,30,54,0,30,48
4,2,30,54,1,30,54,0,30,54,2,30,54,0,30,54,1,28.8675,48,2,30,54,0,30,54,2,30,54,0,30,54,1,30,54,0,30,54,2,30,54,1,30,54,0,30,48
4.1,2,30,54,1,30,54,0,30,54,2,30,54,0,30,54,1,30,54,2,30,54,0,30,54,2,30,54,0,30,54,1,30,54,0,30,54,2,30,54,1,30,54,0,30,48
4.2,2,30,54,1,30,54,0,30,54,2,30,54,0,30,54,1,30,54,2,30,54,0,30,54,2,30,54,0,30,54,1,30,54,0,30,54,2,30,54,1,30,54,0,30,48
4.3,2,30,54,1,30,54,0,30,54,2,30,54,0,30,54,1,30,54,2,30,54,0,30,54,2,30,54,0,30,54,1,30,54,0,30,54,2,30,54,1,30,54,0,30,48
4.4,2,30,54,1,30,54,0,30,54,2,30,54,0,30,54,1,30,54,2,30,54,0,30,54,2,30,54,0,30,54,1,30,54,0,30,54,2,30,54,1,30,54,0,30,48
4.5,2,30,54,1,30,54,0,30,54,2,30,54,0,30,54,1,30,54,2,30,54,0,30,54,2,30,54,0,30,54,1,30,54,0,30,54,2,30,54,1,30,54,0,30,48
4.6,2,30,54,1,30,54,0,30,54,2,30,54,0,30,54,1,30,54,2,30,54,0,30,54,2,30,54,0,30,54,1,30,54,0,30,54,2,30,54,1,30,54,0,30,48
4.7,2,30,54,1,30,54,0,30,54,2,30,54,0,30,54,1,30,54,2,30,54,0,30,54,2,30,54,0,30,54,1,30,54,0,30,54,2,30,54,1,30,54,0,30,48
4.8,2,30,54,1,30,54,0,30,54,2,30,54,0,30,54,1,30,54,2,30,54,0,30,54,2,30,54,0,30,54,1,30,54,0,30,54,2,30,54,1,30,54,0,30,48
4.9,2,30,54,1,30,54,0,30,54,2,30,54,0,30,54,1,30,54,2,30,54,0,30,54,2,30,54,0,30,54,1,30,54,0,30,54,2,30,54,1,30,54,0,30,48
5,2,30,54,1,30,54,0,30,54,2,30,54,0,30,54,1,30,54,2,30,54,0,30,54,2,30,54,0,30,54,1,30,54,0,30,54,2,30,54,1,30,54,0,30,48
5.1,2,30,54,1,30,54,0,30,54,2,30,54,0,30,54,1,30,54,2,30,54,0,30,54,2,30,54,0,30,54,1,30,54,0,30,54,2,30,54,1,30,54,0,30,48
5.2,2,30,54,1,30,54,0,30,54,2,30,54,0,30,54,1,30,54,2,30,54,0,30,54,2,30,54,0,30,54,1,30,54,0,30,54,2,30,54,1,30,54,0,30,48
5.3,2,30,54,1,30,54,0,30,54,2,30,54,0,30,54,1,30,54,2,30,54,0,30,54,2,30,54,0,30,54,1,30,54,0,30,54,2,30,54,1,30,54,0,30,48
5.4,2,30,54,1,30,54,0,30,54,2,30,54,0,30,54,1,30,54,2,30,54,0,30,54,2,30,54,0,30,54,1,30,54,0,30,54,2,30,54,1,30,54,0,30,48
5.5,2,30,54,1,30,54,0,30,54,2,30,54,0,30,54,1,30,54,2,30,54,0,30,54,2,30,54,0,30,54,1,30,54,0,30,54,2,30,54,1,30,54,0,30,48
5.6,2,30,54,1,30,54,0,30,54,2,30,54,0,30,54,1,30,54,2,30,54,0,30,54,2,30,54,0,30,54,1,30,54,0,30,54,2,30,54,1,30,54,0,30,48
5.7,2,30,54,1,30,54,0,30,54,2,30,54,0,30,54,1,30,54,2,30,54,0,30,54,2,30,54,0,30,54,1,30,54,0,30,54,2,30,54,1,30,54,0,30,48
5.8,2,30,54,1,30,54,0,30,54,2,30,54,0,30,54,1,30,54,2,30,54,0,30,54,2,30,54,0,30,54,1,30,54,0,30,54,2,30,54,1,30,54,0,30,48
5.9,2,30,54,1,30,54,0,30,54,2,30,54,0,30,54,1,30,54,2,30,54,0,30,54,2,30,54,0,30,54,1,30,54,0,30,54,2,30,54,1,30,54,0,30,48
6,2,30,54,1,30,54,0,30,54,2,30,54,0,30,54,1,30,54,2,30,54,0,30,54,2,30,54,0,30,54,1,30,54,0,30,54,2,30,54,1,30,54,0,30,48
6.1,2,30,54,1,30,54,0,30,54,2,30,54,0,30,54,1,30,54,2,30,54,0,30,54,2,30,54,0,30,54,1,30,54,0,30,54,2,30,54,1,30,54,0,30,48
6.2,2,30,54,1,30,54,0,30,54,2,30,54,0,30,54,1,30,54,2,30,54,0,30,54,2,30,54,0,30,54,1,30,54,0,30,54,2,30,54,1,30,54,0,30,48
6.3,2,30,54,1,30,54,0,30,54,2,30,54,0,30,54,1,30,54,2,30,54,0,30,54,2,30,54,0,30,54,1,30,54,0,30,54,2,30,54,1,30,54,0,30,48
6.4,2,30,54,1,30,54,0,30,54,2,30,54,0,30,54,1,30,54,2,30,54,0,30,54,2,30,54,0,30,54,1,30,54,0,30,54,2,30,54,1,30,54,0,30,48
6.5,2,30,54,1,30,54,0,30,54,2,30,54,0,30,54,1,30,54,2,30,54,0,30,54,2,30,54,0,30,54,1,30,54,0,30,54,2,30,54,1,30,54,0,30,48
6.6,2,30,54,1,30,54,0,30,54,2,30,54,0,30,54,1,30,54,2,30,54,0,30,54,2,30,54,0,30,54,1,30,54,0,30,54,2,30,54,1,30,54,0,30,48
6.7,2,30,54,1,30,54,0,30,54,2,30,54,0,30,54,1,30,54,2,30,54,0,30,54,2,30,54,0,30,54,1,30,54,0,30,54,2,30,54,1,30,54,0,30,48
6.8,2,30,54,1,30,54,0,30,54,2,30,54,0,30,54,1,30,54,2,30,54,0,30,54,2,30,54,0,30,54,1,30,54,0,30,54,2,30,54,1,30,54,0,30,48
6.9,2,30,54,1,30,54,0,30,54,2,30,54,0,30,54,1,30,54,2,30,54,0,30,54,2,30,54,0,30,54,1,30,54,0,30,54,2,30,54,1,30,54,0,30,48
7,2,30,54,1,30,54,0,30,54,2,30,54,0,30,54,1,30,54,2,30,54,0,30,54,2,30,54,0,30,54,1,30,54,0,30,54,2,30,54,1,30,54,0,30,48
7.1,2,30,54,1,30,54,0,30,54,2,30,54,0,30,54,1,30,54,2,30,54,0,30,54,2,30,54,0,30,54,1,30,54,0,30,54,2,30,54,1,30,54,0,30,48
7.2,2,30,54,1,30,54,0,30,54,2,30,54,0,30,54,1,30,54,2,30,54,0,30,54,2,30,54,0,30,54,1,30,54,0,30,54,2,30,54,1,30,54,0,30,48
7.3,2,30,54,1,30,54,0,30,54,2,30,54,0,30,54,1,30,54,2,30,54,0,30,54,2,30,54,0,30,54,1,30,54,0,30,54,2,30,54,1,30,54,0,30,48
7.4,2,30,54,1,30,54,0,30,54,2,30,54,0,30,54,1,30,54,2,30,54,0,30,54,2,30,54,0,30,54,1,30,54,0,30,54,2,30,54,1,30,54,0,30,48
