FlowId,Src,Dest,Tx,Rx,LossRate
1,13,14,2623,2349,10.4461%
2,13,5,2620,2615,0.19084%
3,12,13,2620,2619,0.0381679%
4,11,12,2620,2620,0%
5,11,3,2520,2501,0.753968%
6,10,11,2653,2640,0.490011%
7,10,2,2553,2491,2.42852%
8,9,10,2687,2686,0.0372162%
9,9,1,2455,2308,5.98778%
10,8,9,2620,2618,0.0763359%
11,7,8,2687,2687,0%
12,7,14,2544,2314,9.04088%
13,6,7,2620,2620,0%
14,6,13,2519,2508,0.436681%
15,5,6,2620,2617,0.114504%
16,5,12,2519,2518,0.0396983%
17,4,11,2521,2515,0.238001%
18,3,10,2521,2509,0.476002%
19,2,3,2632,2566,2.5076%
20,2,9,2532,2526,0.236967%
21,1,2,2508,2411,3.86762%
22,1,8,2409,2307,4.23412%
23,14,6,2550,2329,8.66667%
24,4,5,2606,2595,0.422103%
25,3,4,2606,2592,0.537222%
26,12,4,2479,2479,0%
27,0,1,108,57,47.2222%
