time,uav0_channel,uav0_power,uav0_rate,uav1_channel,uav1_power,uav1_rate,uav2_channel,uav2_power,uav2_rate,uav3_channel,uav3_power,uav3_rate,uav4_channel,uav4_power,uav4_rate,uav5_channel,uav5_power,uav5_rate,uav6_channel,uav6_power,uav6_rate,uav7_channel,uav7_power,uav7_rate,uav8_channel,uav8_power,uav8_rate,uav9_channel,uav9_power,uav9_rate,uav10_channel,uav10_power,uav10_rate,uav11_channel,uav11_power,uav11_rate,uav12_channel,uav12_power,uav12_rate,uav13_channel,uav13_power,uav13_rate,uav14_channel,uav14_power,uav14_rate
0.1,2,20,9,1,20,9,0,20,9,2,20,9,0,20,9,1,19,9,2,20,9,0,20,9,2,20,9,0,20,9,1,20,9,0,20,9,2,20,9,1,20,9,0,20,9
0.2,2,20,9,1,20,9,0,20,9,2,20,9,0,20,9,1,19,9,2,20,9,0,20,9,2,20,9,0,20,9,1,20,9,0,20,9,2,20,9,1,20,9,0,20,9
0.3,2,20,9,1,20,9,0,20,9,2,20,9,0,20,9,1,19,9,2,20,9,0,20,9,2,20,9,0,20,9,1,20,9,0,20,9,2,20,9,1,20,9,0,20,9
0.4,2,20,9,1,20,9,0,20,9,2,20,9,0,20,9,1,19,9,2,20,9,0,20,9,2,20,9,0,20,9,1,20,9,0,20,9,2,20,9,1,20,9,0,20,9
0.5,2,20,9,1,20,9,0,20,9,2,20,9,0,20,9,1,19,9,2,20,9,0,20,9,2,20,9,0,20,9,1,20,9,0,20,9,2,20,9,1,20,9,0,20,9
0.6,2,20,12,1,20,12,0,20,12,2,20,12,0,20,12,1,19,12,2,20.503,12,0,20.5961,12,2,20.5909,12,0,20,12,1,20,12,0,20,12,2,20,12,1,20,12,0,20,12
0.7,2,20,12,1,20,12,0,20,12,2,20,12,0,20,12,1,19,12,2,20.503,12,0,20.5961,12,2,20.5909,12,0,20,12,1,20,12,0,20,12,2,20,12,1,20,12,0,20,12
0.8,2,20,12,1,20,12,0,20,12,2,20,12,0,20,12,1,19,12,2,20.503,12,0,20.5961,12,2,20.5909,12,0,20,12,1,20,12,0,20,12,2,20,12,1,20,12,0,20,12
0.9,2,20,12,1,20,12,0,20,12,2,20,12,0,20,12,1,19,12,2,20.503,12,0,20.5961,12,2,20.5909,12,0,20,12,1,20,12,0,20,12,2,20,12,1,20,12,0,20,12
1,2,20,12,1,20,12,0,20,12,2,20,12,0,20,12,1,19,12,2,20.503,12,0,20.5961,12,2,20.5909,12,0,20,12,1,20,12,0,20,12,2,20,12,1,20,12,0,20,12
1.1,2,20.7194,18,1,20.6714,18,0,20.7349,18,2,20.7545,18,0,20.8017,18,1,19,18,2,21.3402,18,0,21.5124,18,2,21.5034,18,0,20,18,1,20,18,0,20,18,2,20,18,1,20.7061,18,0,20.5704,18
1.2,2,20.7194,18,1,20.6714,18,0,20.7349,18,2,20.7545,18,0,20.8017,18,1,19,18,2,21.3402,18,0,21.5124,18,2,21.5034,18,0,20,18,1,20,18,0,20,18,2,20,18,1,20.7061,18,0,20.5704,18
1.3,2,20.7194,18,1,20.6714,18,0,20.7349,18,2,20.7545,18,0,20.8017,18,1,19,18,2,21.3402,18,0,21.5124,18,2,21.5034,18,0,20,18,1,20,18,0,20,18,2,20,18,1,20.7061,18,0,20.5704,18
1.4,2,20.7194,18,1,20.6714,18,0,20.7349,18,2,20.7545,18,0,20.8017,18,1,19,18,2,21.3402,18,0,21.5124,18,2,21.5034,18,0,20,18,1,20,18,0,20,18,2,20,18,1,20.7061,18,0,20.5704,18
1.5,2,20.7194,18,1,20.6714,18,0,20.7349,18,2,20.7545,18,0,20.8017,18,1,19,18,2,21.3402,18,0,21.5124,18,2,21.5034,18,0,20,18,1,20,18,0,20,18,2,20,18,1,20.7061,18,0,20.5704,18
1.6,2,22.0703,24,1,21.9816,24,0,22.099,24,2,22.1353,24,0,22.2225,24,1,19,24,2,22.7385,24,0,22.9681,24,2,22.9575,24,0,21.2035,24,1,20,24,0,20,24,2,20.7072,24,1,22.0458,24,0,21.3461,18
