time,node_id,channel,tx_power,data_rate,neighbors,interference_dBm,worst_sinr_dB
0.1,0,2,20,9,14,-70.5617,10.6859
0.1,1,1,20,9,14,-70.5103,10.7819
0.1,2,0,20,9,14,-70.5198,10.6549
0.1,3,2,20,9,14,-70.4962,10.6157
0.1,4,0,20,9,14,-70.4771,10.5214
0.1,5,1,19,9,14,-69.9847,14.6784
0.1,6,2,20,9,14,-70.4371,10.2995
0.1,7,0,20,9,14,-70.4206,10.1134
0.1,8,2,20,9,14,-70.4164,10.1235
0.1,9,0,20,9,14,-70.4937,11.1969
0.1,10,1,20,9,14,-70.3522,13.466
0.1,11,0,20,9,14,-70.2723,12.9815
0.1,12,2,20,9,14,-70.3658,12.1895
0.1,13,1,20,9,14,-70.4395,10.7129
0.1,14,0,20,9,14,-69.5445,10.9868
0.2,0,2,20,9,14,-70.5557,10.6822
0.2,1,1,20,9,14,-70.5047,10.7782
0.2,2,0,20,9,14,-70.5143,10.6512
0.2,3,2,20,9,14,-70.4909,10.612
0.2,4,0,20,9,14,-70.472,10.5177
0.2,5,1,19,9,14,-69.9808,14.6746
0.2,6,2,20,9,14,-70.4324,10.2958
0.2,7,0,20,9,14,-70.4162,10.1097
0.2,8,2,20,9,14,-70.4129,10.1199
0.2,9,0,20,9,14,-70.4875,11.1931
0.2,10,1,20,9,14,-70.3465,13.4624
0.2,11,0,20,9,14,-70.2665,12.9776
0.2,12,2,20,9,14,-70.3602,12.1858
0.2,13,1,20,9,14,-70.434,10.7091
0.2,14,0,20,9,14,-69.5406,10.9825
0.3,0,2,20,9,14,-70.5497,10.6785
0.3,1,1,20,9,14,-70.4991,10.7745
0.3,2,0,20,9,14,-70.5087,10.6475
0.3,3,2,20,9,14,-70.4855,10.6083
0.3,4,0,20,9,14,-70.4669,10.514
0.3,5,1,19,9,14,-69.9768,14.6708
0.3,6,2,20,9,14,-70.4278,10.2921
0.3,7,0,20,9,14,-70.4118,10.106
0.3,8,2,20,9,14,-70.4094,10.1163
0.3,9,0,20,9,14,-70.4813,11.1894
0.3,10,1,20,9,14,-70.3409,13.4587
0.3,11,0,20,9,14,-70.2608,12.9737
0.3,12,2,20,9,14,-70.3547,12.182
0.3,13,1,20,9,14,-70.4286,10.7053
0.3,14,0,20,9,14,-69.5368,10.9782
0.4,0,2,20,9,14,-70.5437,10.6748
0.4,1,1,20,9,14,-70.4935,10.7708
0.4,2,0,20,9,14,-70.5031,10.6438
0.4,3,2,20,9,14,-70.4801,10.6046
0.4,4,0,20,9,14,-70.4617,10.5103
0.4,5,1,19,9,14,-69.9729,14.6671
0.4,6,2,20,9,14,-70.4231,10.2884
0.4,7,0,20,9,14,-70.4073,10.1023
