FlowId,Src,Dest,Tx,Rx,LossRate
1,14,6,2636,2378,9.78756%
2,13,14,2723,2171,20.2718%
3,13,5,2686,2686,0%
4,12,13,2620,2620,0%
5,12,4,2520,2520,0%
6,11,12,2620,2619,0.0381679%
7,11,3,2520,2508,0.47619%
8,10,11,2620,2619,0.0381679%
9,10,2,2520,2520,0%
10,9,10,2687,2687,0%
11,9,1,2515,2342,6.87873%
12,8,9,2620,2615,0.19084%
13,7,8,2721,2721,0%
14,7,14,2520,2261,10.2778%
15,6,7,2620,2620,0%
16,6,13,2552,2552,0%
17,5,6,2620,2619,0.0381679%
18,5,12,2552,2552,0%
19,4,5,2620,2618,0.0763359%
20,4,11,2554,2529,0.978857%
21,3,4,2620,2604,0.610687%
22,3,10,2554,2542,0.469851%
23,2,3,2620,2596,0.916031%
24,2,9,2554,2539,0.587314%
25,1,2,2475,2406,2.78788%
26,1,8,2409,2340,2.86426%
27,0,1,63,12,80.9524%
