time,node_id,channel,tx_power,data_rate,neighbors,interference_dBm,worst_sinr_dB
0.1,0,1,17.5,9,14,-200,34.9122
0.1,1,1,17.5,9,14,-200,38.892
0.1,2,2,17.5,9,14,-200,37.1725
0.1,3,0,17.5,9,14,-200,37.2402
0.1,4,0,17.5,9,14,-200,35.8869
0.1,5,2,17.5,9,14,-200,40.2461
0.1,6,1,17.5,9,14,-200,38.0517
0.1,7,2,17.5,9,14,-200,36.635
0.1,8,0,17.5,9,14,-200,37.7041
0.1,9,2,17.5,9,14,-200,36.6853
0.1,10,1,17.5,9,14,-200,37.8454
0.1,11,0,17.5,9,14,-200,34.9122
0.1,12,2,17.5,9,14,-200,36.6866
0.1,13,1,17.5,9,14,-200,36.7184
0.1,14,0,17.5,9,14,-200,36.5536
0.2,0,1,17.5,9,14,-200,34.9122
0.2,1,1,17.5,9,14,-200,38.892
0.2,2,2,17.5,9,14,-200,37.1725
0.2,3,0,17.5,9,14,-200,37.2402
0.2,4,0,17.5,9,14,-200,35.8869
0.2,5,2,17.5,9,14,-200,40.2461
0.2,6,1,17.5,9,14,-200,38.0517
0.2,7,2,17.5,9,14,-200,36.635
0.2,8,0,17.5,9,14,-200,37.7041
0.2,9,2,17.5,9,14,-200,36.6853
0.2,10,1,17.5,9,14,-200,37.8454
0.2,11,0,17.5,9,14,-200,34.9122
0.2,12,2,17.5,9,14,-200,36.6866
0.2,13,1,17.5,9,14,-200,36.7184
0.2,14,0,17.5,9,14,-200,36.5535
0.3,0,1,17.5,9,14,-200,34.9122
0.3,1,1,17.5,9,14,-200,38.892
0.3,2,2,17.5,9,14,-200,37.1725
0.3,3,0,17.5,9,14,-200,37.2402
0.3,4,0,17.5,9,14,-200,35.8869
0.3,5,2,17.5,9,14,-200,40.2461
0.3,6,1,17.5,9,14,-200,38.0517
0.3,7,2,17.5,9,14,-200,36.635
0.3,8,0,17.5,9,14,-200,37.7041
0.3,9,2,17.5,9,14,-200,36.6853
0.3,10,1,17.5,9,14,-200,37.8454
0.3,11,0,17.5,9,14,-200,34.9122
0.3,12,2,17.5,9,14,-200,36.6866
0.3,13,1,17.5,9,14,-200,36.7184
0.3,14,0,17.5,9,14,-200,36.5535
0.4,0,1,17.5,9,14,-200,34.9122
0.4,1,1,17.5,9,14,-200,38.892
0.4,2,2,17.5,9,14,-200,37.1725
0.4,3,0,17.5,9,14,-200,37.2402
0.4,4,0,17.5,9,14,-200,35.8869
0.4,5,2,17.5,9,14,-200,40.2461
0.4,6,1,17.5,9,14,-200,38.0517
0.4,7,2,17.5,9,14,-200,36.635
0.4,8,0,17.5,9,14,-200,37.7041
0.4,9,2,17.5,9,14,-200,36.6853
0.4,10,1,17.5,9,14,-200,37.8454
0.4,11,0,17.5,9,14,-200,34.9122
0.4,12,2,17.5,9,14,-200,36.6866
0.4,13,1,17.5,9,14,-200,36.7184
0.4,14,0,17.5,9,14,-200,36.5534
0.5,0,1,17.5,9,14,-200,34.9122
0.5,1,1,17.5,9,14,-200,38.892
0.5,2,2,17.5,9,14,-200,37.1725
0.5,3,0,17.5,9,14,-200,37.2402
0.5,4,0,17.5,9,14,-200,35.8869
0.5,5,2,17.5,9,14,-200,40.2461
0.5,6,1,17.5,9,14,-200,38.0517
0.5,7,2,17.5,9,14,-200,36.635
0.5,8,0,17.5,9,14,-200,37.7041
0.5,9,2,17.5,9,14,-200,36.6853
0.5,10,1,17.5,9,14,-200,37.8454
0.5,11,0,17.5,9,14,-200,34.9122
0.5,12,2,17.5,9,14,-200,36.6866
0.5,13,1,17.5,9,14,-200,36.7184
0.5,14,0,17.5,9,14,-200,36.5534
0.6,0,1,15,12,14,-200,32.4122
0.6,1,1,15,12,14,-200,36.392
