FlowId,Src,Dest,Tx,Rx,LossRate
1,14,6,2520,2520,0%
2,13,14,2620,2606,0.534351%
3,13,5,2520,2477,1.70635%
4,12,13,2620,2620,0%
5,12,4,2520,2519,0.0396825%
6,10,11,2654,2490,6.17935%
7,10,2,2587,2585,0.0773096%
8,9,10,2620,2619,0.0381679%
9,9,1,2549,2500,1.92232%
10,8,9,2688,2651,1.37649%
11,7,8,2620,2593,1.03053%
12,7,14,2520,2518,0.0793651%
13,6,7,2620,2612,0.305344%
14,6,13,2520,2520,0%
15,4,5,3253,3178,2.30556%
16,4,11,2687,1280,52.3632%
17,3,4,2620,2620,0%
18,3,10,2520,2517,0.119048%
19,2,3,2620,2610,0.381679%
20,2,9,2520,2509,0.436508%
21,1,2,2778,2553,8.09935%
22,1,8,2711,2476,8.66839%
23,11,12,3343,3130,6.37152%
24,11,3,2634,1159,55.9985%
25,5,6,2606,2596,0.38373%
26,5,12,2506,2506,0%
27,0,1,2564,2444,4.68019%
28,0,7,2567,2565,0.077912%
29,14,0,2494,2491,0.120289%
30,8,0,2447,2414,1.34859%
