time,nodeId,x,y,z,node_type,speed
0.1,0,0,0,0,0,0
0.1,1,3.671,1.709,21.83,0,0
0.1,2,2.279,-0.377,8,0,0
0.1,3,3.698,-0.499,8.2,0,0
0.1,4,1.197,0.233,3.63,0,0
0.1,5,6.969,-0.677,17.66,0,0
0.1,6,5.799,0.499,10.58,0,0
0.1,7,6.952,0.033,6.37,0,0
0.1,8,7.954,0.078,9.91,0,0
0.1,9,-1.037,0.977,6.61,0,0
0.1,10,-0.035,1.01,10.09,0,0
0.1,11,3.573,3.585,34.74,0,0
0.1,12,1.906,1.065,6.28,0,0
0.1,13,2.483,0.622,6.4,0,0
0.1,14,-1.04543,0.0223665,6.26967,0,0.00752522
0.1,1000,100.309,330.984,47.336,1,1.53277
0.1,1001,53.1161,277.954,41.645,1,5.11629
0.1,1002,55.396,107.029,57.9629,1,6.09407
0.1,1003,104.135,278.707,47.5766,1,4.11853
0.1,1004,38.3463,59.0486,54.786,1,3.6253
0.1,1005,70.5238,130.597,40.9833,1,4.89143
0.1,1006,45.8384,388.873,40.9802,1,3.81378
0.1,1007,75.2847,364.084,41.0442,1,3.49947
0.1,1008,47.1045,103.349,59.953,1,6.07211
0.1,1009,47.3869,349.629,42.0432,1,2.90124
0.1,1010,92.4415,116.482,47.3375,1,3.003
0.1,1011,26.776,127.265,59.6525,1,4.56621
0.1,1012,14.816,107.411,57.6299,1,1.99158
0.1,1013,21.5928,180.024,55.6028,1,5.33373
0.1,1014,38.7149,412.905,53.2363,1,4.66784
0.2,0,0,0,0,0,0
0.2,1,3.671,1.709,21.83,0,0
0.2,2,2.279,-0.377,8,0,0
0.2,3,3.698,-0.499,8.2,0,0
0.2,4,1.197,0.233,3.63,0,0
0.2,5,6.969,-0.677,17.66,0,0
0.2,6,5.799,0.499,10.58,0,0
0.2,7,6.952,0.033,6.37,0,0
0.2,8,7.954,0.078,9.91,0,0
0.2,9,-1.037,0.977,6.61,0,0
0.2,10,-0.035,1.01,10.09,0,0
0.2,11,3.573,3.585,34.74,0,0
0.2,12,1.906,1.065,6.28,0,0
0.2,13,2.483,0.622,6.4,0,0
0.2,14,-1.04487,0.0227331,6.26933,0,0.00752522
0.2,1000,100.427,331.079,47.36,1,1.53277
0.2,1001,52.8241,277.535,41.6195,1,5.11629
0.2,1002,54.8961,106.681,57.9525,1,6.09407
0.2,1003,103.727,278.688,47.5227,1,4.11853
0.2,1004,38.0666,59.2792,54.7783,1,3.6253
0.2,1005,70.3922,130.127,40.9431,1,4.89143
0.2,1006,45.4799,388.745,41.0044,1,3.81378
0.2,1007,75.0512,363.823,41.0316,1,3.49947
0.2,1008,46.6143,102.991,59.9652,1,6.07211
0.2,1009,47.1224,349.745,42.0684,1,2.90124
0.2,1010,92.1599,116.584,47.3167,1,3.003
0.2,1011,26.3718,127.058,59.6966,1,4.56621
0.2,1012,14.9445,107.563,57.6391,1,1.99158
0.2,1013,21.0679,180.118,55.6086,1,5.33373
0.2,1014,39.1784,412.954,53.2105,1,4.66784
0.3,0,0,0,0,0,0
0.3,1,3.671,1.709,21.83,0,0
0.3,2,2.279,-0.377,8,0,0
0.3,3,3.698,-0.499,8.2,0,0
0.3,4,1.197,0.233,3.63,0,0
0.3,5,6.969,-0.677,17.66,0,0
0.3,6,5.799,0.499,10.58,0,0
0.3,7,6.952,0.033,6.37,0,0
0.3,8,7.954,0.078,9.91,0,0
0.3,9,-1.037,0.977,6.61,0,0
0.3,10,-0.035,1.01,10.09,0,0
0.3,11,3.573,3.585,34.74,0,0
0.3,12,1.906,1.065,6.28,0,0
0.3,13,2.483,0.622,6.4,0,0
0.3,14,-1.0443,0.0230996,6.269,0,0.00752522
0.3,1000,100.544,331.174,47.3841,1,1.53277
0.3,1001,52.532,277.116,41.594,1,5.11629
0.3,1002,54.3962,106.332,57.9421,1,6.09407
0.3,1003,103.319,278.67,47.4687,1,4.11853
0.3,1004,37.7869,59.5097,54.7707,1,3.6253
0.3,1005,70.2605,129.658,40.903,1,4.89143
0.3,1006,45.1214,388.617,41.0286,1,3.81378
0.3,1007,74.8177,363.563,41.019,1,3.49947
0.3,1008,46.1241,102.632,59.9773,1,6.07211
0.3,1009,46.8578,349.861,42.0937,1,2.90124
0.3,1010,91.8782,116.686,47.2958,1,3.003
0.3,1011,25.9676,126.85,59.7408,1,4.56621
0.3,1012,15.0731,107.714,57.6484,1,1.99158
0.3,1013,20.543,180.213,55.6143,1,5.33373
0.3,1014,39.642,413.002,53.1846,1,4.66784
0.4,0,0,0,0,0,0
0.4,1,3.671,1.709,21.83,0,0
0.4,2,2.279,-0.377,8,0,0
0.4,3,3.698,-0.499,8.2,0,0
0.4,4,1.197,0.233,3.63,0,0
0.4,5,6.969,-0.677,17.66,0,0
0.4,6,5.799,0.499,10.58,0,0
0.4,7,6.952,0.033,6.37,0,0
0.4,8,7.954,0.078,9.91,0,0
0.4,9,-1.037,0.977,6.61,0,0
0.4,10,-0.035,1.01,10.09,0,0
0.4,11,3.573,3.585,34.74,0,0
0.4,12,1.906,1.065,6.28,0,0
0.4,13,2.483,0.622,6.4,0,0
0.4,14,-1.04373,0.0234662,6.26867,0,0.00752522
0.4,1000,100.662,331.269,47.4082,1,1.53277
0.4,1001,52.2399,276.696,41.5685,1,5.11629
0.4,1002,53.8964,105.984,57.9317,1,6.09407
0.4,1003,102.912,278.651,47.4147,1,4.11853
0.4,1004,37.5072,59.7402,54.763,1,3.6253
0.4,1005,70.1289,129.189,40.8628,1,4.89143
0.4,1006,44.7629,388.49,41.0528,1,3.81378
0.4,1007,74.5842,363.303,41.0065,1,3.49947
0.4,1008,45.6339,102.274,59.9895,1,6.07211
0.4,1009,46.5932,349.978,42.119,1,2.90124
0.4,1010,91.5966,116.788,47.275,1,3.003
0.4,1011,25.5634,126.642,59.7849,1,4.56621
0.4,1012,15.2016,107.866,57.6576,1,1.99158
0.4,1013,20.0181,180.307,55.62,1,5.33373
0.4,1014,40.1055,413.05,53.1587,1,4.66784
0.5,0,0,0,0,0,0
0.5,1,3.671,1.709,21.83,0,0
0.5,2,2.279,-0.377,8,0,0
0.5,3,3.698,-0.499,8.2,0,0
0.5,4,1.197,0.233,3.63,0,0
0.5,5,6.969,-0.677,17.66,0,0
0.5,6,5.799,0.499,10.58,0,0
0.5,7,6.952,0.033,6.37,0,0
0.5,8,7.954,0.078,9.91,0,0
0.5,9,-1.037,0.977,6.61,0,0
0.5,10,-0.035,1.01,10.09,0,0
0.5,11,3.573,3.585,34.74,0,0
0.5,12,1.906,1.065,6.28,0,0
0.5,13,2.483,0.622,6.4,0,0
0.5,14,-1.04317,0.0238327,6.26833,0,0.00752522
0.5,1000,100.78,331.365,47.4322,1,1.53277
0.5,1001,51.9478,276.277,41.543,1,5.11629
0.5,1002,53.3965,105.635,57.9213,1,6.09407
0.5,1003,102.504,278.632,47.3607,1,4.11853
0.5,1004,37.2275,59.9708,54.7554,1,3.6253
0.5,1005,69.9973,128.719,40.8227,1,4.89143
0.5,1006,44.4044,388.362,41.077,1,3.81378
0.5,1007,74.3507,363.042,40.9939,1,3.49947
0.5,1008,45.1437,101.916,60.0016,1,6.07211
0.5,1009,46.3286,350.094,42.1442,1,2.90124
0.5,1010,91.3149,116.89,47.2541,1,3.003
0.5,1011,25.1592,126.434,59.829,1,4.56621
0.5,1012,15.3301,108.018,57.6669,1,1.99158
0.5,1013,19.4932,180.402,55.6258,1,5.33373
0.5,1014,40.5691,413.099,53.1328,1,4.66784
0.6,0,0,0,0,0,0
0.6,1,3.671,1.709,21.83,0,0
0.6,2,2.279,-0.377,8,0,0
0.6,3,3.698,-0.499,8.2,0,0
0.6,4,1.197,0.233,3.63,0,0
0.6,5,6.969,-0.677,17.66,0,0
0.6,6,5.799,0.499,10.58,0,0
0.6,7,6.952,0.033,6.37,0,0
0.6,8,7.954,0.078,9.91,0,0
0.6,9,-1.037,0.977,6.61,0,0
0.6,10,-0.035,1.01,10.09,0,0
0.6,11,3.573,3.585,34.74,0,0
0.6,12,1.906,1.065,6.28,0,0
0.6,13,2.483,0.622,6.4,0,0
0.6,14,-1.0426,0.0241993,6.268,0,0.00752522
0.6,1000,100.897,331.46,47.4563,1,1.53277
0.6,1001,51.6557,275.858,41.5174,1,5.11629
0.6,1002,52.8966,105.287,57.9108,1,6.09407
0.6,1003,102.096,278.613,47.3068,1,4.11853
0.6,1004,36.9479,60.2013,54.7477,1,3.6253
0.6,1005,69.8656,128.25,40.7825,1,4.89143
0.6,1006,44.0459,388.234,41.1012,1,3.81378
0.6,1007,74.1172,362.782,40.9813,1,3.49947
0.6,1008,44.6536,101.558,60.0138,1,6.07211
0.6,1009,46.0641,350.21,42.1695,1,2.90124
0.6,1010,91.0333,116.992,47.2333,1,3.003
0.6,1011,24.755,126.226,59.8732,1,4.56621
0.6,1012,15.4587,108.17,57.6761,1,1.99158
0.6,1013,18.9683,180.496,55.6315,1,5.33373
