time,uav0_channel,uav0_power,uav0_rate,uav1_channel,uav1_power,uav1_rate,uav2_channel,uav2_power,uav2_rate,uav3_channel,uav3_power,uav3_rate,uav4_channel,uav4_power,uav4_rate,uav5_channel,uav5_power,uav5_rate,uav6_channel,uav6_power,uav6_rate,uav7_channel,uav7_power,uav7_rate,uav8_channel,uav8_power,uav8_rate,uav9_channel,uav9_power,uav9_rate,uav10_channel,uav10_power,uav10_rate,uav11_channel,uav11_power,uav11_rate,uav12_channel,uav12_power,uav12_rate,uav13_channel,uav13_power,uav13_rate,uav14_channel,uav14_power,uav14_rate
0.1,1,22,9,1,20.6718,9,2,22,9,0,22,9,0,22,9,2,20,9,1,21.8501,9,2,22,9,0,22,9,2,22,9,1,21.979,9,0,22,6,2,22,9,1,22,9,0,22,9
0.2,1,22,9,1,20.6718,9,2,22,9,0,22,9,0,22,9,2,20,9,1,21.8501,9,2,22,9,0,22,9,2,22,9,1,21.979,9,0,22,6,2,22,9,1,22,9,0,22,9
0.3,1,22,9,1,20.6718,9,2,22,9,0,22,9,0,22,9,2,20,9,1,21.8501,9,2,22,9,0,22,9,2,22,9,1,21.979,9,0,22,6,2,22,9,1,22,9,0,22,9
0.4,1,22,9,1,20.6718,9,2,22,9,0,22,9,0,22,9,2,20,9,1,21.8501,9,2,22,9,0,22,9,2,22,9,1,21.979,9,0,22,6,2,22,9,1,22,9,0,22,9
0.5,1,22,9,1,20.6718,9,2,22,9,0,22,9,0,22,9,2,20,9,1,21.8501,9,2,22,9,0,22,9,2,22,9,1,21.979,9,0,22,6,2,22,9,1,22,9,0,22,9
0.6,1,24,12,1,21.4002,12,2,24,12,0,24,12,0,24,12,2,20,12,1,23.5787,12,2,24,12,0,23.9233,12,2,24,12,1,23.8171,12,0,24,9,2,24,12,1,24,12,0,24,12
0.7,1,24,12,1,21.4002,12,2,24,12,0,24,12,0,24,12,2,20,12,1,23.5787,12,2,24,12,0,23.9233,12,2,24,12,1,23.8171,12,0,24,9,2,24,12,1,24,12,0,24,12
0.8,1,24,12,1,21.4002,12,2,24,12,0,24,12,0,24,12,2,20,12,1,23.5787,12,2,24,12,0,23.9233,12,2,24,12,1,23.8171,12,0,24,9,2,24,12,1,24,12,0,24,12
0.9,1,24,12,1,21.4002,12,2,24,12,0,24,12,0,24,12,2,20,12,1,23.5787,12,2,24,12,0,23.9233,12,2,24,12,1,23.8171,12,0,24,9,2,24,12,1,24,12,0,24,12
1,1,24,12,1,21.4002,12,2,24,12,0,24,12,0,24,12,2,20,12,1,23.5787,12,2,24,12,0,23.9233,12,2,24,12,1,23.8171,12,0,24,9,2,24,12,1,24,12,0,24,12
1.1,1,26,18,1,22.3664,18,2,26,18,0,25.9653,18,0,26,18,2,20.7352,18,1,25.1158,18,2,26,18,0,25.6102,18,2,26,18,1,25.4338,18,0,25.8298,12,2,26,18,1,26,18,0,26,18
1.2,1,26,18,1,22.3664,18,2,26,18,0,25.9653,18,0,26,18,2,20.7352,18,1,25.1158,18,2,26,18,0,25.6102,18,2,26,18,1,25.4338,18,0,25.8298,12,2,26,18,1,26,18,0,26,18
1.3,1,26,18,1,22.3664,18,2,26,18,0,25.9653,18,0,26,18,2,20.7352,18,1,25.1158,18,2,26,18,0,25.6102,18,2,26,18,1,25.4338,18,0,25.8298,12,2,26,18,1,26,18,0,26,18
1.4,1,26,18,1,22.3664,18,2,26,18,0,25.9653,18,0,26,18,2,20.7352,18,1,25.1158,18,2,26,18,0,25.6102,18,2,26,18,1,25.4338,18,0,25.8298,12,2,26,18,1,26,18,0,26,18
1.5,1,26,18,1,22.3664,18,2,26,18,0,25.9653,18,0,26,18,2,20.7352,18,1,25.1158,18,2,26,18,0,25.6102,18,2,26,18,1,25.4338,18,0,25.8298,12,2,26,18,1,26,18,0,26,18
1.6,1,28,24,1,23.8116,24,2,27.8828,24,0,27.811,24,0,28,24,2,22.1068,24,1,26.7434,24,2,28,24,0,27.279,24,2,28,24,1,27.0534,24,0,27.3055,18,2,28,24,1,28,24,0,28,24
1.7,1,28,24,1,23.8116,24,2,27.8828,24,0,27.811,24,0,28,24,2,22.1068,24,1,26.7434,24,2,28,24,0,27.279,24,2,28,24,1,27.0534,24,0,27.3055,18,2,28,24,1,28,24,0,28,24
