time,node_id,channel,tx_power,data_rate,neighbors,interference_dBm,worst_sinr_dB
0.1,0,1,22,9,14,-70.0102,5.37543
0.1,1,1,20.6718,9,14,-69.163,10.3282
0.1,2,2,22,9,14,-69.7375,8.20086
0.1,3,0,22,9,14,-69.6999,8.28552
0.1,4,0,22,9,14,-69.861,6.59383
0.1,5,2,20,9,14,-69.3382,10.6717
0.1,6,1,21.8501,9,14,-69.5107,9.14989
0.1,7,2,22,9,14,-69.6396,7.52899
0.1,8,0,22,9,14,-69.4991,8.86534
0.1,9,2,22,9,14,-69.795,7.59184
0.1,10,1,21.979,9,14,-69.6636,9.02101
0.1,11,0,22,6,14,-68.7004,6.68164
0.1,12,2,22,9,14,-69.7171,7.59349
0.1,13,1,22,9,14,-69.7226,7.63325
0.1,14,0,22,9,14,-69.8571,7.42718
0.2,0,1,22,9,14,-70.0003,5.36744
0.2,1,1,20.6718,9,14,-69.1544,10.3184
0.2,2,2,22,9,14,-69.7283,8.19286
0.2,3,0,22,9,14,-69.691,8.27752
0.2,4,0,22,9,14,-69.8514,6.58584
0.2,5,2,20,9,14,-69.3305,10.6637
0.2,6,1,21.8501,9,14,-69.5021,9.14189
0.2,7,2,22,9,14,-69.6311,7.52099
0.2,8,0,22,9,14,-69.491,8.85735
0.2,9,2,22,9,14,-69.785,7.58384
0.2,10,1,21.979,9,14,-69.6538,9.01302
0.2,11,0,22,6,14,-68.6924,6.67185
0.2,12,2,22,9,14,-69.7076,7.5855
0.2,13,1,22,9,14,-69.7133,7.62526
0.2,14,0,22,9,14,-69.8472,7.41912
0.3,0,1,22,9,14,-69.9905,5.35946
0.3,1,1,20.6718,9,14,-69.1459,10.3086
0.3,2,2,22,9,14,-69.7191,8.18489
0.3,3,0,22,9,14,-69.682,8.26955
0.3,4,0,22,9,14,-69.8418,6.57786
0.3,5,2,20,9,14,-69.3229,10.6558
0.3,6,1,21.8501,9,14,-69.4936,9.13392
0.3,7,2,22,9,14,-69.6226,7.51302
0.3,8,0,22,9,14,-69.4829,8.84937
0.3,9,2,22,9,14,-69.775,7.57587
0.3,10,1,21.979,9,14,-69.644,9.00504
0.3,11,0,22,6,14,-68.6844,6.66205
0.3,12,2,22,9,14,-69.698,7.57752
0.3,13,1,22,9,14,-69.7039,7.61728
0.3,14,0,22,9,14,-69.8373,7.41107
0.4,0,1,22,9,14,-69.9807,5.3515
0.4,1,1,20.6718,9,14,-69.1374,10.2988
0.4,2,2,22,9,14,-69.7098,8.17693
0.4,3,0,22,9,14,-69.6731,8.26159
0.4,4,0,22,9,14,-69.8322,6.5699
0.4,5,2,20,9,14,-69.3152,10.6478
0.4,6,1,21.8501,9,14,-69.485,9.12595
