FlowId,Src,Dest,Tx,Rx,LossRate
1,14,0,2620,2620,0%
2,14,6,2620,2620,0%
3,13,14,2620,2620,0%
4,13,5,2620,2620,0%
5,12,13,2620,2620,0%
6,12,4,2620,2620,0%
7,11,12,2620,2620,0%
8,11,3,2620,2620,0%
9,10,11,2620,2620,0%
10,10,2,2620,2620,0%
11,9,10,2620,2620,0%
12,9,1,2620,2620,0%
13,8,9,2620,2620,0%
14,8,0,2620,2620,0%
15,7,8,2620,2620,0%
16,7,14,2620,2620,0%
17,6,7,2620,2620,0%
18,6,13,2620,2620,0%
19,5,6,2620,2620,0%
20,5,12,2620,2620,0%
21,4,5,2620,2620,0%
22,4,11,2620,2620,0%
23,3,4,2620,2620,0%
24,3,10,2620,2620,0%
25,2,3,2620,2620,0%
26,2,9,2620,2620,0%
27,1,2,2620,2620,0%
28,1,8,2620,2620,0%
29,0,1,2620,2620,0%
30,0,7,2620,2620,0%
