time,nodeId,x,y,z,node_type,speed
0.1,0,-0.0005996,0,-0.00166556,0,0.017702
0.1,1,0.966,0.022,-0.08,0,0
0.1,2,1.986,0.011,0.25,0,0
0.1,3,2.988,0.033,0.13,0,0
0.1,4,-2.633,3.008,-0.53,0,0
0.1,5,1.339,2.286,2.66,0,0
0.1,6,1.436,1.82,-0.75,0,0
0.1,7,4.105,0.488,2.23,0,0
0.1,8,7.971,0.133,0.03,0,0
0.1,9,5.551,1.809,-0.98,0,0
0.1,10,0.763,1.276,1.12,0,0
0.1,11,-4.504,3.718,-0.02,0,0
0.1,12,1.525,1.654,0.74,0,0
0.1,13,-2.279,1.376,-0.52,0,0
0.1,14,3.44,3.085,1.38,0,0
0.2,0,-0.0011992,0,-0.00333111,0,0.017702
0.2,1,0.966,0.022,-0.08,0,0
0.2,2,1.986,0.011,0.25,0,0
0.2,3,2.988,0.033,0.13,0,0
0.2,4,-2.633,3.008,-0.53,0,0
0.2,5,1.339,2.286,2.66,0,0
0.2,6,1.436,1.82,-0.75,0,0
0.2,7,4.105,0.488,2.23,0,0
0.2,8,7.971,0.133,0.03,0,0
0.2,9,5.551,1.809,-0.98,0,0
0.2,10,0.763,1.276,1.12,0,0
0.2,11,-4.504,3.718,-0.02,0,0
0.2,12,1.525,1.654,0.74,0,0
0.2,13,-2.279,1.376,-0.52,0,0
0.2,14,3.44,3.085,1.38,0,0
0.3,0,-0.0017988,0,-0.00499667,0,0.017702
0.3,1,0.966,0.022,-0.08,0,0
0.3,2,1.986,0.011,0.25,0,0
0.3,3,2.988,0.033,0.13,0,0
0.3,4,-2.633,3.008,-0.53,0,0
0.3,5,1.339,2.286,2.66,0,0
0.3,6,1.436,1.82,-0.75,0,0
0.3,7,4.105,0.488,2.23,0,0
0.3,8,7.971,0.133,0.03,0,0
0.3,9,5.551,1.809,-0.98,0,0
0.3,10,0.763,1.276,1.12,0,0
0.3,11,-4.504,3.718,-0.02,0,0
0.3,12,1.525,1.654,0.74,0,0
0.3,13,-2.279,1.376,-0.52,0,0
0.3,14,3.44,3.085,1.38,0,0
0.4,0,-0.0023984,0,-0.00666223,0,0.017702
0.4,1,0.966,0.022,-0.08,0,0
0.4,2,1.986,0.011,0.25,0,0
0.4,3,2.988,0.033,0.13,0,0
0.4,4,-2.633,3.008,-0.53,0,0
0.4,5,1.339,2.286,2.66,0,0
0.4,6,1.436,1.82,-0.75,0,0
0.4,7,4.105,0.488,2.23,0,0
0.4,8,7.971,0.133,0.03,0,0
0.4,9,5.551,1.809,-0.98,0,0
0.4,10,0.763,1.276,1.12,0,0
0.4,11,-4.504,3.718,-0.02,0,0
0.4,12,1.525,1.654,0.74,0,0
0.4,13,-2.279,1.376,-0.52,0,0
0.4,14,3.44,3.085,1.38,0,0
0.5,0,-0.002998,0,-0.00832778,0,0.017702
0.5,1,0.966,0.022,-0.08,0,0
0.5,2,1.986,0.011,0.25,0,0
0.5,3,2.988,0.033,0.13,0,0
0.5,4,-2.633,3.008,-0.53,0,0
0.5,5,1.339,2.286,2.66,0,0
0.5,6,1.436,1.82,-0.75,0,0
0.5,7,4.105,0.488,2.23,0,0
0.5,8,7.971,0.133,0.03,0,0
0.5,9,5.551,1.809,-0.98,0,0
0.5,10,0.763,1.276,1.12,0,0
0.5,11,-4.504,3.718,-0.02,0,0
0.5,12,1.525,1.654,0.74,0,0
0.5,13,-2.279,1.376,-0.52,0,0
0.5,14,3.44,3.085,1.38,0,0
0.6,0,-0.0035976,0,-0.00999334,0,0.017702
0.6,1,0.966,0.022,-0.08,0,0
0.6,2,1.986,0.011,0.25,0,0
0.6,3,2.988,0.033,0.13,0,0
0.6,4,-2.633,3.008,-0.53,0,0
0.6,5,1.339,2.286,2.66,0,0
0.6,6,1.436,1.82,-0.75,0,0
0.6,7,4.105,0.488,2.23,0,0
0.6,8,7.971,0.133,0.03,0,0
0.6,9,5.551,1.809,-0.98,0,0
0.6,10,0.763,1.276,1.12,0,0
0.6,11,-4.504,3.718,-0.02,0,0
0.6,12,1.525,1.654,0.74,0,0
0.6,13,-2.279,1.376,-0.52,0,0
0.6,14,3.44,3.085,1.38,0,0
0.7,0,-0.0041972,0,-0.0116589,0,0.017702
0.7,1,0.966,0.022,-0.08,0,0
0.7,2,1.986,0.011,0.25,0,0
0.7,3,2.988,0.033,0.13,0,0
0.7,4,-2.633,3.008,-0.53,0,0
0.7,5,1.339,2.286,2.66,0,0
0.7,6,1.436,1.82,-0.75,0,0
0.7,7,4.105,0.488,2.23,0,0
0.7,8,7.971,0.133,0.03,0,0
0.7,9,5.551,1.809,-0.98,0,0
0.7,10,0.763,1.276,1.12,0,0
0.7,11,-4.504,3.718,-0.02,0,0
0.7,12,1.525,1.654,0.74,0,0
0.7,13,-2.279,1.376,-0.52,0,0
0.7,14,3.44,3.085,1.38,0,0
0.8,0,-0.0047968,0,-0.0133245,0,0.017702
0.8,1,0.966,0.022,-0.08,0,0
0.8,2,1.986,0.011,0.25,0,0
0.8,3,2.988,0.033,0.13,0,0
0.8,4,-2.633,3.008,-0.53,0,0
0.8,5,1.339,2.286,2.66,0,0
0.8,6,1.436,1.82,-0.75,0,0
0.8,7,4.105,0.488,2.23,0,0
0.8,8,7.971,0.133,0.03,0,0
0.8,9,5.551,1.809,-0.98,0,0
0.8,10,0.763,1.276,1.12,0,0
0.8,11,-4.504,3.718,-0.02,0,0
0.8,12,1.525,1.654,0.74,0,0
0.8,13,-2.279,1.376,-0.52,0,0
0.8,14,3.44,3.085,1.38,0,0
0.9,0,-0.0053964,0,-0.01499,0,0.017702
0.9,1,0.966,0.022,-0.08,0,0
0.9,2,1.986,0.011,0.25,0,0
0.9,3,2.988,0.033,0.13,0,0
0.9,4,-2.633,3.008,-0.53,0,0
0.9,5,1.339,2.286,2.66,0,0
0.9,6,1.436,1.82,-0.75,0,0
0.9,7,4.105,0.488,2.23,0,0
0.9,8,7.971,0.133,0.03,0,0
0.9,9,5.551,1.809,-0.98,0,0
0.9,10,0.763,1.276,1.12,0,0
0.9,11,-4.504,3.718,-0.02,0,0
0.9,12,1.525,1.654,0.74,0,0
0.9,13,-2.279,1.376,-0.52,0,0
0.9,14,3.44,3.085,1.38,0,0
1,0,-0.005996,0,-0.0166556,0,0.017702
1,1,0.966,0.022,-0.08,0,0
1,2,1.986,0.011,0.25,0,0
1,3,2.988,0.033,0.13,0,0
1,4,-2.633,3.008,-0.53,0,0
1,5,1.339,2.286,2.66,0,0
1,6,1.436,1.82,-0.75,0,0
1,7,4.105,0.488,2.23,0,0
1,8,7.971,0.133,0.03,0,0
1,9,5.551,1.809,-0.98,0,0
1,10,0.763,1.276,1.12,0,0
1,11,-4.504,3.718,-0.02,0,0
1,12,1.525,1.654,0.74,0,0
1,13,-2.279,1.376,-0.52,0,0
1,14,3.44,3.085,1.38,0,0
1.1,0,-0.0065956,0,-0.0183211,0,0.017702
1.1,1,0.966,0.022,-0.08,0,0
1.1,2,1.986,0.011,0.25,0,0
1.1,3,2.988,0.033,0.13,0,0
1.1,4,-2.633,3.008,-0.53,0,0
1.1,5,1.339,2.286,2.66,0,0
1.1,6,1.436,1.82,-0.75,0,0
1.1,7,4.105,0.488,2.23,0,0
1.1,8,7.971,0.133,0.03,0,0
1.1,9,5.551,1.809,-0.98,0,0
1.1,10,0.763,1.276,1.12,0,0
1.1,11,-4.504,3.718,-0.02,0,0
1.1,12,1.525,1.654,0.74,0,0
1.1,13,-2.279,1.376,-0.52,0,0
1.1,14,3.44,3.085,1.38,0,0
1.2,0,-0.0071952,0,-0.0199867,0,0.017702
1.2,1,0.966,0.022,-0.08,0,0
1.2,2,1.986,0.011,0.25,0,0
1.2,3,2.988,0.033,0.13,0,0
1.2,4,-2.633,3.008,-0.53,0,0
1.2,5,1.339,2.286,2.66,0,0
1.2,6,1.436,1.82,-0.75,0,0
1.2,7,4.105,0.488,2.23,0,0
1.2,8,7.971,0.133,0.03,0,0
1.2,9,5.551,1.809,-0.98,0,0
1.2,10,0.763,1.276,1.12,0,0
1.2,11,-4.504,3.718,-0.02,0,0
1.2,12,1.525,1.654,0.74,0,0
1.2,13,-2.279,1.376,-0.52,0,0
1.2,14,3.44,3.085,1.38,0,0
1.3,0,-0.0077948,0,-0.0216522,0,0.017702
1.3,1,0.966,0.022,-0.08,0,0
1.3,2,1.986,0.011,0.25,0,0
1.3,3,2.988,0.033,0.13,0,0
1.3,4,-2.633,3.008,-0.53,0,0
1.3,5,1.339,2.286,2.66,0,0
1.3,6,1.436,1.82,-0.75,0,0
1.3,7,4.105,0.488,2.23,0,0
1.3,8,7.971,0.133,0.03,0,0
1.3,9,5.551,1.809,-0.98,0,0
1.3,10,0.763,1.276,1.12,0,0
1.3,11,-4.504,3.718,-0.02,0,0
1.3,12,1.525,1.654,0.74,0,0
1.3,13,-2.279,1.376,-0.52,0,0
1.3,14,3.44,3.085,1.38,0,0
1.4,0,-0.0083944,0,-0.0233178,0,0.017702
1.4,1,0.966,0.022,-0.08,0,0
1.4,2,1.986,0.011,0.25,0,0
1.4,3,2.988,0.033,0.13,0,0
1.4,4,-2.633,3.008,-0.53,0,0
1.4,5,1.339,2.286,2.66,0,0
1.4,6,1.436,1.82,-0.75,0,0
1.4,7,4.105,0.488,2.23,0,0
1.4,8,7.971,0.133,0.03,0,0
1.4,9,5.551,1.809,-0.98,0,0
1.4,10,0.763,1.276,1.12,0,0
1.4,11,-4.504,3.718,-0.02,0,0
1.4,12,1.525,1.654,0.74,0,0
1.4,13,-2.279,1.376,-0.52,0,0
1.4,14,3.44,3.085,1.38,0,0
1.5,0,-0.008994,0,-0.0249833,0,0.017702
1.5,1,0.966,0.022,-0.08,0,0
1.5,2,1.986,0.011,0.25,0,0
1.5,3,2.988,0.033,0.13,0,0
1.5,4,-2.633,3.008,-0.53,0,0
1.5,5,1.339,2.286,2.66,0,0
1.5,6,1.436,1.82,-0.75,0,0
1.5,7,4.105,0.488,2.23,0,0
1.5,8,7.971,0.133,0.03,0,0
1.5,9,5.551,1.809,-0.98,0,0
1.5,10,0.763,1.276,1.12,0,0
1.5,11,-4.504,3.718,-0.02,0,0
1.5,12,1.525,1.654,0.74,0,0
1.5,13,-2.279,1.376,-0.52,0,0
1.5,14,3.44,3.085,1.38,0,0
1.6,0,-0.0095936,0,-0.0266489,0,0.017702
1.6,1,0.966,0.022,-0.08,0,0
1.6,2,1.986,0.011,0.25,0,0
1.6,3,2.988,0.033,0.13,0,0
1.6,4,-2.633,3.008,-0.53,0,0
1.6,5,1.339,2.286,2.66,0,0
1.6,6,1.436,1.82,-0.75,0,0
1.6,7,4.105,0.488,2.23,0,0
1.6,8,7.971,0.133,0.03,0,0
1.6,9,5.551,1.809,-0.98,0,0
1.6,10,0.763,1.276,1.12,0,0
1.6,11,-4.504,3.718,-0.02,0,0
1.6,12,1.525,1.654,0.74,0,0
1.6,13,-2.279,1.376,-0.52,0,0
1.6,14,3.44,3.085,1.38,0,0
1.7,0,-0.0101932,0,-0.0283145,0,0.017702
1.7,1,0.966,0.022,-0.08,0,0
1.7,2,1.986,0.011,0.25,0,0
1.7,3,2.988,0.033,0.13,0,0
1.7,4,-2.633,3.008,-0.53,0,0
1.7,5,1.339,2.286,2.66,0,0
1.7,6,1.436,1.82,-0.75,0,0
1.7,7,4.105,0.488,2.23,0,0
1.7,8,7.971,0.133,0.03,0,0
1.7,9,5.551,1.809,-0.98,0,0
1.7,10,0.763,1.276,1.12,0,0
1.7,11,-4.504,3.718,-0.02,0,0
1.7,12,1.525,1.654,0.74,0,0
1.7,13,-2.279,1.376,-0.52,0,0
1.7,14,3.44,3.085,1.38,0,0
1.8,0,-0.0107928,0,-0.02998,0,0.017702
1.8,1,0.966,0.022,-0.08,0,0
1.8,2,1.986,0.011,0.25,0,0
1.8,3,2.988,0.033,0.13,0,0
1.8,4,-2.633,3.008,-0.53,0,0
1.8,5,1.339,2.286,2.66,0,0
1.8,6,1.436,1.82,-0.75,0,0
1.8,7,4.105,0.488,2.23,0,0
1.8,8,7.971,0.133,0.03,0,0
1.8,9,5.551,1.809,-0.98,0,0
1.8,10,0.763,1.276,1.12,0,0
1.8,11,-4.504,3.718,-0.02,0,0
1.8,12,1.525,1.654,0.74,0,0
1.8,13,-2.279,1.376,-0.52,0,0
1.8,14,3.44,3.085,1.38,0,0
1.9,0,-0.0113924,0,-0.0316456,0,0.017702
1.9,1,0.966,0.022,-0.08,0,0
1.9,2,1.986,0.011,0.25,0,0
1.9,3,2.988,0.033,0.13,0,0
1.9,4,-2.633,3.008,-0.53,0,0
1.9,5,1.339,2.286,2.66,0,0
1.9,6,1.436,1.82,-0.75,0,0
1.9,7,4.105,0.488,2.23,0,0
1.9,8,7.971,0.133,0.03,0,0
1.9,9,5.551,1.809,-0.98,0,0
1.9,10,0.763,1.276,1.12,0,0
1.9,11,-4.504,3.718,-0.02,0,0
1.9,12,1.525,1.654,0.74,0,0
1.9,13,-2.279,1.376,-0.52,0,0
1.9,14,3.44,3.085,1.38,0,0
2,0,-0.011992,0,-0.0333111,0,0.017702
2,1,0.966,0.022,-0.08,0,0
2,2,1.986,0.011,0.25,0,0
2,3,2.988,0.033,0.13,0,0
2,4,-2.633,3.008,-0.53,0,0
2,5,1.339,2.286,2.66,0,0
2,6,1.436,1.82,-0.75,0,0
2,7,4.105,0.488,2.23,0,0
2,8,7.971,0.133,0.03,0,0
2,9,5.551,1.809,-0.98,0,0
2,10,0.763,1.276,1.12,0,0
2,11,-4.504,3.718,-0.02,0,0
2,12,1.525,1.654,0.74,0,0
2,13,-2.279,1.376,-0.52,0,0
2,14,3.44,3.085,1.38,0,0
2.1,0,-0.0125916,0,-0.0349767,0,0.017702
2.1,1,0.966,0.022,-0.08,0,0
2.1,2,1.986,0.011,0.25,0,0
2.1,3,2.988,0.033,0.13,0,0
2.1,4,-2.633,3.008,-0.53,0,0
2.1,5,1.339,2.286,2.66,0,0
2.1,6,1.436,1.82,-0.75,0,0
2.1,7,4.105,0.488,2.23,0,0
2.1,8,7.971,0.133,0.03,0,0
2.1,9,5.551,1.809,-0.98,0,0
2.1,10,0.763,1.276,1.12,0,0
2.1,11,-4.504,3.718,-0.02,0,0
2.1,12,1.525,1.654,0.74,0,0
2.1,13,-2.279,1.376,-0.52,0,0
2.1,14,3.44,3.085,1.38,0,0
2.2,0,-0.0131912,0,-0.0366422,0,0.017702
2.2,1,0.966,0.022,-0.08,0,0
2.2,2,1.986,0.011,0.25,0,0
2.2,3,2.988,0.033,0.13,0,0
2.2,4,-2.633,3.008,-0.53,0,0
2.2,5,1.339,2.286,2.66,0,0
2.2,6,1.436,1.82,-0.75,0,0
2.2,7,4.105,0.488,2.23,0,0
2.2,8,7.971,0.133,0.03,0,0
2.2,9,5.551,1.809,-0.98,0,0
2.2,10,0.763,1.276,1.12,0,0
2.2,11,-4.504,3.718,-0.02,0,0
2.2,12,1.525,1.654,0.74,0,0
2.2,13,-2.279,1.376,-0.52,0,0
2.2,14,3.44,3.085,1.38,0,0
2.3,0,-0.0137908,0,-0.0383078,0,0.017702
2.3,1,0.966,0.022,-0.08,0,0
2.3,2,1.986,0.011,0.25,0,0
2.3,3,2.988,0.033,0.13,0,0
2.3,4,-2.633,3.008,-0.53,0,0
2.3,5,1.339,2.286,2.66,0,0
2.3,6,1.436,1.82,-0.75,0,0
2.3,7,4.105,0.488,2.23,0,0
2.3,8,7.971,0.133,0.03,0,0
2.3,9,5.551,1.809,-0.98,0,0
2.3,10,0.763,1.276,1.12,0,0
2.3,11,-4.504,3.718,-0.02,0,0
2.3,12,1.525,1.654,0.74,0,0
2.3,13,-2.279,1.376,-0.52,0,0
2.3,14,3.44,3.085,1.38,0,0
2.4,0,-0.0143904,0,-0.0399734,0,0.017702
2.4,1,0.966,0.022,-0.08,0,0
2.4,2,1.986,0.011,0.25,0,0
2.4,3,2.988,0.033,0.13,0,0
2.4,4,-2.633,3.008,-0.53,0,0
2.4,5,1.339,2.286,2.66,0,0
2.4,6,1.436,1.82,-0.75,0,0
2.4,7,4.105,0.488,2.23,0,0
2.4,8,7.971,0.133,0.03,0,0
2.4,9,5.551,1.809,-0.98,0,0
2.4,10,0.763,1.276,1.12,0,0
2.4,11,-4.504,3.718,-0.02,0,0
2.4,12,1.525,1.654,0.74,0,0
2.4,13,-2.279,1.376,-0.52,0,0
2.4,14,3.44,3.085,1.38,0,0
2.5,0,-0.01499,0,-0.0416389,0,0.017702
2.5,1,0.966,0.022,-0.08,0,0
2.5,2,1.986,0.011,0.25,0,0
2.5,3,2.988,0.033,0.13,0,0
2.5,4,-2.633,3.008,-0.53,0,0
2.5,5,1.339,2.286,2.66,0,0
2.5,6,1.436,1.82,-0.75,0,0
2.5,7,4.105,0.488,2.23,0,0
2.5,8,7.971,0.133,0.03,0,0
2.5,9,5.551,1.809,-0.98,0,0
2.5,10,0.763,1.276,1.12,0,0
2.5,11,-4.504,3.718,-0.02,0,0
2.5,12,1.525,1.654,0.74,0,0
2.5,13,-2.279,1.376,-0.52,0,0
2.5,14,3.44,3.085,1.38,0,0
2.6,0,-0.0155896,0,-0.0433045,0,0.017702
2.6,1,0.966,0.022,-0.08,0,0
2.6,2,1.986,0.011,0.25,0,0
2.6,3,2.988,0.033,0.13,0,0
2.6,4,-2.633,3.008,-0.53,0,0
2.6,5,1.339,2.286,2.66,0,0
2.6,6,1.436,1.82,-0.75,0,0
2.6,7,4.105,0.488,2.23,0,0
2.6,8,7.971,0.133,0.03,0,0
2.6,9,5.551,1.809,-0.98,0,0
2.6,10,0.763,1.276,1.12,0,0
2.6,11,-4.504,3.718,-0.02,0,0
2.6,12,1.525,1.654,0.74,0,0
2.6,13,-2.279,1.376,-0.52,0,0
2.6,14,3.44,3.085,1.38,0,0
2.7,0,-0.0161892,0,-0.04497,0,0.017702
2.7,1,0.966,0.022,-0.08,0,0
2.7,2,1.986,0.011,0.25,0,0
