time,uav0_channel,uav0_power,uav0_rate,uav1_channel,uav1_power,uav1_rate,uav2_channel,uav2_power,uav2_rate,uav3_channel,uav3_power,uav3_rate,uav4_channel,uav4_power,uav4_rate,uav5_channel,uav5_power,uav5_rate,uav6_channel,uav6_power,uav6_rate,uav7_channel,uav7_power,uav7_rate,uav8_channel,uav8_power,uav8_rate,uav9_channel,uav9_power,uav9_rate,uav10_channel,uav10_power,uav10_rate,uav11_channel,uav11_power,uav11_rate,uav12_channel,uav12_power,uav12_rate,uav13_channel,uav13_power,uav13_rate,uav14_channel,uav14_power,uav14_rate
0.1,0,19,9,2,18.7558,9,0,19,9,1,19,9,2,20,9,0,18.9968,9,0,18.6354,9,2,20,9,2,20.6611,9,1,20,9,1,18.9582,9,0,20.6094,9,2,18.558,9,1,20,9,0,19,9
0.2,0,19,9,2,18.7558,9,0,19,9,1,19,9,2,20,9,0,18.9968,9,0,18.6354,9,2,20,9,2,20.6611,9,1,20,9,1,18.9582,9,0,20.6094,9,2,18.558,9,1,20,9,0,19,9
0.3,0,19,9,2,18.7558,9,0,19,9,1,19,9,2,20,9,0,18.9968,9,0,18.6354,9,2,20,9,2,20.6611,9,1,20,9,1,18.9582,9,0,20.6094,9,2,18.558,9,1,20,9,0,19,9
0.4,0,19,9,2,18.7558,9,0,19,9,1,19,9,2,20,9,0,18.9968,9,0,18.6354,9,2,20,9,2,20.6611,9,1,20,9,1,18.9582,9,0,20.6094,9,2,18.558,9,1,20,9,0,19,9
0.5,0,19,9,2,18.7558,9,0,19,9,1,19,9,2,20,9,0,18.9968,9,0,18.6354,9,2,20,9,2,20.6611,9,1,20,9,1,18.9582,9,0,20.6094,9,2,18.558,9,1,20,9,0,19,9
0.6,0,18,12,2,17.7141,12,0,18,12,1,19,12,2,20,12,0,17.9968,12,0,17.4841,12,2,20,12,2,21.3776,12,1,20,12,1,17.9582,12,0,21.2782,12,2,17.3362,12,1,20,12,0,19,12
0.7,0,18,12,2,17.7141,12,0,18,12,1,19,12,2,20,12,0,17.9968,12,0,17.4841,12,2,20,12,2,21.3776,12,1,20,12,1,17.9582,12,0,21.2782,12,2,17.3362,12,1,20,12,0,19,12
0.8,0,18,12,2,17.7141,12,0,18,12,1,19,12,2,20,12,0,17.9968,12,0,17.4841,12,2,20,12,2,21.3776,12,1,20,12,1,17.9582,12,0,21.2782,12,2,17.3362,12,1,20,12,0,19,12
0.9,0,18,12,2,17.7141,12,0,18,12,1,19,12,2,20,12,0,17.9968,12,0,17.4841,12,2,20,12,2,21.3776,12,1,20,12,1,17.9582,12,0,21.2782,12,2,17.3362,12,1,20,12,0,19,12
1,0,18,12,2,17.7141,12,0,18,12,1,19,12,2,20,12,0,17.9968,12,0,17.4841,12,2,20,12,2,21.3776,12,1,20,12,1,17.9582,12,0,21.2782,12,2,17.3362,12,1,20,12,0,19,12
1.1,0,18,18,2,17.7141,18,0,18,18,1,19,18,2,20,18,0,17.9968,18,0,17.4841,18,2,20,18,2,22.33,18,1,20,18,1,17.9582,18,0,22.1891,18,2,17.3362,18,1,20,18,0,19,18
1.2,0,18,18,2,17.7141,18,0,18,18,1,19,18,2,20,18,0,17.9968,18,0,17.4841,18,2,20,18,2,22.33,18,1,20,18,1,17.9582,18,0,22.1891,18,2,17.3362,18,1,20,18,0,19,18
1.3,0,18,18,2,17.7141,18,0,18,18,1,19,18,2,20,18,0,17.9968,18,0,17.4841,18,2,20,18,2,22.33,18,1,20,18,1,17.9582,18,0,22.1891,18,2,17.3362,18,1,20,18,0,19,18
1.4,0,18,18,2,17.7141,18,0,18,18,1,19,18,2,20,18,0,17.9968,18,0,17.4841,18,2,20,18,2,22.33,18,1,20,18,1,17.9582,18,0,22.1891,18,2,17.3362,18,1,20,18,0,19,18
1.5,0,18,18,2,17.7141,18,0,18,18,1,19,18,2,20,18,0,17.9968,18,0,17.4841,18,2,20,18,2,22.33,18,1,20,18,1,17.9582,18,0,22.1891,18,2,17.3362,18,1,20,18,0,19,18
1.6,2,18,24,1,17.7141,24,0,18,24,2,19,24,2,20.8247,24,0,17.9968,24,0,17.4841,24,1,20,24,2,23.4855,24,1,20,24,1,17.9582,24,0,23.3096,24,2,17.3362,24,1,20,24,0,19,24
