time,node_id,channel,tx_power,data_rate,neighbors,interference_dBm,worst_sinr_dB
0.1,0,0,19,9,14,-70.0163,15.1311
0.1,1,2,18.7558,9,14,-70,16.5698
0.1,2,0,19,9,14,-69.9591,15.8608
0.1,3,1,19,9,14,-69.9472,14.4246
0.1,4,2,20,9,14,-69.8241,11.9363
0.1,5,0,18.9968,9,14,-69.5788,16.0076
0.1,6,0,18.6354,9,14,-69.8637,16.8507
0.1,7,2,20,9,14,-69.7383,13.7907
0.1,8,2,20.6611,9,14,-69.8727,10.3389
0.1,9,1,20,9,14,-69.8111,12.7169
0.1,10,1,18.9582,9,14,-69.7995,16.0976
0.1,11,0,20.6094,9,14,-69.7691,10.3906
0.1,12,2,18.558,9,14,-69.7734,17.0313
0.1,13,1,20,9,14,-69.9703,12.7441
0.1,14,0,19,9,14,-69.5493,14.8357
0.2,0,0,19,9,14,-70.0125,15.1292
0.2,1,2,18.7558,9,14,-69.9964,16.5689
0.2,2,0,19,9,14,-69.956,15.8548
0.2,3,1,19,9,14,-69.9445,14.4186
0.2,4,2,20,9,14,-69.8188,11.9354
0.2,5,0,18.9968,9,14,-69.5758,16.0067
0.2,6,0,18.6354,9,14,-69.86,16.8498
0.2,7,2,20,9,14,-69.7365,13.7847
0.2,8,2,20.6611,9,14,-69.8718,10.3329
0.2,9,1,20,9,14,-69.809,12.7109
0.2,10,1,18.9582,9,14,-69.796,16.0967
0.2,11,0,20.6094,9,14,-69.763,10.3897
0.2,12,2,18.558,9,14,-69.7701,17.0304
0.2,13,1,20,9,14,-69.9653,12.7432
0.2,14,0,19,9,14,-69.5469,14.8296
0.3,0,0,19,9,14,-70.0087,15.1273
0.3,1,2,18.7558,9,14,-69.9928,16.5679
0.3,2,0,19,9,14,-69.9529,15.8488
0.3,3,1,19,9,14,-69.9417,14.4125
0.3,4,2,20,9,14,-69.8134,11.9345
0.3,5,0,18.9968,9,14,-69.5728,16.0057
0.3,6,0,18.6354,9,14,-69.8563,16.8489
0.3,7,2,20,9,14,-69.7346,13.7786
0.3,8,2,20.6611,9,14,-69.8709,10.3268
0.3,9,1,20,9,14,-69.8068,12.7048
0.3,10,1,18.9582,9,14,-69.7925,16.0958
0.3,11,0,20.6094,9,14,-69.757,10.3887
0.3,12,2,18.558,9,14,-69.7668,17.0295
0.3,13,1,20,9,14,-69.9603,12.7423
0.3,14,0,19,9,14,-69.5443,14.8236
0.4,0,0,19,9,14,-70.0049,15.1253
0.4,1,2,18.7558,9,14,-69.9892,16.5669
0.4,2,0,19,9,14,-69.9497,15.8427
0.4,3,1,19,9,14,-69.9389,14.4065
0.4,4,2,20,9,14,-69.8081,11.9335
0.4,5,0,18.9968,9,14,-69.5697,16.0047
0.4,6,0,18.6354,9,14,-69.8526,16.8479
0.4,7,2,20,9,14,-69.7327,13.7726
0.4,8,2,20.6611,9,14,-69.8699,10.3208
0.4,9,1,20,9,14,-69.8046,12.6987
0.4,10,1,18.9582,9,14,-69.789,16.0948
0.4,11,0,20.6094,9,14,-69.7509,10.3878
0.4,12,2,18.558,9,14,-69.7635,17.0285
0.4,13,1,20,9,14,-69.9553,12.7413
0.4,14,0,19,9,14,-69.5418,14.8175
0.5,0,0,19,9,14,-70.001,15.1233
0.5,1,2,18.7558,9,14,-69.9856,16.5659
0.5,2,0,19,9,14,-69.9465,15.8366
0.5,3,1,19,9,14,-69.936,14.4004
0.5,4,2,20,9,14,-69.8027,11.9325
0.5,5,0,18.9968,9,14,-69.5666,16.0037
0.5,6,0,18.6354,9,14,-69.8488,16.8469
0.5,7,2,20,9,14,-69.7307,13.7665
0.5,8,2,20.6611,9,14,-69.8688,10.3147
0.5,9,1,20,9,14,-69.8023,12.6926
0.5,10,1,18.9582,9,14,-69.7854,16.0937
0.5,11,0,20.6094,9,14,-69.7448,10.3867
0.5,12,2,18.558,9,14,-69.76,17.0274
0.5,13,1,20,9,14,-69.9502,12.7403
0.5,14,0,19,9,14,-69.5392,14.8114
0.6,0,0,18,12,14,-69.9971,14.1212
0.6,1,2,17.7141,12,14,-69.9819,15.523
0.6,2,0,18,12,14,-69.9433,14.8305
0.6,3,1,19,12,14,-69.9331,14.3942
0.6,4,2,20,12,14,-69.7973,11.9314
0.6,5,0,17.9968,12,14,-69.5635,15.0026
0.6,6,0,17.4841,12,14,-69.845,15.6944
0.6,7,2,20,12,14,-69.7287,13.7603
0.6,8,2,21.3776,12,14,-69.8677,11.025
0.6,9,1,20,12,14,-69.8,12.6865
0.6,10,1,17.9582,12,14,-69.7817,15.0927
0.6,11,0,21.2782,12,14,-69.7386,11.0544
0.6,12,2,17.3362,12,14,-69.7566,15.8046
0.6,13,1,20,12,14,-69.9451,12.7392
0.6,14,0,19,12,14,-69.5365,14.8053
0.7,0,0,18,12,14,-69.9931,14.1191
0.7,1,2,17.7141,12,14,-69.9781,15.5219
0.7,2,0,18,12,14,-69.94,14.8243
0.7,3,1,19,12,14,-69.9301,14.3881
0.7,4,2,20,12,14,-69.7918,11.9302
0.7,5,0,17.9968,12,14,-69.5603,15.0015
0.7,6,0,17.4841,12,14,-69.8412,15.6933
0.7,7,2,20,12,14,-69.7266,13.7542
0.7,8,2,21.3776,12,14,-69.8666,11.0188
0.7,9,1,20,12,14,-69.7977,12.6803
0.7,10,1,17.9582,12,14,-69.7781,15.0915
0.7,11,0,21.2782,12,14,-69.7324,11.0532
0.7,12,2,17.3362,12,14,-69.7531,15.8034
0.7,13,1,20,12,14,-69.94,12.738
0.7,14,0,19,12,14,-69.5338,14.7991
0.8,0,0,18,12,14,-69.9891,14.1169
0.8,1,2,17.7141,12,14,-69.9743,15.5207
0.8,2,0,18,12,14,-69.9366,14.8181
0.8,3,1,19,12,14,-69.9271,14.3819
0.8,4,2,20,12,14,-69.7863,11.929
0.8,5,0,17.9968,12,14,-69.557,15.0003
0.8,6,0,17.4841,12,14,-69.8373,15.6921
0.8,7,2,20,12,14,-69.7244,13.748
0.8,8,2,21.3776,12,14,-69.8654,11.0126
0.8,9,1,20,12,14,-69.7953,12.6741
0.8,10,1,17.9582,12,14,-69.7744,15.0903
0.8,11,0,21.2782,12,14,-69.7262,11.052
0.8,12,2,17.3362,12,14,-69.7496,15.8022
0.8,13,1,20,12,14,-69.9348,12.7368
0.8,14,0,19,12,14,-69.5311,14.7929
0.9,0,0,18,12,14,-69.985,14.1146
0.9,1,2,17.7141,12,14,-69.9705,15.5194
0.9,2,0,18,12,14,-69.9332,14.8119
0.9,3,1,19,12,14,-69.9241,14.3756
0.9,4,2,20,12,14,-69.7808,11.9278
0.9,5,0,17.9968,12,14,-69.5538,14.999
0.9,6,0,17.4841,12,14,-69.8334,15.6908
0.9,7,2,20,12,14,-69.7223,13.7417
0.9,8,2,21.3776,12,14,-69.8641,11.0064
0.9,9,1,20,12,14,-69.7928,12.6679
0.9,10,1,17.9582,12,14,-69.7706,15.089
0.9,11,0,21.2782,12,14,-69.72,11.0508
0.9,12,2,17.3362,12,14,-69.746,15.801
0.9,13,1,20,12,14,-69.9296,12.7356
