time,uav0_channel,uav0_power,uav0_rate,uav1_channel,uav1_power,uav1_rate,uav2_channel,uav2_power,uav2_rate,uav3_channel,uav3_power,uav3_rate,uav4_channel,uav4_power,uav4_rate,uav5_channel,uav5_power,uav5_rate,uav6_channel,uav6_power,uav6_rate,uav7_channel,uav7_power,uav7_rate,uav8_channel,uav8_power,uav8_rate,uav9_channel,uav9_power,uav9_rate,uav10_channel,uav10_power,uav10_rate,uav11_channel,uav11_power,uav11_rate,uav12_channel,uav12_power,uav12_rate,uav13_channel,uav13_power,uav13_rate,uav14_channel,uav14_power,uav14_rate
0.1,0,17.9043,9,2,17.5,9,0,17.7154,9,1,18.0745,9,2,18.953,9,0,17.6844,9,0,17.5,9,2,18.483,9,2,19,9,1,18.7514,9,1,17.6522,9,0,19,9,2,17.5,9,1,18.751,9,0,17.9717,9
0.2,0,17.9043,9,2,17.5,9,0,17.7154,9,1,18.0745,9,2,18.953,9,0,17.6844,9,0,17.5,9,2,18.483,9,2,19,9,1,18.7514,9,1,17.6522,9,0,19,9,2,17.5,9,1,18.751,9,0,17.9717,9
0.3,0,17.9043,9,2,17.5,9,0,17.7154,9,1,18.0745,9,2,18.953,9,0,17.6844,9,0,17.5,9,2,18.483,9,2,19,9,1,18.7514,9,1,17.6522,9,0,19,9,2,17.5,9,1,18.751,9,0,17.9717,9
0.4,0,17.9043,9,2,17.5,9,0,17.7154,9,1,18.0745,9,2,18.953,9,0,17.6844,9,0,17.5,9,2,18.483,9,2,19,9,1,18.7514,9,1,17.6522,9,0,19,9,2,17.5,9,1,18.751,9,0,17.9717,9
0.5,0,17.9043,9,2,17.5,9,0,17.7154,9,1,18.0745,9,2,18.953,9,0,17.6844,9,0,17.5,9,2,18.483,9,2,19,9,1,18.7514,9,1,17.6522,9,0,19,9,2,17.5,9,1,18.751,9,0,17.9717,9
0.6,0,16.0886,12,2,15.2996,12,0,15.729,12,1,16.4148,12,2,17.953,12,0,15.6682,12,0,15.1992,12,2,17.195,12,2,19,12,1,17.7078,12,1,15.6067,12,0,19,12,2,15.1348,12,1,17.7055,12,0,16.2185,12
0.7,0,16.0886,12,2,15.2996,12,0,15.729,12,1,16.4148,12,2,17.953,12,0,15.6682,12,0,15.1992,12,2,17.195,12,2,19,12,1,17.7078,12,1,15.6067,12,0,19,12,2,15.1348,12,1,17.7055,12,0,16.2185,12
0.8,0,16.0886,12,2,15.2996,12,0,15.729,12,1,16.4148,12,2,17.953,12,0,15.6682,12,0,15.1992,12,2,17.195,12,2,19,12,1,17.7078,12,1,15.6067,12,0,19,12,2,15.1348,12,1,17.7055,12,0,16.2185,12
0.9,0,16.0886,12,2,15.2996,12,0,15.729,12,1,16.4148,12,2,17.953,12,0,15.6682,12,0,15.1992,12,2,17.195,12,2,19,12,1,17.7078,12,1,15.6067,12,0,19,12,2,15.1348,12,1,17.7055,12,0,16.2185,12
1,0,16.0886,12,2,15.2996,12,0,15.729,12,1,16.4148,12,2,17.953,12,0,15.6682,12,0,15.1992,12,2,17.195,12,2,19,12,1,17.7078,12,1,15.6067,12,0,19,12,2,15.1348,12,1,17.7055,12,0,16.2185,12
