FlowId,Src,Dest,Tx,Rx,LossRate
1,10,2,697,316,54.6628%
2,9,1,639,535,16.2754%
3,7,8,1458,958,34.2936%
4,7,14,1129,744,34.101%
5,6,13,1159,857,26.0569%
6,5,12,1640,1352,17.561%
7,4,11,844,382,54.7393%
8,3,10,970,547,43.6082%
9,2,3,917,436,52.4537%
10,0,1,1823,1098,39.7696%
11,2,9,528,171,67.6136%
12,9,10,600,277,53.8333%
13,6,7,1204,185,84.6346%
14,4,5,1091,294,73.0522%
15,13,14,1373,281,79.5339%
16,13,5,1291,935,27.5755%
17,1,2,822,197,76.0341%
18,14,0,298,38,87.2483%
19,12,13,1539,984,36.0624%
20,8,9,529,62,88.2798%
21,8,0,338,20,94.0828%
22,14,6,749,285,61.9493%
23,5,6,1242,414,66.6667%
24,12,4,545,250,54.1284%
25,3,4,318,210,33.9623%
26,11,12,555,16,97.1171%
27,10,11,200,176,12%
28,1,8,135,67,50.3704%
29,11,3,211,78,63.0332%
30,0,7,176,24,86.3636%
