time,node_id,channel,tx_power,data_rate,neighbors,interference_dBm,worst_sinr_dB
0.1,0,2,19,9,14,-70.3417,13.9835
0.1,1,1,19,9,14,-70.302,14.1493
0.1,2,2,19,9,14,-70.3574,15.6903
0.1,3,1,19,9,14,-70.2201,13.8074
0.1,4,2,19,9,14,-70.1961,13.5995
0.1,5,1,20,9,14,-70.1446,13.8896
0.1,6,2,20,9,14,-70.0929,13.1567
0.1,7,1,19,9,14,-70.1372,13.2073
0.1,8,2,20,9,14,-70.2762,13.852
0.1,9,2,20,9,14,-70.2092,12.624
0.1,10,0,19,9,14,-70.3548,14.0579
0.1,11,1,19,9,14,-70.0858,14.0565
0.1,12,2,20,9,14,-70.0581,12.7746
0.1,13,1,19,9,14,-70.5907,14.4844
0.1,14,0,19,9,14,-70.0972,14.312
0.2,0,2,19,9,14,-70.3311,13.9747
0.2,1,1,19,9,14,-70.2915,14.1375
0.2,2,2,19,9,14,-70.347,15.6785
0.2,3,1,19,9,14,-70.2102,13.7956
0.2,4,2,19,9,14,-70.1865,13.5876
0.2,5,1,20,9,14,-70.1353,13.8778
0.2,6,2,20,9,14,-70.084,13.1448
0.2,7,1,19,9,14,-70.1283,13.1955
0.2,8,2,20,9,14,-70.2675,13.8401
0.2,9,2,20,9,14,-70.1973,12.6142
0.2,10,0,19,9,14,-70.3444,14.0461
0.2,11,1,19,9,14,-70.0752,14.0446
0.2,12,2,20,9,14,-70.0483,12.7628
0.2,13,1,19,9,14,-70.5802,14.4746
0.2,14,0,19,9,14,-70.0874,14.3001
0.3,0,2,19,9,14,-70.3204,13.966
0.3,1,1,19,9,14,-70.281,14.1256
0.3,2,2,19,9,14,-70.3367,15.6666
0.3,3,1,19,9,14,-70.2003,13.7837
0.3,4,2,19,9,14,-70.1769,13.5757
0.3,5,1,20,9,14,-70.126,13.8659
0.3,6,2,20,9,14,-70.075,13.1329
0.3,7,1,19,9,14,-70.1193,13.1836
0.3,8,2,20,9,14,-70.2588,13.8282
0.3,9,2,20,9,14,-70.1854,12.6043
0.3,10,0,19,9,14,-70.3339,14.0342
0.3,11,1,19,9,14,-70.0645,14.0328
0.3,12,2,20,9,14,-70.0384,12.7509
0.3,13,1,19,9,14,-70.5697,14.4647
0.3,14,0,19,9,14,-70.0776,14.2883
0.4,0,2,19,9,14,-70.3098,13.9572
0.4,1,1,19,9,14,-70.2704,14.1137
0.4,2,2,19,9,14,-70.3262,15.6547
0.4,3,1,19,9,14,-70.1903,13.7718
0.4,4,2,19,9,14,-70.1672,13.5638
0.4,5,1,20,9,14,-70.1167,13.854
0.4,6,2,20,9,14,-70.066,13.121
0.4,7,1,19,9,14,-70.1102,13.1717
0.4,8,2,20,9,14,-70.2501,13.8163
0.4,9,2,20,9,14,-70.1735,12.5944
0.4,10,0,19,9,14,-70.3235,14.0223
0.4,11,1,19,9,14,-70.0537,14.0208
0.4,12,2,20,9,14,-70.0284,12.739
0.4,13,1,19,9,14,-70.5592,14.4548
0.4,14,0,19,9,14,-70.0678,14.2764
0.5,0,2,19,9,14,-70.299,13.9484
0.5,1,1,19,9,14,-70.2598,14.1017
0.5,2,2,19,9,14,-70.3158,15.6427
0.5,3,1,19,9,14,-70.1803,13.7599
0.5,4,2,19,9,14,-70.1575,13.5519
0.5,5,1,20,9,14,-70.1073,13.8421
0.5,6,2,20,9,14,-70.0569,13.1091
0.5,7,1,19,9,14,-70.1012,13.1597
0.5,8,2,20,9,14,-70.2413,13.8044
0.5,9,2,20,9,14,-70.1615,12.5844
0.5,10,0,19,9,14,-70.3129,14.0103
0.5,11,1,19,9,14,-70.0429,14.0089
0.5,12,2,20,9,14,-70.0184,12.727
0.5,13,1,19,9,14,-70.5486,14.4448
0.5,14,0,19,9,14,-70.0579,14.2644
0.6,0,2,19,12,14,-70.2882,13.9395
0.6,1,1,19,12,14,-70.2492,14.0898
0.6,2,2,18,12,14,-70.3053,14.6308
0.6,3,1,19,12,14,-70.1702,13.7479
0.6,4,2,19,12,14,-70.1477,13.5399
0.6,5,1,20,12,14,-70.0979,13.8301
0.6,6,2,20,12,14,-70.0478,13.0971
0.6,7,1,19,12,14,-70.0921,13.1477
0.6,8,2,20,12,14,-70.2324,13.7924
0.6,9,2,20,12,14,-70.1495,12.5744
0.6,10,0,19,12,14,-70.3024,13.9984
0.6,11,1,19,12,14,-70.0321,13.9969
0.6,12,2,20,12,14,-70.0084,12.715
0.6,13,1,19,12,14,-70.5379,14.4348
0.6,14,0,19,12,14,-70.048,14.2524
0.7,0,2,19,12,14,-70.2774,13.9306
0.7,1,1,19,12,14,-70.2385,14.0778
0.7,2,2,18,12,14,-70.2947,14.6187
0.7,3,1,19,12,14,-70.1601,13.7359
0.7,4,2,19,12,14,-70.138,13.5279
0.7,5,1,20,12,14,-70.0884,13.8181
0.7,6,2,20,12,14,-70.0386,13.0851
0.7,7,1,19,12,14,-70.0829,13.1357
0.7,8,2,20,12,14,-70.2235,13.7804
0.7,9,2,20,12,14,-70.1374,12.5644
0.7,10,0,19,12,14,-70.2917,13.9863
0.7,11,1,19,12,14,-70.0212,13.9849
0.7,12,2,20,12,14,-69.9983,12.703
0.7,13,1,19,12,14,-70.5272,14.4248
