time,uav0_channel,uav0_power,uav0_rate,uav1_channel,uav1_power,uav1_rate,uav2_channel,uav2_power,uav2_rate,uav3_channel,uav3_power,uav3_rate,uav4_channel,uav4_power,uav4_rate,uav5_channel,uav5_power,uav5_rate,uav6_channel,uav6_power,uav6_rate,uav7_channel,uav7_power,uav7_rate,uav8_channel,uav8_power,uav8_rate,uav9_channel,uav9_power,uav9_rate,uav10_channel,uav10_power,uav10_rate,uav11_channel,uav11_power,uav11_rate,uav12_channel,uav12_power,uav12_rate,uav13_channel,uav13_power,uav13_rate,uav14_channel,uav14_power,uav14_rate
0.1,2,18.2412,9,1,18.1998,9,2,17.8145,9,1,18.2852,9,2,18.3372,9,1,18.5147,9,2,18.6979,9,1,18.4353,9,2,18.5241,9,2,18.8131,9,0,18.2226,9,1,18.223,9,2,18.7935,9,1,18.098,9,0,18.1591,9
0.2,2,18.2412,9,1,18.1998,9,2,17.8145,9,1,18.2852,9,2,18.3372,9,1,18.5147,9,2,18.6979,9,1,18.4353,9,2,18.5241,9,2,18.8131,9,0,18.2226,9,1,18.223,9,2,18.7935,9,1,18.098,9,0,18.1591,9
0.3,2,18.2412,9,1,18.1998,9,2,17.8145,9,1,18.2852,9,2,18.3372,9,1,18.5147,9,2,18.6979,9,1,18.4353,9,2,18.5241,9,2,18.8131,9,0,18.2226,9,1,18.223,9,2,18.7935,9,1,18.098,9,0,18.1591,9
0.4,2,18.2412,9,1,18.1998,9,2,17.8145,9,1,18.2852,9,2,18.3372,9,1,18.5147,9,2,18.6979,9,1,18.4353,9,2,18.5241,9,2,18.8131,9,0,18.2226,9,1,18.223,9,2,18.7935,9,1,18.098,9,0,18.1591,9
0.5,2,18.2412,9,1,18.1998,9,2,17.8145,9,1,18.2852,9,2,18.3372,9,1,18.5147,9,2,18.6979,9,1,18.4353,9,2,18.5241,9,2,18.8131,9,0,18.2226,9,1,18.223,9,2,18.7935,9,1,18.098,9,0,18.1591,9
0.6,2,16.7339,12,1,16.6559,12,2,15.9201,12,1,16.8191,12,2,16.9184,12,1,17.2574,12,2,17.6074,12,1,17.1057,12,2,17.2754,12,2,17.8131,12,0,16.6995,12,1,16.7002,12,2,17.7898,12,1,16.4608,12,0,16.5782,12
0.7,2,16.7339,12,1,16.6559,12,2,15.9201,12,1,16.8191,12,2,16.9184,12,1,17.2574,12,2,17.6074,12,1,17.1057,12,2,17.2754,12,2,17.8131,12,0,16.6995,12,1,16.7002,12,2,17.7898,12,1,16.4608,12,0,16.5782,12
0.8,2,16.7339,12,1,16.6559,12,2,15.9201,12,1,16.8191,12,2,16.9184,12,1,17.2574,12,2,17.6074,12,1,17.1057,12,2,17.2754,12,2,17.8131,12,0,16.6995,12,1,16.7002,12,2,17.7898,12,1,16.4608,12,0,16.5782,12
0.9,2,16.7339,12,1,16.6559,12,2,15.9201,12,1,16.8191,12,2,16.9184,12,1,17.2574,12,2,17.6074,12,1,17.1057,12,2,17.2754,12,2,17.8131,12,0,16.6995,12,1,16.7002,12,2,17.7898,12,1,16.4608,12,0,16.5782,12
1,2,16.7339,12,1,16.6559,12,2,15.9201,12,1,16.8191,12,2,16.9184,12,1,17.2574,12,2,17.6074,12,1,17.1057,12,2,17.2754,12,2,17.8131,12,0,16.6995,12,1,16.7002,12,2,17.7898,12,1,16.4608,12,0,16.5782,12
1.1,2,16.7214,18,1,16.6147,18,2,15.5842,18,1,16.8191,18,2,16.9184,18,1,17.2574,18,2,17.6074,18,1,17.1057,18,2,17.2754,18,2,17.8131,18,0,16.6759,18,1,16.6768,18,2,17.7898,18,1,16.34,18,0,16.5059,18
1.2,2,16.7214,18,1,16.6147,18,2,15.5842,18,1,16.8191,18,2,16.9184,18,1,17.2574,18,2,17.6074,18,1,17.1057,18,2,17.2754,18,2,17.8131,18,0,16.6759,18,1,16.6768,18,2,17.7898,18,1,16.34,18,0,16.5059,18
1.3,2,16.7214,18,1,16.6147,18,2,15.5842,18,1,16.8191,18,2,16.9184,18,1,17.2574,18,2,17.6074,18,1,17.1057,18,2,17.2754,18,2,17.8131,18,0,16.6759,18,1,16.6768,18,2,17.7898,18,1,16.34,18,0,16.5059,18
1.4,2,16.7214,18,1,16.6147,18,2,15.5842,18,1,16.8191,18,2,16.9184,18,1,17.2574,18,2,17.6074,18,1,17.1057,18,2,17.2754,18,2,17.8131,18,0,16.6759,18,1,16.6768,18,2,17.7898,18,1,16.34,18,0,16.5059,18
1.5,2,16.7214,18,1,16.6147,18,2,15.5842,18,1,16.8191,18,2,16.9184,18,1,17.2574,18,2,17.6074,18,1,17.1057,18,2,17.2754,18,2,17.8131,18,0,16.6759,18,1,16.6768,18,2,17.7898,18,1,16.34,18,0,16.5059,18
1.6,1,16.7214,24,2,16.6147,24,2,15.5842,24,1,16.8191,24,2,16.9184,24,1,17.2574,24,2,17.6074,24,1,17.1057,24,2,17.2754,24,2,17.8131,24,0,16.6759,24,1,16.6768,24,2,17.7898,24,1,16.34,24,0,16.5059,24
1.7,1,16.7214,24,2,16.6147,24,2,15.5842,24,1,16.8191,24,2,16.9184,24,1,17.2574,24,2,17.6074,24,1,17.1057,24,2,17.2754,24,2,17.8131,24,0,16.6759,24,1,16.6768,24,2,17.7898,24,1,16.34,24,0,16.5059,24
1.8,1,16.7214,24,2,16.6147,24,2,15.5842,24,1,16.8191,24,2,16.9184,24,1,17.2574,24,2,17.6074,24,1,17.1057,24,2,17.2754,24,2,17.8131,24,0,16.6759,24,1,16.6768,24,2,17.7898,24,1,16.34,24,0,16.5059,24
1.9,1,16.7214,24,2,16.6147,24,2,15.5842,24,1,16.8191,24,2,16.9184,24,1,17.2574,24,2,17.6074,24,1,17.1057,24,2,17.2754,24,2,17.8131,24,0,16.6759,24,1,16.6768,24,2,17.7898,24,1,16.34,24,0,16.5059,24
2,1,16.7214,24,2,16.6147,24,2,15.5842,24,1,16.8191,24,2,16.9184,24,1,17.2574,24,2,17.6074,24,1,17.1057,24,2,17.2754,24,2,17.8131,24,0,16.6759,24,1,16.6768,24,2,17.7898,24,1,16.34,24,0,16.5059,24
2.1,1,16.7214,36,2,16.6147,36,2,15.5842,36,1,16.8191,36,2,16.9184,36,1,17.2574,36,2,17.6074,36,1,17.1057,36,2,17.2754,36,2,17.8131,24,0,16.6759,36,1,16.6768,36,2,17.7898,36,1,16.34,36,0,16.5059,36
2.2,1,16.7214,36,2,16.6147,36,2,15.5842,36,1,16.8191,36,2,16.9184,36,1,17.2574,36,2,17.6074,36,1,17.1057,36,2,17.2754,36,2,17.8131,24,0,16.6759,36,1,16.6768,36,2,17.7898,36,1,16.34,36,0,16.5059,36
2.3,1,16.7214,36,2,16.6147,36,2,15.5842,36,1,16.8191,36,2,16.9184,36,1,17.2574,36,2,17.6074,36,1,17.1057,36,2,17.2754,36,2,17.8131,24,0,16.6759,36,1,16.6768,36,2,17.7898,36,1,16.34,36,0,16.5059,36
2.4,1,16.7214,36,2,16.6147,36,2,15.5842,36,1,16.8191,36,2,16.9184,36,1,17.2574,36,2,17.6074,36,1,17.1057,36,2,17.2754,36,2,17.8131,24,0,16.6759,36,1,16.6768,36,2,17.7898,36,1,16.34,36,0,16.5059,36
2.5,1,16.7214,36,2,16.6147,36,2,15.5842,36,1,16.8191,36,2,16.9184,36,1,17.2574,36,2,17.6074,36,1,17.1057,36,2,17.2754,36,2,17.8131,24,0,16.6759,36,1,16.6768,36,2,17.7898,36,1,16.34,36,0,16.5059,36
