time,node_id,channel,tx_power,data_rate,neighbors,interference_dBm,worst_sinr_dB
0.1,0,2,18.2412,9,14,-70.1085,17.7704
0.1,1,1,18.1998,9,14,-70.0824,17.8672
0.1,2,2,17.8145,9,14,-70.1119,18.7661
0.1,3,1,18.2852,9,14,-70.029,17.6678
0.1,4,2,18.3372,9,14,-70.0121,17.5465
0.1,5,1,18.5147,9,14,-69.9791,17.1324
0.1,6,2,18.6979,9,14,-69.9459,16.7048
0.1,7,1,18.4353,9,14,-69.9686,17.3177
0.1,8,2,18.5241,9,14,-70.0497,17.1104
0.1,9,2,18.8131,9,14,-69.9991,16.4361
0.1,10,0,18.2226,9,14,-70.1148,17.8139
0.1,11,1,18.223,9,14,-69.9491,17.813
0.1,12,2,18.7935,9,14,-69.9334,16.4819
0.1,13,1,18.098,9,14,-70.2404,18.1047
0.1,14,0,18.1591,9,14,-69.9497,17.9621
0.2,0,2,18.2412,9,14,-70.0999,17.7634
0.2,1,1,18.1998,9,14,-70.0739,17.8576
0.2,2,2,17.8145,9,14,-70.1035,18.7565
0.2,3,1,18.2852,9,14,-70.0208,17.6582
0.2,4,2,18.3372,9,14,-70.0042,17.5368
0.2,5,1,18.5147,9,14,-69.9713,17.1228
0.2,6,2,18.6979,9,14,-69.9384,16.6952
0.2,7,1,18.4353,9,14,-69.961,17.3081
0.2,8,2,18.5241,9,14,-70.0423,17.1008
0.2,9,2,18.8131,9,14,-69.9894,16.428
0.2,10,0,18.2226,9,14,-70.1063,17.8043
0.2,11,1,18.223,9,14,-69.9404,17.8034
0.2,12,2,18.7935,9,14,-69.9253,16.4723
0.2,13,1,18.098,9,14,-70.2318,18.0966
0.2,14,0,18.1591,9,14,-69.9416,17.9525
0.3,0,2,18.2412,9,14,-70.0912,17.7564
0.3,1,1,18.1998,9,14,-70.0653,17.848
0.3,2,2,17.8145,9,14,-70.095,18.7469
0.3,3,1,18.2852,9,14,-70.0127,17.6485
0.3,4,2,18.3372,9,14,-69.9962,17.5272
0.3,5,1,18.5147,9,14,-69.9636,17.1132
0.3,6,2,18.6979,9,14,-69.9309,16.6856
0.3,7,1,18.4353,9,14,-69.9535,17.2985
0.3,8,2,18.5241,9,14,-70.0349,17.0912
0.3,9,2,18.8131,9,14,-69.9798,16.4199
0.3,10,0,18.2226,9,14,-70.0978,17.7947
0.3,11,1,18.223,9,14,-69.9317,17.7938
0.3,12,2,18.7935,9,14,-69.9172,16.4627
0.3,13,1,18.098,9,14,-70.2232,18.0885
0.3,14,0,18.1591,9,14,-69.9336,17.9429
0.4,0,2,18.2412,9,14,-70.0826,17.7494
0.4,1,1,18.1998,9,14,-70.0568,17.8384
0.4,2,2,17.8145,9,14,-70.0865,18.7373
0.4,3,1,18.2852,9,14,-70.0045,17.6389
0.4,4,2,18.3372,9,14,-69.9882,17.5176
0.4,5,1,18.5147,9,14,-69.9558,17.1035
0.4,6,2,18.6979,9,14,-69.9233,16.676
0.4,7,1,18.4353,9,14,-69.9459,17.2888
0.4,8,2,18.5241,9,14,-70.0275,17.0816
0.4,9,2,18.8131,9,14,-69.9701,16.4118
0.4,10,0,18.2226,9,14,-70.0893,17.785
0.4,11,1,18.223,9,14,-69.9231,17.7842
0.4,12,2,18.7935,9,14,-69.9091,16.4531
0.4,13,1,18.098,9,14,-70.2145,18.0804
0.4,14,0,18.1591,9,14,-69.9255,17.9332
0.5,0,2,18.2412,9,14,-70.0739,17.7424
0.5,1,1,18.1998,9,14,-70.0482,17.8287
0.5,2,2,17.8145,9,14,-70.078,18.7277
0.5,3,1,18.2852,9,14,-69.9963,17.6293
0.5,4,2,18.3372,9,14,-69.9802,17.508
0.5,5,1,18.5147,9,14,-69.9481,17.0939
0.5,6,2,18.6979,9,14,-69.9158,16.6664
0.5,7,1,18.4353,9,14,-69.9383,17.2792
0.5,8,2,18.5241,9,14,-70.0201,17.072
0.5,9,2,18.8131,9,14,-69.9605,16.4037
0.5,10,0,18.2226,9,14,-70.0808,17.7754
0.5,11,1,18.223,9,14,-69.9144,17.7746
0.5,12,2,18.7935,9,14,-69.9009,16.4435
0.5,13,1,18.098,9,14,-70.2059,18.0723
0.5,14,0,18.1591,9,14,-69.9174,17.9236
0.6,0,2,16.7339,12,14,-70.0652,16.2281
0.6,1,1,16.6559,12,14,-70.0397,16.2753
0.6,2,2,15.9201,12,14,-67.7363,14.4414
0.6,3,1,16.8191,12,14,-69.9882,16.1536
0.6,4,2,16.9184,12,14,-69.9723,16.0796
0.6,5,1,17.2574,12,14,-69.9403,15.827
0.6,6,2,17.6074,12,14,-69.9083,15.5662
0.6,7,1,17.1057,12,14,-69.9308,15.94
0.6,8,2,17.2754,12,14,-70.0127,15.8136
0.6,9,2,17.8131,12,14,-69.9508,15.3956
0.6,10,0,16.6995,12,14,-70.0723,16.2427
0.6,11,1,16.7002,12,14,-69.9057,16.2422
0.6,12,2,17.7898,12,14,-69.8928,15.4302
0.6,13,1,16.4608,12,14,-70.1972,16.427
0.6,14,0,16.5782,12,14,-69.9093,16.3331
0.7,0,2,16.7339,12,14,-70.0566,16.2211
0.7,1,1,16.6559,12,14,-70.0311,16.2656
0.7,2,2,15.9201,12,14,-67.717,14.4212
0.7,3,1,16.8191,12,14,-69.98,16.144
0.7,4,2,16.9184,12,14,-69.9643,16.07
0.7,5,1,17.2574,12,14,-69.9326,15.8174
0.7,6,2,17.6074,12,14,-69.9007,15.5566
0.7,7,1,17.1057,12,14,-69.9232,15.9304
0.7,8,2,17.2754,12,14,-70.0053,15.804
0.7,9,2,17.8131,12,14,-69.9412,15.3875
0.7,10,0,16.6995,12,14,-70.0637,16.2331
0.7,11,1,16.7002,12,14,-69.897,16.2326
0.7,12,2,17.7898,12,14,-69.8847,15.4206
0.7,13,1,16.4608,12,14,-70.1886,16.4189
0.7,14,0,16.5782,12,14,-69.9012,16.3235
