FlowId,Src,Dest,Tx,Rx,LossRate
1,14,6,2319,2070,10.7374%
2,11,12,2620,2618,0.0763359%
3,11,3,1554,1541,0.836551%
4,10,2,1250,1070,14.4%
5,9,10,3075,1446,52.9756%
6,9,1,849,331,61.013%
7,8,9,3297,2111,35.9721%
8,8,0,1697,642,62.1685%
9,7,8,2650,2432,8.22642%
10,5,6,2678,2431,9.2233%
11,5,12,1812,1381,23.7859%
12,2,9,1794,606,66.2207%
13,1,2,1880,976,48.0851%
14,1,8,870,104,88.046%
15,0,1,1808,591,67.3119%
16,0,7,1983,833,57.9929%
17,6,7,2389,1753,26.622%
18,3,4,2544,2350,7.62579%
19,3,10,1181,908,23.116%
20,14,0,2721,1130,58.4712%
21,12,13,2268,1702,24.9559%
22,12,4,1876,1457,22.3348%
23,6,13,1538,882,42.6528%
24,2,3,2631,2629,0.0760167%
25,4,5,2853,1928,32.422%
26,4,11,2020,1235,38.8614%
27,13,14,1815,1690,6.88705%
28,13,5,1208,1079,10.6788%
29,7,14,1314,1214,7.61035%
30,10,11,1486,1484,0.13459%
