FlowId,Src,Dest,Tx,Rx,LossRate
1,2,9,2124,1356,36.1582%
2,4,5,2414,2060,14.6645%
3,4,11,2414,2074,14.0845%
4,1,2,1972,1855,5.93306%
5,5,6,2413,2262,6.25777%
6,5,12,2413,2306,4.43431%
7,6,7,2392,1111,53.5535%
8,6,13,2413,2319,3.89557%
9,3,10,2413,2336,3.19105%
10,7,8,2407,2325,3.40673%
11,8,9,2342,1249,46.6695%
12,9,10,2411,2353,2.40564%
13,9,1,2317,2204,4.877%
14,10,11,2410,2401,0.373444%
15,10,2,2120,1841,13.1604%
16,11,12,2410,2389,0.871369%
17,11,3,2410,2352,2.40664%
18,12,13,2409,2365,1.82648%
19,13,5,2387,2036,14.7047%
20,2,3,2085,1118,46.3789%
21,1,8,1863,1460,21.6318%
22,12,4,2391,2320,2.96947%
23,14,6,2237,1350,39.6513%
24,3,4,2391,2344,1.9657%
25,7,14,2345,1042,55.565%
26,13,14,2292,1389,39.3979%
27,0,1,72,35,51.3889%
