time,nodeId,x,y,z,node_type,speed
0.1,0,0,0,0,0,0
0.1,1,1.791,0.133,0.2,0,0
0.1,2,2.004,0.022,0.01,0,0
0.1,3,2.997,0.078,0.04,0,0
0.1,4,3.999,0.089,0.03,0,0
0.1,5,5.249,2.508,7.84,0,0
0.1,6,5.994,0.122,0.09,0,0
0.1,7,7.014,0.133,0.05,0,0
0.1,8,9.594,-1.465,1.63,0,0
0.1,9,-0.647,0.921,0.75,0,0
0.1,10,0.177,0.744,4.31,0,0
0.1,11,0.718,2.442,3.34,0,0
0.1,12,1.632,1.221,2.36,0,0
0.1,13,2.997,1.032,0.04,0,0
0.1,14,0.328,4.08143,18.9103,0,0.0258822
0.1,1000,69.2888,385.333,47.336,1,1.53277
0.1,1001,36.5804,321.907,41.645,1,5.11629
0.1,1002,38.0901,117.131,57.9629,1,6.09407
0.1,1003,71.7676,322.73,47.5766,1,4.11853
0.1,1004,26.3873,59.5372,54.786,1,3.6253
0.1,1005,48.6482,145.388,40.9833,1,4.89143
0.1,1006,31.5354,454.727,40.9802,1,3.81378
0.1,1007,51.9035,425.057,41.0442,1,3.49947
0.1,1008,32.3687,112.724,59.953,1,6.07211
0.1,1009,32.6336,407.665,42.0432,1,2.90124
0.1,1010,63.7335,128.365,47.3375,1,3.003
0.1,1011,18.3608,141.345,59.6525,1,4.56621
0.1,1012,10.2686,117.489,57.6299,1,1.99158
0.1,1013,14.7449,204.488,55.6028,1,5.33373
0.1,1014,26.761,483.505,53.2363,1,3.60741
0.2,0,0,0,0,0,0
0.2,1,1.791,0.133,0.2,0,0
0.2,2,2.004,0.022,0.01,0,0
0.2,3,2.997,0.078,0.04,0,0
0.2,4,3.999,0.089,0.03,0,0
0.2,5,5.249,2.508,7.84,0,0
0.2,6,5.994,0.122,0.09,0,0
0.2,7,7.014,0.133,0.05,0,0
0.2,8,9.594,-1.465,1.63,0,0
0.2,9,-0.647,0.921,0.75,0,0
0.2,10,0.177,0.744,4.31,0,0
0.2,11,0.718,2.442,3.34,0,0
0.2,12,1.632,1.221,2.36,0,0
0.2,13,2.997,1.032,0.04,0,0
0.2,14,0.328,4.07887,18.9107,0,0.0258822
0.2,1000,69.4065,385.429,47.36,1,1.53277
0.2,1001,36.2883,321.488,41.6195,1,5.11629
0.2,1002,37.5902,116.782,57.9525,1,6.09407
0.2,1003,71.3597,322.711,47.5227,1,4.11853
0.2,1004,26.1076,59.7677,54.7783,1,3.6253
0.2,1005,48.5165,144.919,40.9431,1,4.89143
0.2,1006,31.1769,454.599,41.0044,1,3.81378
0.2,1007,51.67,424.796,41.0316,1,3.49947
0.2,1008,31.8785,112.366,59.9652,1,6.07211
0.2,1009,32.369,407.782,42.0684,1,2.90124
0.2,1010,63.4519,128.468,47.3167,1,3.003
0.2,1011,17.9565,141.138,59.6966,1,4.56621
0.2,1012,10.3971,117.641,57.6391,1,1.99158
0.2,1013,14.22,204.583,55.6086,1,5.33373
0.2,1014,27.1137,483.576,53.2105,1,3.60741
0.3,0,0,0,0,0,0
0.3,1,1.791,0.133,0.2,0,0
0.3,2,2.004,0.022,0.01,0,0
0.3,3,2.997,0.078,0.04,0,0
0.3,4,3.999,0.089,0.03,0,0
0.3,5,5.249,2.508,7.84,0,0
0.3,6,5.994,0.122,0.09,0,0
0.3,7,7.014,0.133,0.05,0,0
0.3,8,9.594,-1.465,1.63,0,0
0.3,9,-0.647,0.921,0.75,0,0
0.3,10,0.177,0.744,4.31,0,0
0.3,11,0.718,2.442,3.34,0,0
0.3,12,1.632,1.221,2.36,0,0
0.3,13,2.997,1.032,0.04,0,0
0.3,14,0.328,4.0763,18.911,0,0.0258822
0.3,1000,69.5241,385.524,47.3841,1,1.53277
0.3,1001,35.9962,321.069,41.594,1,5.11629
0.3,1002,37.0903,116.434,57.9421,1,6.09407
0.3,1003,70.9519,322.693,47.4687,1,4.11853
0.3,1004,25.8279,59.9983,54.7707,1,3.6253
0.3,1005,48.3849,144.449,40.903,1,4.89143
0.3,1006,30.8184,454.471,41.0286,1,3.81378
0.3,1007,51.4365,424.536,41.019,1,3.49947
0.3,1008,31.3883,112.008,59.9773,1,6.07211
0.3,1009,32.1044,407.898,42.0937,1,2.90124
0.3,1010,63.1702,128.57,47.2958,1,3.003
0.3,1011,17.5523,140.93,59.7408,1,4.56621
0.3,1012,10.5257,117.793,57.6484,1,1.99158
0.3,1013,13.6951,204.677,55.6143,1,5.33373
0.3,1014,27.4664,483.647,53.1846,1,3.60741
0.4,0,0,0,0,0,0
0.4,1,1.791,0.133,0.2,0,0
0.4,2,2.004,0.022,0.01,0,0
0.4,3,2.997,0.078,0.04,0,0
0.4,4,3.999,0.089,0.03,0,0
0.4,5,5.249,2.508,7.84,0,0
0.4,6,5.994,0.122,0.09,0,0
0.4,7,7.014,0.133,0.05,0,0
0.4,8,9.594,-1.465,1.63,0,0
0.4,9,-0.647,0.921,0.75,0,0
0.4,10,0.177,0.744,4.31,0,0
0.4,11,0.718,2.442,3.34,0,0
0.4,12,1.632,1.221,2.36,0,0
0.4,13,2.997,1.032,0.04,0,0
0.4,14,0.328,4.07373,18.9113,0,0.0258822
0.4,1000,69.6417,385.619,47.4082,1,1.53277
0.4,1001,35.7042,320.65,41.5685,1,5.11629
0.4,1002,36.5905,116.085,57.9317,1,6.09407
0.4,1003,70.544,322.674,47.4147,1,4.11853
0.4,1004,25.5482,60.2288,54.763,1,3.6253
0.4,1005,48.2533,143.98,40.8628,1,4.89143
0.4,1006,30.4599,454.344,41.0528,1,3.81378
0.4,1007,51.203,424.275,41.0065,1,3.49947
0.4,1008,30.8982,111.649,59.9895,1,6.07211
0.4,1009,31.8398,408.014,42.119,1,2.90124
0.4,1010,62.8886,128.672,47.275,1,3.003
0.4,1011,17.1481,140.722,59.7849,1,4.56621
0.4,1012,10.6542,117.945,57.6576,1,1.99158
0.4,1013,13.1702,204.772,55.62,1,5.33373
