time,node_id,channel,tx_power,data_rate,neighbors,interference
0.1,0,1,10.7523,10.6239,14,0.08
0.1,1,2,10.6288,10.6856,14,0.08
0.1,2,0,10.633,10.6835,14,0.08
0.1,3,1,10.6251,10.6874,14,0.08
0.1,4,2,10.6554,10.6723,14,0.08
0.1,5,0,11.1278,10.4361,14,0.08
0.1,6,1,10.7747,10.6126,14,0.08
0.1,7,2,10.8649,10.5676,14,0.08
0.1,8,0,11.1571,10.4214,14,0.08
0.1,9,2,10.7786,10.6107,14,0.08
0.1,10,1,10.805,10.5975,14,0.08
0.1,11,0,10.76,10.62,14,0.08
0.1,12,2,10.6419,10.679,14,0.08
0.1,13,1,10.631,10.6845,14,0.08
0.1,14,0,12.4317,9.78413,14,0.08
0.2,0,1,10.7523,10.6239,14,0.08
0.2,1,2,10.6288,10.6856,14,0.08
0.2,2,0,10.633,10.6835,14,0.08
0.2,3,1,10.6251,10.6874,14,0.08
0.2,4,2,10.6554,10.6723,14,0.08
0.2,5,0,11.1278,10.4361,14,0.08
0.2,6,1,10.7747,10.6126,14,0.08
0.2,7,2,10.8649,10.5676,14,0.08
0.2,8,0,11.1571,10.4214,14,0.08
0.2,9,2,10.7786,10.6107,14,0.08
0.2,10,1,10.805,10.5975,14,0.08
0.2,11,0,10.76,10.62,14,0.08
0.2,12,2,10.6419,10.679,14,0.08
0.2,13,1,10.631,10.6845,14,0.08
0.2,14,0,12.4317,9.78413,14,0.08
0.3,0,1,10.7523,10.6239,14,0.08
0.3,1,2,10.6288,10.6856,14,0.08
0.3,2,0,10.633,10.6835,14,0.08
0.3,3,1,10.6251,10.6874,14,0.08
0.3,4,2,10.6554,10.6723,14,0.08
0.3,5,0,11.1278,10.4361,14,0.08
0.3,6,1,10.7747,10.6126,14,0.08
0.3,7,2,10.8649,10.5676,14,0.08
0.3,8,0,11.1571,10.4214,14,0.08
0.3,9,2,10.7786,10.6107,14,0.08
0.3,10,1,10.805,10.5975,14,0.08
