FlowId,Src,Dest,Tx,Rx,LossRate
1,2,9,2415,2212,8.4058%
2,3,4,2415,2370,1.86335%
3,4,5,2414,2279,5.59238%
4,4,11,2414,2332,3.39685%
5,1,2,2273,2182,4.00352%
6,1,8,2136,1908,10.6742%
7,5,6,2413,2411,0.0828844%
8,5,12,2413,2410,0.124327%
9,6,7,2413,2412,0.0414422%
10,6,13,2413,2350,2.61086%
11,3,10,2413,2378,1.45048%
12,7,8,2387,2371,0.670297%
13,7,14,2345,1328,43.3689%
14,8,9,2391,1636,31.5767%
15,9,10,2411,2390,0.871008%
16,9,1,2314,2211,4.45117%
17,10,11,2410,2410,0%
18,10,2,2410,2396,0.580913%
19,11,12,2410,2399,0.456432%
20,11,3,2410,2392,0.746888%
21,12,13,2409,2409,0%
22,12,4,2409,2391,0.747198%
23,13,14,2293,1560,31.9669%
24,13,5,2409,2397,0.498132%
25,14,6,2289,1612,29.5762%
26,2,3,2392,1472,38.4615%
27,0,1,69,32,53.6232%
