time,nodeId,x,y,z,node_type,speed
0.1,0,0,0,0,0,0
0.1,1,3.671,1.709,21.83,0,0
0.1,2,2.279,-0.377,8,0,0
0.1,3,3.698,-0.499,8.2,0,0
0.1,4,1.197,0.233,3.63,0,0
0.1,5,6.969,-0.677,17.66,0,0
0.1,6,5.799,0.499,10.58,0,0
0.1,7,6.952,0.033,6.37,0,0
0.1,8,7.954,0.078,9.91,0,0
0.1,9,-1.037,0.977,6.61,0,0
0.1,10,-0.035,1.01,10.09,0,0
0.1,11,3.573,3.585,34.74,0,0
0.1,12,1.906,1.065,6.28,0,0
0.1,13,2.483,0.622,6.4,0,0
0.1,14,-1.04543,0.0223665,6.26967,0,0.00752522
0.2,0,0,0,0,0,0
0.2,1,3.671,1.709,21.83,0,0
0.2,2,2.279,-0.377,8,0,0
0.2,3,3.698,-0.499,8.2,0,0
0.2,4,1.197,0.233,3.63,0,0
0.2,5,6.969,-0.677,17.66,0,0
0.2,6,5.799,0.499,10.58,0,0
0.2,7,6.952,0.033,6.37,0,0
0.2,8,7.954,0.078,9.91,0,0
0.2,9,-1.037,0.977,6.61,0,0
0.2,10,-0.035,1.01,10.09,0,0
0.2,11,3.573,3.585,34.74,0,0
0.2,12,1.906,1.065,6.28,0,0
0.2,13,2.483,0.622,6.4,0,0
0.2,14,-1.04487,0.0227331,6.26933,0,0.00752522
0.3,0,0,0,0,0,0
0.3,1,3.671,1.709,21.83,0,0
0.3,2,2.279,-0.377,8,0,0
0.3,3,3.698,-0.499,8.2,0,0
0.3,4,1.197,0.233,3.63,0,0
0.3,5,6.969,-0.677,17.66,0,0
0.3,6,5.799,0.499,10.58,0,0
0.3,7,6.952,0.033,6.37,0,0
0.3,8,7.954,0.078,9.91,0,0
0.3,9,-1.037,0.977,6.61,0,0
0.3,10,-0.035,1.01,10.09,0,0
0.3,11,3.573,3.585,34.74,0,0
0.3,12,1.906,1.065,6.28,0,0
0.3,13,2.483,0.622,6.4,0,0
0.3,14,-1.0443,0.0230996,6.269,0,0.00752522
0.4,0,0,0,0,0,0
0.4,1,3.671,1.709,21.83,0,0
0.4,2,2.279,-0.377,8,0,0
0.4,3,3.698,-0.499,8.2,0,0
0.4,4,1.197,0.233,3.63,0,0
0.4,5,6.969,-0.677,17.66,0,0
0.4,6,5.799,0.499,10.58,0,0
0.4,7,6.952,0.033,6.37,0,0
0.4,8,7.954,0.078,9.91,0,0
0.4,9,-1.037,0.977,6.61,0,0
0.4,10,-0.035,1.01,10.09,0,0
0.4,11,3.573,3.585,34.74,0,0
0.4,12,1.906,1.065,6.28,0,0
0.4,13,2.483,0.622,6.4,0,0
0.4,14,-1.04373,0.0234662,6.26867,0,0.00752522
0.5,0,0,0,0,0,0
0.5,1,3.671,1.709,21.83,0,0
0.5,2,2.279,-0.377,8,0,0
0.5,3,3.698,-0.499,8.2,0,0
0.5,4,1.197,0.233,3.63,0,0
0.5,5,6.969,-0.677,17.66,0,0
0.5,6,5.799,0.499,10.58,0,0
0.5,7,6.952,0.033,6.37,0,0
0.5,8,7.954,0.078,9.91,0,0
0.5,9,-1.037,0.977,6.61,0,0
0.5,10,-0.035,1.01,10.09,0,0
0.5,11,3.573,3.585,34.74,0,0
0.5,12,1.906,1.065,6.28,0,0
0.5,13,2.483,0.622,6.4,0,0
0.5,14,-1.04317,0.0238327,6.26833,0,0.00752522
0.6,0,0,0,0,0,0
0.6,1,3.671,1.709,21.83,0,0
0.6,2,2.279,-0.377,8,0,0
0.6,3,3.698,-0.499,8.2,0,0
0.6,4,1.197,0.233,3.63,0,0
0.6,5,6.969,-0.677,17.66,0,0
0.6,6,5.799,0.499,10.58,0,0
0.6,7,6.952,0.033,6.37,0,0
0.6,8,7.954,0.078,9.91,0,0
0.6,9,-1.037,0.977,6.61,0,0
0.6,10,-0.035,1.01,10.09,0,0
0.6,11,3.573,3.585,34.74,0,0
0.6,12,1.906,1.065,6.28,0,0
0.6,13,2.483,0.622,6.4,0,0
0.6,14,-1.0426,0.0241993,6.268,0,0.00752522
0.7,0,0,0,0,0,0
0.7,1,3.671,1.709,21.83,0,0
0.7,2,2.279,-0.377,8,0,0
0.7,3,3.698,-0.499,8.2,0,0
0.7,4,1.197,0.233,3.63,0,0
0.7,5,6.969,-0.677,17.66,0,0
0.7,6,5.799,0.499,10.58,0,0
0.7,7,6.952,0.033,6.37,0,0
0.7,8,7.954,0.078,9.91,0,0
0.7,9,-1.037,0.977,6.61,0,0
0.7,10,-0.035,1.01,10.09,0,0
0.7,11,3.573,3.585,34.74,0,0
0.7,12,1.906,1.065,6.28,0,0
0.7,13,2.483,0.622,6.4,0,0
0.7,14,-1.04203,0.0245658,6.26767,0,0.00752522
0.8,0,0,0,0,0,0
0.8,1,3.671,1.709,21.83,0,0
0.8,2,2.279,-0.377,8,0,0
0.8,3,3.698,-0.499,8.2,0,0
0.8,4,1.197,0.233,3.63,0,0
0.8,5,6.969,-0.677,17.66,0,0
0.8,6,5.799,0.499,10.58,0,0
0.8,7,6.952,0.033,6.37,0,0
0.8,8,7.954,0.078,9.91,0,0
0.8,9,-1.037,0.977,6.61,0,0
0.8,10,-0.035,1.01,10.09,0,0
0.8,11,3.573,3.585,34.74,0,0
0.8,12,1.906,1.065,6.28,0,0
0.8,13,2.483,0.622,6.4,0,0
0.8,14,-1.04147,0.0249324,6.26733,0,0.00752522
0.9,0,0,0,0,0,0
0.9,1,3.671,1.709,21.83,0,0
0.9,2,2.279,-0.377,8,0,0
0.9,3,3.698,-0.499,8.2,0,0
0.9,4,1.197,0.233,3.63,0,0
0.9,5,6.969,-0.677,17.66,0,0
0.9,6,5.799,0.499,10.58,0,0
0.9,7,6.952,0.033,6.37,0,0
0.9,8,7.954,0.078,9.91,0,0
0.9,9,-1.037,0.977,6.61,0,0
0.9,10,-0.035,1.01,10.09,0,0
0.9,11,3.573,3.585,34.74,0,0
0.9,12,1.906,1.065,6.28,0,0
0.9,13,2.483,0.622,6.4,0,0
0.9,14,-1.0409,0.0252989,6.267,0,0.00752522
1,0,0,0,0,0,0
1,1,3.671,1.709,21.83,0,0
1,2,2.279,-0.377,8,0,0
1,3,3.698,-0.499,8.2,0,0
1,4,1.197,0.233,3.63,0,0
1,5,6.969,-0.677,17.66,0,0
1,6,5.799,0.499,10.58,0,0
1,7,6.952,0.033,6.37,0,0
1,8,7.954,0.078,9.91,0,0
1,9,-1.037,0.977,6.61,0,0
1,10,-0.035,1.01,10.09,0,0
1,11,3.573,3.585,34.74,0,0
1,12,1.906,1.065,6.28,0,0
1,13,2.483,0.622,6.4,0,0
1,14,-1.04034,0.0256654,6.26667,0,0.00752522
1.1,0,0,0,0,0,0
1.1,1,3.671,1.709,21.83,0,0
1.1,2,2.279,-0.377,8,0,0
1.1,3,3.698,-0.499,8.2,0,0
1.1,4,1.197,0.233,3.63,0,0
1.1,5,6.969,-0.677,17.66,0,0
1.1,6,5.799,0.499,10.58,0,0
1.1,7,6.952,0.033,6.37,0,0
1.1,8,7.954,0.078,9.91,0,0
1.1,9,-1.037,0.977,6.61,0,0
1.1,10,-0.035,1.01,10.09,0,0
1.1,11,3.573,3.585,34.74,0,0
1.1,12,1.906,1.065,6.28,0,0
1.1,13,2.483,0.622,6.4,0,0
1.1,14,-1.03977,0.026032,6.26633,0,0.00752522
1.2,0,0,0,0,0,0
1.2,1,3.671,1.709,21.83,0,0
1.2,2,2.279,-0.377,8,0,0
1.2,3,3.698,-0.499,8.2,0,0
1.2,4,1.197,0.233,3.63,0,0
1.2,5,6.969,-0.677,17.66,0,0
1.2,6,5.799,0.499,10.58,0,0
1.2,7,6.952,0.033,6.37,0,0
1.2,8,7.954,0.078,9.91,0,0
1.2,9,-1.037,0.977,6.61,0,0
1.2,10,-0.035,1.01,10.09,0,0
1.2,11,3.573,3.585,34.74,0,0
1.2,12,1.906,1.065,6.28,0,0
1.2,13,2.483,0.622,6.4,0,0
1.2,14,-1.0392,0.0263985,6.266,0,0.00752522
1.3,0,0,0,0,0,0
1.3,1,3.671,1.709,21.83,0,0
1.3,2,2.279,-0.377,8,0,0
1.3,3,3.698,-0.499,8.2,0,0
1.3,4,1.197,0.233,3.63,0,0
1.3,5,6.969,-0.677,17.66,0,0
1.3,6,5.799,0.499,10.58,0,0
1.3,7,6.952,0.033,6.37,0,0
1.3,8,7.954,0.078,9.91,0,0
1.3,9,-1.037,0.977,6.61,0,0
1.3,10,-0.035,1.01,10.09,0,0
1.3,11,3.573,3.585,34.74,0,0
1.3,12,1.906,1.065,6.28,0,0
1.3,13,2.483,0.622,6.4,0,0
1.3,14,-1.03864,0.0267651,6.26567,0,0.00752522
1.4,0,0,0,0,0,0
1.4,1,3.671,1.709,21.83,0,0
1.4,2,2.279,-0.377,8,0,0
1.4,3,3.698,-0.499,8.2,0,0
1.4,4,1.197,0.233,3.63,0,0
1.4,5,6.969,-0.677,17.66,0,0
1.4,6,5.799,0.499,10.58,0,0
