time,uav0_channel,uav0_power,uav0_rate,uav1_channel,uav1_power,uav1_rate,uav2_channel,uav2_power,uav2_rate,uav3_channel,uav3_power,uav3_rate,uav4_channel,uav4_power,uav4_rate,uav5_channel,uav5_power,uav5_rate,uav6_channel,uav6_power,uav6_rate,uav7_channel,uav7_power,uav7_rate,uav8_channel,uav8_power,uav8_rate,uav9_channel,uav9_power,uav9_rate,uav10_channel,uav10_power,uav10_rate,uav11_channel,uav11_power,uav11_rate,uav12_channel,uav12_power,uav12_rate,uav13_channel,uav13_power,uav13_rate,uav14_channel,uav14_power,uav14_rate
0.1,1,11.6046,10.1977,2,11.9366,10.0317,0,10.9218,10.5391,2,10.9372,10.5314,1,11.1659,10.4171,0,11.6004,10.1998,1,11.0589,10.4705,2,11.1647,10.4177,0,11.1965,10.4018,2,11.092,10.454,1,11.0553,10.4724,0,13.5233,9.23834,2,10.9611,10.5195,1,10.9452,10.5274,0,11.1019,10.449
0.2,1,11.6046,10.1977,2,11.9366,10.0317,0,10.9218,10.5391,2,10.9372,10.5314,1,11.1659,10.4171,0,11.6004,10.1998,1,11.0589,10.4705,2,11.1647,10.4177,0,11.1965,10.4018,2,11.092,10.454,1,11.0553,10.4724,0,13.5233,9.23834,2,10.9611,10.5195,1,10.9452,10.5274,0,11.1019,10.449
0.3,1,11.6046,10.1977,2,11.9366,10.0317,0,10.9218,10.5391,2,10.9372,10.5314,1,11.1659,10.4171,0,11.6004,10.1998,1,11.0589,10.4705,2,11.1647,10.4177,0,11.1965,10.4018,2,11.092,10.454,1,11.0553,10.4724,0,13.5233,9.23834,2,10.9611,10.5195,1,10.9452,10.5274,0,11.1019,10.449
0.4,1,11.6046,10.1977,2,11.9366,10.0317,0,10.9218,10.5391,2,10.9372,10.5314,1,11.1659,10.4171,0,11.6004,10.1998,1,11.0589,10.4705,2,11.1647,10.4177,0,11.1965,10.4018,2,11.092,10.454,1,11.0553,10.4724,0,13.5233,9.23834,2,10.9611,10.5195,1,10.9452,10.5274,0,11.1019,10.449
0.5,1,11.6046,10.1977,2,11.9366,10.0317,0,10.9218,10.5391,2,10.9372,10.5314,1,11.1659,10.4171,0,11.6004,10.1998,1,11.0589,10.4705,2,11.1647,10.4177,0,11.1965,10.4018,2,11.092,10.454,1,11.0553,10.4724,0,13.5233,9.23834,2,10.9611,10.5195,1,10.9452,10.5274,0,11.1019,10.449
0.6,1,11.6046,10.1977,2,11.9366,10.0317,0,10.9218,10.5391,2,10.9372,10.5314,1,11.1658,10.4171,0,11.6004,10.1998,1,11.0589,10.4705,2,11.1646,10.4177,0,11.1965,10.4018,2,11.092,10.454,1,11.0553,10.4724,0,13.5233,9.23834,2,10.9611,10.5195,1,10.9452,10.5274,0,11.1017,10.4491
0.7,1,11.6046,10.1977,2,11.9366,10.0317,0,10.9218,10.5391,2,10.9372,10.5314,1,11.1658,10.4171,0,11.6004,10.1998,1,11.0589,10.4705,2,11.1646,10.4177,0,11.1965,10.4018,2,11.092,10.454,1,11.0553,10.4724,0,13.5233,9.23834,2,10.9611,10.5195,1,10.9452,10.5274,0,11.1017,10.4491
0.8,1,11.6046,10.1977,2,11.9366,10.0317,0,10.9218,10.5391,2,10.9372,10.5314,1,11.1658,10.4171,0,11.6004,10.1998,1,11.0589,10.4705,2,11.1646,10.4177,0,11.1965,10.4018,2,11.092,10.454,1,11.0553,10.4724,0,13.5233,9.23834,2,10.9611,10.5195,1,10.9452,10.5274,0,11.1017,10.4491
0.9,1,11.6046,10.1977,2,11.9366,10.0317,0,10.9218,10.5391,2,10.9372,10.5314,1,11.1658,10.4171,0,11.6004,10.1998,1,11.0589,10.4705,2,11.1646,10.4177,0,11.1965,10.4018,2,11.092,10.454,1,11.0553,10.4724,0,13.5233,9.23834,2,10.9611,10.5195,1,10.9452,10.5274,0,11.1017,10.4491
1,1,11.6046,10.1977,2,11.9366,10.0317,0,10.9218,10.5391,2,10.9372,10.5314,1,11.1658,10.4171,0,11.6004,10.1998,1,11.0589,10.4705,2,11.1646,10.4177,0,11.1965,10.4018,2,11.092,10.454,1,11.0553,10.4724,0,13.5233,9.23834,2,10.9611,10.5195,1,10.9452,10.5274,0,11.1017,10.4491
1.1,1,11.6046,10.1977,2,11.9366,10.0317,0,10.9218,10.5391,2,10.9372,10.5314,1,11.1658,10.4171,0,11.6004,10.1998,1,11.0589,10.4706,2,11.1646,10.4177,0,11.1964,10.4018,2,11.092,10.454,1,11.0553,10.4724,0,13.5233,9.23833,2,10.961,10.5195,1,10.9451,10.5274,0,11.1015,10.4492
1.2,1,11.6046,10.1977,2,11.9366,10.0317,0,10.9218,10.5391,2,10.9372,10.5314,1,11.1658,10.4171,0,11.6004,10.1998,1,11.0589,10.4706,2,11.1646,10.4177,0,11.1964,10.4018,2,11.092,10.454,1,11.0553,10.4724,0,13.5233,9.23833,2,10.961,10.5195,1,10.9451,10.5274,0,11.1015,10.4492
1.3,1,11.6046,10.1977,2,11.9366,10.0317,0,10.9218,10.5391,2,10.9372,10.5314,1,11.1658,10.4171,0,11.6004,10.1998,1,11.0589,10.4706,2,11.1646,10.4177,0,11.1964,10.4018,2,11.092,10.454,1,11.0553,10.4724,0,13.5233,9.23833,2,10.961,10.5195,1,10.9451,10.5274,0,11.1015,10.4492
1.4,1,11.6046,10.1977,2,11.9366,10.0317,0,10.9218,10.5391,2,10.9372,10.5314,1,11.1658,10.4171,0,11.6004,10.1998,1,11.0589,10.4706,2,11.1646,10.4177,0,11.1964,10.4018,2,11.092,10.454,1,11.0553,10.4724,0,13.5233,9.23833,2,10.961,10.5195,1,10.9451,10.5274,0,11.1015,10.4492
1.5,1,11.6046,10.1977,2,11.9366,10.0317,0,10.9218,10.5391,2,10.9372,10.5314,1,11.1658,10.4171,0,11.6004,10.1998,1,11.0589,10.4706,2,11.1646,10.4177,0,11.1964,10.4018,2,11.092,10.454,1,11.0553,10.4724,0,13.5233,9.23833,2,10.961,10.5195,1,10.9451,10.5274,0,11.1015,10.4492
1.6,1,11.6045,10.1977,2,11.9366,10.0317,0,10.9217,10.5391,2,10.9371,10.5314,1,11.1658,10.4171,0,11.6004,10.1998,1,11.0589,10.4706,2,11.1646,10.4177,0,11.1964,10.4018,2,11.0919,10.454,1,11.0553,10.4724,0,13.5233,9.23833,2,10.961,10.5195,1,10.9451,10.5274,0,11.1013,10.4493
1.7,1,11.6045,10.1977,2,11.9366,10.0317,0,10.9217,10.5391,2,10.9371,10.5314,1,11.1658,10.4171,0,11.6004,10.1998,1,11.0589,10.4706,2,11.1646,10.4177,0,11.1964,10.4018,2,11.0919,10.454,1,11.0553,10.4724,0,13.5233,9.23833,2,10.961,10.5195,1,10.9451,10.5274,0,11.1013,10.4493
1.8,1,11.6045,10.1977,2,11.9366,10.0317,0,10.9217,10.5391,2,10.9371,10.5314,1,11.1658,10.4171,0,11.6004,10.1998,1,11.0589,10.4706,2,11.1646,10.4177,0,11.1964,10.4018,2,11.0919,10.454,1,11.0553,10.4724,0,13.5233,9.23833,2,10.961,10.5195,1,10.9451,10.5274,0,11.1013,10.4493
1.9,1,11.6045,10.1977,2,11.9366,10.0317,0,10.9217,10.5391,2,10.9371,10.5314,1,11.1658,10.4171,0,11.6004,10.1998,1,11.0589,10.4706,2,11.1646,10.4177,0,11.1964,10.4018,2,11.0919,10.454,1,11.0553,10.4724,0,13.5233,9.23833,2,10.961,10.5195,1,10.9451,10.5274,0,11.1013,10.4493
