FlowId,Src,Dest,Tx,Rx,LossRate
1,2,3,2415,2415,0%
2,2,9,2415,2415,0%
3,3,4,2415,2415,0%
4,4,5,2414,2414,0%
5,4,11,2314,2254,2.59291%
6,1,2,2392,2235,6.56355%
7,1,8,2392,2248,6.02007%
8,5,6,2413,2410,0.124327%
9,5,12,2413,2404,0.37298%
10,6,7,2413,2413,0%
11,6,13,2413,2413,0%
12,3,10,2413,2413,0%
13,7,8,2412,2412,0%
14,7,14,2412,2412,0%
15,8,9,2412,2356,2.32172%
16,9,10,2411,2411,0%
17,9,1,2411,1141,52.6752%
18,10,11,2310,1140,50.6494%
19,10,2,2410,2410,0%
20,11,12,2410,2226,7.63485%
21,11,3,2410,2227,7.59336%
22,12,13,2409,2409,0%
23,12,4,2409,2409,0%
24,13,14,2409,2409,0%
25,13,5,2409,2398,0.456621%
26,14,6,2408,2373,1.45349%
27,0,1,2294,2215,3.44377%
28,0,7,2294,2294,0%
29,14,0,2290,2290,0%
30,8,0,2270,2239,1.36564%
