time,num_links,connectivity
time,num_links,connectivity
0.1,105,1
0.2,105,1
0.3,105,1
0.4,105,1
0.5,105,1
0.6,105,1
0.7,105,1
0.8,105,1
0.9,105,1
1,105,1
1.1,105,1
1.2,105,1
1.3,105,1
1.4,105,1
1.5,105,1
1.6,105,1
1.7,105,1
1.8,105,1
1.9,105,1
2,105,1
2.1,105,1
2.2,105,1
2.3,105,1
2.4,105,1
2.5,105,1
2.6,105,1
2.7,105,1
2.8,105,1
2.9,105,1
3,105,1
3.1,105,1
3.2,105,1
3.3,105,1
3.4,105,1
3.5,105,1
3.6,105,1
3.7,105,1
3.8,105,1
3.9,105,1
4,105,1
4.1,105,1
4.2,105,1
4.3,105,1
4.4,105,1
4.5,105,1
4.6,105,1
4.7,105,1
4.8,105,1
4.9,105,1
5,105,1
5.1,105,1
5.2,105,1
5.3,105,1
5.4,105,1
5.5,105,1
5.6,105,1
5.7,105,1
5.8,105,1
5.9,105,1
6,105,1
6.1,105,1
6.2,105,1
6.3,105,1
6.4,105,1
6.5,105,1
6.6,105,1
6.7,105,1
6.8,105,1
6.9,105,1
7,105,1
7.1,105,1
7.2,105,1
7.3,105,1
7.4,105,1
7.5,105,1
7.6,105,1
7.7,105,1
7.8,105,1
7.9,105,1
8,105,1
8.1,105,1
8.2,105,1
8.3,105,1
8.4,105,1
8.5,105,1
8.6,105,1
8.7,105,1
8.8,105,1
8.9,105,1
9,105,1
9.1,105,1
9.2,105,1
9.3,105,1
9.4,105,1
9.5,105,1
9.6,105,1
9.7,105,1
9.8,105,1
9.9,105,1
10,105,1
10.1,105,1
10.2,105,1
10.3,105,1
10.4,105,1
10.5,105,1
10.6,105,1
10.7,105,1
10.8,105,1
10.9,105,1
11,105,1
11.1,105,1
11.2,105,1
11.3,105,1
11.4,105,1
11.5,105,1
11.6,105,1
11.7,105,1
11.8,105,1
11.9,105,1
12,105,1
12.1,105,1
12.2,105,1
12.3,105,1
12.4,105,1
12.5,105,1
12.6,105,1
12.7,105,1
12.8,105,1
12.9,105,1
13,105,1
13.1,105,1
13.2,105,1
13.3,105,1
13.4,105,1
13.5,105,1
13.6,105,1
13.7,105,1
13.8,105,1
13.9,105,1
14,105,1
14.1,105,1
14.2,105,1
14.3,105,1
14.4,105,1
14.5,105,1
14.6,105,1
14.7,105,1
14.8,105,1
14.9,105,1
15,105,1
15.1,105,1
15.2,105,1
15.3,105,1
15.4,105,1
15.5,105,1
15.6,105,1
15.7,105,1
15.8,105,1
15.9,105,1
16,105,1
16.1,105,1
