FlowId,Src,Dest,Tx,Rx,LossRate
1,0,1,1228,915,25.4886%
2,2,3,715,171,76.0839%
3,5,12,1318,1000,24.1275%
4,6,13,928,672,27.5862%
5,3,10,1000,552,44.8%
6,7,14,1314,939,28.5388%
7,9,1,802,664,17.207%
8,10,2,562,308,45.1957%
9,4,11,734,537,26.8392%
10,7,8,1027,695,32.3272%
11,2,9,365,158,56.7123%
12,9,10,280,7,97.5%
13,1,2,429,130,69.697%
14,6,7,415,147,64.5783%
15,12,13,851,348,59.1069%
16,14,6,467,184,60.5996%
17,14,0,153,25,83.6601%
18,5,6,515,129,74.9515%
19,12,4,344,84,75.5814%
20,8,9,146,0,100%
21,4,5,313,186,40.5751%
22,3,4,246,83,66.2602%
23,13,14,295,93,68.4746%
24,13,5,553,377,31.8264%
25,11,3,171,31,81.8713%
26,8,0,122,18,85.2459%
27,11,12,167,0,100%
28,10,11,165,42,74.5455%
29,0,7,80,1,98.75%
